video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
_FsoCUnyXCI,0,0.0,10.0,10.0,Câu cảm thán của nhiều người Hà Nội và các tỉnh miền Bắc thốt ra ngày hôm nay có lẽ là về cái rét nhất từ đầu mùa đến giờ.,Câu cảm thán của nhiều người Hà Nội và các tỉnh miền Bắc thốt ra ngày hôm nay có lẽ là về cái rét nhất từ đầu mùa đến giờ.,Câu cảm thán của nhiều người Hà Nội và các tỉnh miền Bắc thốt ra ngày hôm nay có lẽ là về cái rét nhất từ đầu mùa đến giờ.,OK,HIGH
_FsoCUnyXCI,1,10.0,17.0,7.0,"Không khí lạnh mạnh đã ảnh hưởng hầu hết các tỉnh Tây Bắc Bộ, Bắc Trung Bộ và một số nơi ở Trung Trung Bộ từ sáng sớm nay.","Không khí lạnh mạnh đã ảnh hưởng hầu hết các tỉnh Tây Bắc Bộ, Bắc Trung Bộ và một số nơi ở Trung Trung Bộ từ sáng sớm nay.","Không khí lạnh mạnh đã ảnh hưởng hầu hết các tỉnh Tây Bắc Bộ, Bắc Trung Bộ và một số nơi ở Trung Trung Bộ từ sáng sớm nay.",OK,HIGH
_FsoCUnyXCI,2,17.0,23.0,6.0,Thậm chí là nhiệt độ ở vùng núi cao có nơi còn dưới 0 độ C khiến cho một số nơi xuất hiện băng giá.,Thậm chí là nhiệt độ ở vùng núi cao có nơi còn dưới 0 độ C khiến cho một số nơi xuất hiện băng giá.,Thậm chí là nhiệt độ ở vùng núi cao có nơi còn dưới 0 độ C khiến cho một số nơi xuất hiện băng giá.,OK,HIGH
_FsoCUnyXCI,3,23.0,29.0,6.0,"8 giờ sáng nay, nhiệt độ trên đỉnh Mẫu Sơn, tuyện Lộc Bình của tỉnh Lạng Sơn là ấm 1,6 độ C.","8 giờ sáng nay, nhiệt độ trên đỉnh Mẫu Sơn, tuyện Lộc Bình của tỉnh Lạng Sơn là ấm 1,6 độ C.","8 giờ sáng nay, nhiệt độ trên đỉnh Mẫu Sơn, tuyện Lộc Bình của tỉnh Lạng Sơn là ấm 1,6 độ C.",OK,HIGH
_FsoCUnyXCI,4,29.0,34.0,5.0,"Băng giá xuất hiện từ đêm qua phủ dày trên các tán cây, mặt cỏ, mái nhà.","Băng giá xuất hiện từ đêm qua phủ dày trên các tán cây, mặt cỏ, mái nhà.","Băng giá xuất hiện từ đêm qua phủ dày trên các tán cây, mặt cỏ, mái nhà.",OK,HIGH
_FsoCUnyXCI,5,34.0,37.0,3.0,Nhiều du khách đã có mặt tại đây để chiêm ngưỡng hiện tượng này.,Nhiều du khách đã có mặt tại đây để chiêm ngưỡng hiện tượng này.,Nhiều du khách đã có mặt tại đây để chiêm ngưỡng hiện tượng này.,OK,HIGH
_FsoCUnyXCI,6,37.0,44.0,7.0,"Tại một số xã biên giới như là Đồng Văn, Mèo Vạc của tỉnh Hà Giang, nhiệt độ xuống ấm 2 độ C.","Tại một số xã biên giới như là Đồng Văn, Mèo Vạc của tỉnh Hà Giang, nhiệt độ xuống ấm 2 độ C.","Tại một số xã biên giới như là Đồng Văn, Mèo Vạc của tỉnh Hà Giang, nhiệt độ xuống ấm 2 độ C.",OK,HIGH
_FsoCUnyXCI,7,44.0,48.0,4.0,"Băng giá và xương muối dày đặc phủ trắng cành cây, ngọn cỏ.","Băng giá và xương muối dày đặc phủ trắng cành cây, ngọn cỏ.","Băng giá và xương muối dày đặc phủ trắng cành cây, ngọn cỏ.",OK,HIGH
_FsoCUnyXCI,8,48.0,51.0,3.0,Nhiều diện tích dao màu của người dân cũng đã bị thiệt hại.,Nhiều diện tích dao màu của người dân cũng đã bị thiệt hại.,Nhiều diện tích dao màu của người dân cũng đã bị thiệt hại.,OK,HIGH
_FsoCUnyXCI,9,51.0,57.0,6.0,"Còn tại đỉnh Phi Ốc, Phi Đén, xã Thành Công, huyện Nguyên Bình của tỉnh Cao Bằng.","Còn tại đỉnh Phi Ốc, Phi Đén, xã Thành Công, huyện Nguyên Bình của tỉnh Cao Bằng.","Còn tại đỉnh Phi Ốc, Phi Đén, xã Thành Công, huyện Nguyên Bình của tỉnh Cao Bằng.",OK,HIGH
_FsoCUnyXCI,10,57.0,63.0,6.0,"Từ đêm qua đến sáng nay, mưa liên tục kéo dài hơn 20 tiếng đồng hồ kết hợp cùng không khí lạnh","Từ đêm qua đến sáng nay, mưa liên tục kéo dài hơn 20 tiếng đồng hồ kết hợp cùng không khí lạnh","Từ đêm qua đến sáng nay, mưa liên tục kéo dài hơn 20 tiếng đồng hồ kết hợp cùng không khí lạnh",OK,HIGH
_FsoCUnyXCI,11,63.0,65.0,2.0,khiến cho nhiệt độ giảm xuống dưới 10 độ C.,khiến cho nhiệt độ giảm xuống dưới 10 độ C.,khiến cho nhiệt độ giảm xuống dưới 10 độ C.,OK,HIGH
_FsoCUnyXCI,12,65.0,70.0,5.0,"Khu vực này đã xuất hiện băng giá, càng lên cao thì lớp băng phủ càng dày đặc.","Khu vực này đã xuất hiện băng giá, càng lên cao thì lớp băng phủ càng dày đặc.","Khu vực này đã xuất hiện băng giá, càng lên cao thì lớp băng phủ càng dày đặc.",OK,HIGH
_FsoCUnyXCI,13,70.0,73.0,3.0,Nhiều du khách đã có mặt ở đây từ sáng sớm để ghi lại cảnh tượng này.,Nhiều du khách đã có mặt ở đây từ sáng sớm để ghi lại cảnh tượng này.,Nhiều du khách đã có mặt ở đây từ sáng sớm để ghi lại cảnh tượng này.,OK,HIGH
