id,start,end,duration,text_len,text,video_id
0,0.0,5.0,5.0,83,Sang tháng 12 cũng là lúc đồng bằng sâm Cửu Long chuẩn bị bước vào một mùa mặn mới.,aRM8LmNkuo4
1,5.0,10.0,5.0,70,Cứ mùa lũ trước mà thấp thì sâm nhập mặn ngay sau đó lại càng gai gắt.,aRM8LmNkuo4
2,10.0,15.0,5.0,89,"Đỉnh lũ năm nay tại miền Tây đã xuất hiện vào những ngày cuối tháng 10 và ở mức rất thấp,",aRM8LmNkuo4
3,15.0,21.0,6.0,95,chưa tới mức 3.1. Nhưng mà bù lại thì mùa mưa năm nay ở đồng bằng sâm Cửu Long lại kéo dài hơn.,aRM8LmNkuo4
4,21.0,26.0,5.0,80,Và liệu điều này có giúp làm sâm nhập mặn trong thời gian tới có giảm hay không?,aRM8LmNkuo4
5,27.0,31.0,4.0,85,Cũng có nhiều quý vị khán giả cũng đạt ra những thắc mắc giống như anh Dương vừa rồi.,aRM8LmNkuo4
6,31.0,36.0,5.0,72,Tuy nhiên theo các chuyên gia thủy lợi thì cho rằng là những cơn mưa này,aRM8LmNkuo4
7,36.0,38.0,2.0,51,thì nó sẽ không có tác dụng làm giảm hạn mặn đâu ạ.,aRM8LmNkuo4
8,38.0,42.0,4.0,77,Và cụ thể thì những cơn mưa đó thì nó giúp người dân ở đồng bằng sâm Cửu Long,aRM8LmNkuo4
9,42.0,44.0,2.0,33,là giảm bớt áp lực về nguồn nước.,aRM8LmNkuo4
10,44.0,48.0,4.0,77,Thường về cuối mùa mưa tức là khoảng đầu tháng 11 thì bà con sẽ tích chữ nước,aRM8LmNkuo4
11,48.0,52.0,4.0,60,trong kênh rạch Hồ Ao để có thể sử dụng cho 6 tháng mùa khô.,aRM8LmNkuo4
12,52.0,56.0,4.0,67,Còn vào năm nay do là mùa mưa thì kết thúc muộn đồng nghĩa với việc,aRM8LmNkuo4
13,56.0,58.0,2.0,38,là bà con bớt đi được 1 tháng khô hạn.,aRM8LmNkuo4
14,58.0,62.0,4.0,74,Còn sâm nhập mặn ở đồng bằng sâm Cửu Long thì lại phụ thuộc vào nguồn nước,aRM8LmNkuo4
15,62.0,64.0,2.0,46,từ thượng nguồn sông Mê Công chảy về là chính.,aRM8LmNkuo4
16,64.0,68.0,4.0,68,Nếu như nguồn nước về nhiều thì sẽ có tác dụng là làm loãng nước mặn,aRM8LmNkuo4
17,68.0,73.0,5.0,72,mỗi khi mà thủy chiều lên do đó thì nó sẽ đẩy lùi mặn ra ngoài cửa sông.,aRM8LmNkuo4
18,73.0,77.0,4.0,58,Còn ngược lại thì mặn sẽ lại sâm nhập sâu cả vào hàng chục,aRM8LmNkuo4
19,77.0,80.0,3.0,30,và thậm chí là hơn 100 km nữa.,aRM8LmNkuo4
20,83.0,86.0,3.0,72,"Nguồn nước chảy về đồng bằng sông Cửu Long bao gồm lượng nước ở Biển Hồ,",aRM8LmNkuo4
21,86.0,90.0,4.0,80,"Campuchia, dòng chảy trên sông Mê Công và lượng nước ở các hồ chứa thượng nguồn.",aRM8LmNkuo4
22,90.0,95.0,5.0,78,Đến nay thì tổng dung tích trữ nước trên các hồ phía thượng nguồn đạt gần 86%.,aRM8LmNkuo4
23,95.0,98.0,3.0,74,Lưu lượng nước trên sông Mê Công đang ở mức thấp hơn trung bình nhiều năm.,aRM8LmNkuo4
24,98.0,102.0,4.0,75,Đến nay thì tại trạm Gratia gần đồng bằng sông Cửu Long vẫn thấp hơn khoảng,aRM8LmNkuo4
25,102.0,105.0,3.0,34,33 cm so với trung bình nhiều năm.,aRM8LmNkuo4
26,105.0,108.0,3.0,55,Nguồn nước thứ 3 về đồng bằng sông Cửu Long là Biển Hồ.,aRM8LmNkuo4
27,108.0,113.0,5.0,80,Tổng dung tích nước đang cao hơn cùng thời kỳ 2 năm mặn lịch sử là 2015 và 2019.,aRM8LmNkuo4
28,113.0,117.0,4.0,73,"Nhưng vẫn thấp hơn so với trung bình hàng năm khoảng gần 3,5 tỷ mét khối.",aRM8LmNkuo4
