video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
b2IDNL9ySTY.f251,0,0.0,17.0,17.0,"Bão Assani dự báo khi đi vào Biển Đông sẽ suy yếu dần, lúc 13h hôm nay tâm bão Assani ở trên vùng biển phía nam đảo Đài Loan cường độ cấp 10 giật cấp 12, dự báo trong 24h tới bão sẽ đi vào Biển Đông.","Bão Assani dự báo khi đi vào Biển Đông sẽ suy yếu dần, lúc 13h hôm nay tâm bão Assani ở trên vùng biển phía nam đảo Đài Loan cường độ cấp 10 giật cấp 12, dự báo trong 24h tới bão sẽ đi vào Biển Đông.","Bão Assani dự báo khi đi vào Biển Đông sẽ suy yếu dần, lúc 13h hôm nay tâm bão Assani ở trên vùng biển phía nam đảo Đài Loan cường độ cấp 10 giật cấp 12, dự báo trong 24h tới bão sẽ đi vào Biển Đông.",OK,HIGH
b2IDNL9ySTY.f251,1,17.0,26.0,9.0,"Đến 13h ngày mai, tâm bão ở khoảng 22,1 độ Vĩ Bắc, 118,2 độ Kinh Đông, cường độ bão cấp 8, cấp 9 giật trên cấp 11.","Đến 13h ngày mai, tâm bão ở khoảng 22,1 độ Vĩ Bắc, 118,2 độ Kinh Đông, cường độ bão cấp 8, cấp 9 giật trên cấp 11.","Đến 13h ngày mai, tâm bão ở khoảng 22,1 độ Vĩ Bắc, 118,2 độ Kinh Đông, cường độ bão cấp 8, cấp 9 giật trên cấp 11.",OK,HIGH
b2IDNL9ySTY.f251,2,27.0,34.0,7.0,"Trong 24 đến 48 giờ tiếp theo, khi di chuyển tới phía Bắc của huyện đảo Hoàng Sa, bão sẽ suy yếu dần, thành áp thấp nhiệt đới.","Trong 24 đến 48 giờ tiếp theo, khi di chuyển tới phía Bắc của huyện đảo Hoàng Sa, bão sẽ suy yếu dần, thành áp thấp nhiệt đới.","Trong 24 đến 48 giờ tiếp theo, khi di chuyển tới phía Bắc của huyện đảo Hoàng Sa, bão sẽ suy yếu dần, thành áp thấp nhiệt đới.",OK,HIGH
b2IDNL9ySTY.f251,3,36.0,44.0,8.0,"Còn vào lúc này, những cơn mưa to đến rất cao do ảnh hưởng của bão số 10 vẫn đang tiếp tục diễn ra ở khu vực miền núi tỉnh Quảng Nam.","Còn vào lúc này, những cơn mưa to đến rất cao do ảnh hưởng của bão số 10 vẫn đang tiếp tục diễn ra ở khu vực miền núi tỉnh Quảng Nam.","Còn vào lúc này, những cơn mưa to đến rất cao do ảnh hưởng của bão số 10 vẫn đang tiếp tục diễn ra ở khu vực miền núi tỉnh Quảng Nam.",OK,HIGH
b2IDNL9ySTY.f251,4,44.0,51.0,7.0,"Nguy cơ tái diễn tình trạng sạt lờ đất tại các huyện Bắc Trà Mi, Nam Trà Mi, Phước Sơn, Tây Giang là rất cao.","Nguy cơ tái diễn tình trạng sạt lờ đất tại các huyện Bắc Trà Mi, Nam Trà Mi, Phước Sơn, Tây Giang là rất cao.","Nguy cơ tái diễn tình trạng sạt lờ đất tại các huyện Bắc Trà Mi, Nam Trà Mi, Phước Sơn, Tây Giang là rất cao.",OK,HIGH
b2IDNL9ySTY.f251,5,51.0,58.0,7.0,"Trước tình hình này, tỉnh Quảng Nam đã tiến hành sơ tán trên diện rộng người dân tại các khu dân cư có nguy cơ bị sạt lờ cao.","Trước tình hình này, tỉnh Quảng Nam đã tiến hành sơ tán trên diện rộng người dân tại các khu dân cư có nguy cơ bị sạt lờ cao.","Trước tình hình này, tỉnh Quảng Nam đã tiến hành sơ tán trên diện rộng người dân tại các khu dân cư có nguy cơ bị sạt lờ cao.",OK,HIGH
b2IDNL9ySTY.f251,6,58.0,65.0,7.0,"Về việc tìm kiếm 18 người còn mất tích tại xã Trà Leng, xã Trà Mai của huyện Nam Trà Mi và huyện Phước Sơn,","Về việc tìm kiếm 18 người còn mất tích tại xã Trà Leng, xã Trà Mai của huyện Nam Trà Mi và huyện Phước Sơn,","Về việc tìm kiếm 18 người còn mất tích tại xã Trà Leng, xã Trà Mai của huyện Nam Trà Mi và huyện Phước Sơn,",OK,HIGH
b2IDNL9ySTY.f251,7,65.0,69.0,4.0,"hiện quân đội, công an, biên phòng vẫn duy trì lực lượng tại địa bàn.","hiện quân đội, công an, biên phòng vẫn duy trì lực lượng tại địa bàn.","hiện quân đội, công an, biên phòng vẫn duy trì lực lượng tại địa bàn.",OK,HIGH
b2IDNL9ySTY.f251,8,69.0,76.0,7.0,Nhưng việc tìm kiếm phải tạm dừng do mưa lũ phức tạp. Lực lượng này sẽ nối lại hoạt động ngay sau khi thời tiết được thuận lợi.,Nhưng việc tìm kiếm phải tạm dừng do mưa lũ phức tạp. Lực lượng này sẽ nối lại hoạt động ngay sau khi thời tiết được thuận lợi.,Nhưng việc tìm kiếm phải tạm dừng do mưa lũ phức tạp. Lực lượng này sẽ nối lại hoạt động ngay sau khi thời tiết được thuận lợi.,OK,HIGH
b2IDNL9ySTY.f251,9,82.0,86.0,4.0,Hoàng Lưu bão số 10 cũng đã gây ra mưa lớn trên địa bàn của tỉnh Quảng Ngãi.,Hoàng Lưu bão số 10 cũng đã gây ra mưa lớn trên địa bàn của tỉnh Quảng Ngãi.,Hoàng Lưu bão số 10 cũng đã gây ra mưa lớn trên địa bàn của tỉnh Quảng Ngãi.,OK,HIGH
