video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
c3b8zWO3d8s,0,0.0,3.0,3.0,Còn bây giờ sẽ là những thông tin dự báo thời tiết.,Còn bây giờ sẽ là những thông tin dự báo thời tiết.,Còn bây giờ sẽ là những thông tin dự báo thời tiết.,OK,HIGH
c3b8zWO3d8s,1,3.0,8.0,5.0,"Chị Quỳnh Anh, ngày hôm nay thì mấy hôm nay ở Hà Nội, miền Bắc thì trời âm u, mưa ẩm cả.","Chị Quỳnh Anh, ngày hôm nay thì mấy hôm nay ở Hà Nội, miền Bắc thì trời âm u, mưa ẩm cả.","Chị Quỳnh Anh, ngày hôm nay thì mấy hôm nay ở Hà Nội, miền Bắc thì trời âm u, mưa ẩm cả.",OK,HIGH
c3b8zWO3d8s,2,8.0,11.0,3.0,Nhưng mà ở miền Nam thì bắt đầu bước vào đợt nắng nóng đầu mùa.,Nhưng mà ở miền Nam thì bắt đầu bước vào đợt nắng nóng đầu mùa.,Nhưng mà ở miền Nam thì bắt đầu bước vào đợt nắng nóng đầu mùa.,OK,HIGH
c3b8zWO3d8s,3,11.0,14.0,3.0,Thông tin cụ thể như thế nào? Mời chị cung cấp cho khán giả.,Thông tin cụ thể như thế nào? Mời chị cung cấp cho khán giả.,Thông tin cụ thể như thế nào? Mời chị cung cấp cho khán giả.,OK,HIGH
c3b8zWO3d8s,4,14.0,18.0,4.0,"Dạ vâng, ngày hôm nay thì Nam Bộ rất là nắng nóng để có thể biết được mức độ ngày hôm nay ra sao.","Dạ vâng, ngày hôm nay thì Nam Bộ rất là nắng nóng để có thể biết được mức độ ngày hôm nay ra sao.","Dạ vâng, ngày hôm nay thì Nam Bộ rất là nắng nóng để có thể biết được mức độ ngày hôm nay ra sao.",OK,HIGH
c3b8zWO3d8s,5,18.0,21.0,3.0,Thì mời anh Dương và quý vị khán giả cùng tôi theo dõi hình ảnh thực tế,Thì mời anh Dương và quý vị khán giả cùng tôi theo dõi hình ảnh thực tế,Thì mời anh Dương và quý vị khán giả cùng tôi theo dõi hình ảnh thực tế,OK,HIGH
c3b8zWO3d8s,6,21.0,24.0,3.0,được ghi nhận tại thành phố Hồ Chí Minh ngay sau đây.,được ghi nhận tại thành phố Hồ Chí Minh ngay sau đây.,được ghi nhận tại thành phố Hồ Chí Minh ngay sau đây.,OK,HIGH
c3b8zWO3d8s,7,24.0,29.0,5.0,Ngày hôm nay thì trời không có một cợn mây che nắng xanh ngắt như thế này.,Ngày hôm nay thì trời không có một cợn mây che nắng xanh ngắt như thế này.,Ngày hôm nay thì trời không có một cợn mây che nắng xanh ngắt như thế này.,OK,HIGH
c3b8zWO3d8s,8,29.0,32.0,3.0,Mọi người đi đường đều phải bịt kín cho đỡ rác.,Mọi người đi đường đều phải bịt kín cho đỡ rác.,Mọi người đi đường đều phải bịt kín cho đỡ rác.,OK,HIGH
c3b8zWO3d8s,9,32.0,37.0,5.0,Nhiệt độ ngày hôm nay thì cũng tương bằng với mức nhiệt của ngày hôm qua là 36 độ.,Nhiệt độ ngày hôm nay thì cũng tương bằng với mức nhiệt của ngày hôm qua là 36 độ.,Nhiệt độ ngày hôm nay thì cũng tương bằng với mức nhiệt của ngày hôm qua là 36 độ.,OK,HIGH
c3b8zWO3d8s,10,37.0,43.0,6.0,"Nhưng ai cũng cảm thấy khô hơn do độ ẩm tiếp tục giảm, chỉ còn là 23% cực kỳ thấp.","Nhưng ai cũng cảm thấy khô hơn do độ ẩm tiếp tục giảm, chỉ còn là 23% cực kỳ thấp.","Nhưng ai cũng cảm thấy khô hơn do độ ẩm tiếp tục giảm, chỉ còn là 23% cực kỳ thấp.",OK,HIGH
c3b8zWO3d8s,11,43.0,47.0,4.0,Cao điểm của đợt nóng này sẽ còn duy trì trong 2 ngày cuối tuần.,Cao điểm của đợt nóng này sẽ còn duy trì trong 2 ngày cuối tuần.,Cao điểm của đợt nóng này sẽ còn duy trì trong 2 ngày cuối tuần.,OK,HIGH
c3b8zWO3d8s,12,47.0,51.0,4.0,Sự báo nhiệt độ tại thành phố Hồ Chí Minh vẫn là 36 độ.,Sự báo nhiệt độ tại thành phố Hồ Chí Minh vẫn là 36 độ.,Sự báo nhiệt độ tại thành phố Hồ Chí Minh vẫn là 36 độ.,OK,HIGH
c3b8zWO3d8s,13,51.0,54.0,3.0,2 tuần sau thì sẽ giảm nhẹ xuống còn 35 độ.,2 tuần sau thì sẽ giảm nhẹ xuống còn 35 độ.,2 tuần sau thì sẽ giảm nhẹ xuống còn 35 độ.,OK,HIGH
