video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
dSAEpO46gFQ,0,0.0,5.5,5.5,Còn tiếp theo sẽ là những thông tin dự báo thời tiết cùng với biên tập viên thời tiết Thanh Tùng.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết cùng với biên tập viên thời tiết Thanh Tùng.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết cùng với biên tập viên thời tiết Thanh Tùng.,OK,HIGH
dSAEpO46gFQ,1,5.5,10.0,4.5,"Anh Tùng thân mến, ngày hôm nay tôi tin là người dân miền Bắc đã cảm nhận được bắt đầu những cái ảnh hưởng đầu tiên của không khí lạnh rồi.","Anh Tùng thân mến, ngày hôm nay tôi tin là người dân miền Bắc đã cảm nhận được bắt đầu những cái ảnh hưởng đầu tiên của không khí lạnh rồi.","Anh Tùng thân mến, ngày hôm nay tôi tin là người dân miền Bắc đã cảm nhận được bắt đầu những cái ảnh hưởng đầu tiên của không khí lạnh rồi.",OK,HIGH
dSAEpO46gFQ,2,10.0,13.0,3.0,Không biết đợt này thì không khí có giảm sâu về nhiệt độ hay không ạ?,Không biết đợt này thì không khí có giảm sâu về nhiệt độ hay không ạ?,Không biết đợt này thì không khí có giảm sâu về nhiệt độ hay không ạ?,OK,HIGH
dSAEpO46gFQ,3,13.0,18.0,5.0,"Vâng, đến chiều ngày hôm nay thì không khí lạnh đã ảnh hưởng đến hầu khắp cả Bắc Bộ rồi và đã xuống tới cả Thanh Hóa và Nghệ An.","Vâng, đến chiều ngày hôm nay thì không khí lạnh đã ảnh hưởng đến hầu khắp cả Bắc Bộ rồi và đã xuống tới cả Thanh Hóa và Nghệ An.","Vâng, đến chiều ngày hôm nay thì không khí lạnh đã ảnh hưởng đến hầu khắp cả Bắc Bộ rồi và đã xuống tới cả Thanh Hóa và Nghệ An.",OK,HIGH
dSAEpO46gFQ,4,18.0,26.0,8.0,Và về nhiệt độ thì 13 giờ chiều ngày hôm nay tại những khu vực này thì đều đã giảm từ 4 đến 6 độ so với cùng thời điểm ngày hôm qua thôi ạ.,Và về nhiệt độ thì 13 giờ chiều ngày hôm nay tại những khu vực này thì đều đã giảm từ 4 đến 6 độ so với cùng thời điểm ngày hôm qua thôi ạ.,Và về nhiệt độ thì 13 giờ chiều ngày hôm nay tại những khu vực này thì đều đã giảm từ 4 đến 6 độ so với cùng thời điểm ngày hôm qua thôi ạ.,OK,HIGH
dSAEpO46gFQ,5,26.0,29.0,3.0,Hầu hết là mức nhiệt 16-19 độ.,Hầu hết là mức nhiệt 16-19 độ.,Hầu hết là mức nhiệt 16-19 độ.,OK,HIGH
dSAEpO46gFQ,6,29.0,34.0,5.0,"Nhiệt giảm kèm theo gió, đông bắc thổi khá là mạnh thế nên đi đường thì mọi người đều đã cảm thấy khá là rét rồi.","Nhiệt giảm kèm theo gió, đông bắc thổi khá là mạnh thế nên đi đường thì mọi người đều đã cảm thấy khá là rét rồi.","Nhiệt giảm kèm theo gió, đông bắc thổi khá là mạnh thế nên đi đường thì mọi người đều đã cảm thấy khá là rét rồi.",OK,HIGH
dSAEpO46gFQ,7,34.0,39.0,5.0,Dự báo đêm nay miền Bắc sẽ còn rét hơn nữa và nhiệt độ tiếp tục giảm thêm.,Dự báo đêm nay miền Bắc sẽ còn rét hơn nữa và nhiệt độ tiếp tục giảm thêm.,Dự báo đêm nay miền Bắc sẽ còn rét hơn nữa và nhiệt độ tiếp tục giảm thêm.,OK,HIGH
dSAEpO46gFQ,8,39.0,48.0,9.0,"Thấp nhất ở thủ đô Hà Nội và các thành phố Hải Dương, Ninh Bình, Hạ Long, Lạng Sơn, Lào Cai hay Sơn La là từ 12-16 độ.","Thấp nhất ở thủ đô Hà Nội và các thành phố Hải Dương, Ninh Bình, Hạ Long, Lạng Sơn, Lào Cai hay Sơn La là từ 12-16 độ.","Thấp nhất ở thủ đô Hà Nội và các thành phố Hải Dương, Ninh Bình, Hạ Long, Lạng Sơn, Lào Cai hay Sơn La là từ 12-16 độ.",OK,HIGH
dSAEpO46gFQ,9,48.0,55.0,7.0,"Thậm chí một số nơi vùng núi cao như Đồng Văn, Sapa hay Mộc Châu thì chỉ từ 7-10 độ.","Thậm chí một số nơi vùng núi cao như Đồng Văn, Sapa hay Mộc Châu thì chỉ từ 7-10 độ.","Thậm chí một số nơi vùng núi cao như Đồng Văn, Sapa hay Mộc Châu thì chỉ từ 7-10 độ.",OK,HIGH
