video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
dcrh_pFyd1w,0,0.0,6.0,6.0,"Kính thưa quý vị, tính đến 11 giờ trưa nay, mưa lũ tại miền Trung đã làm 10 người thiệt mạng và mất tích,","Kính thưa quý vị, tính đến 11 giờ trưa nay, mưa lũ tại miền Trung đã làm 10 người thiệt mạng và mất tích,","Kính thưa quý vị, tính đến 11 giờ trưa nay, mưa lũ tại miền Trung đã làm 10 người thiệt mạng và mất tích,",OK,HIGH
dcrh_pFyd1w,1,6.0,11.0,5.0,"trong đó tỉnh Phú Yên là 6 người, tỉnh Bình Định 3 người và Con Tum là 1 người.","trong đó tỉnh Phú Yên là 6 người, tỉnh Bình Định 3 người và Con Tum là 1 người.","trong đó tỉnh Phú Yên là 6 người, tỉnh Bình Định 3 người và Con Tum là 1 người.",OK,HIGH
dcrh_pFyd1w,2,11.0,16.0,5.0,"Tại Quảng Nam, trong khi chính quyền đang nỗ lực cùng với người dân giải phóng các điểm sạt lở","Tại Quảng Nam, trong khi chính quyền đang nỗ lực cùng với người dân giải phóng các điểm sạt lở","Tại Quảng Nam, trong khi chính quyền đang nỗ lực cùng với người dân giải phóng các điểm sạt lở",OK,HIGH
dcrh_pFyd1w,3,16.0,20.0,4.0,"tại xã Trà Cang, huyện Nam Trà My, sau khi một quả đồi lớn bất ngờ đổ ập xuống đường,","tại xã Trà Cang, huyện Nam Trà My, sau khi một quả đồi lớn bất ngờ đổ ập xuống đường,","tại xã Trà Cang, huyện Nam Trà My, sau khi một quả đồi lớn bất ngờ đổ ập xuống đường,",OK,HIGH
dcrh_pFyd1w,4,20.0,26.0,6.0,thì ở huyện Bắc Trà My lại xảy ra thêm một vụ sạt lở núi khiến cho ít nhất 3 xã bị cô lập hoàn toàn.,thì ở huyện Bắc Trà My lại xảy ra thêm một vụ sạt lở núi khiến cho ít nhất 3 xã bị cô lập hoàn toàn.,thì ở huyện Bắc Trà My lại xảy ra thêm một vụ sạt lở núi khiến cho ít nhất 3 xã bị cô lập hoàn toàn.,OK,HIGH
dcrh_pFyd1w,5,26.0,32.0,6.0,"Vụ việc xảy ra sáng nay khi một phần của quả đồi bất ngờ bị sạt lở xuống đường quốc lộ 40B,","Vụ việc xảy ra sáng nay khi một phần của quả đồi bất ngờ bị sạt lở xuống đường quốc lộ 40B,","Vụ việc xảy ra sáng nay khi một phần của quả đồi bất ngờ bị sạt lở xuống đường quốc lộ 40B,",OK,HIGH
dcrh_pFyd1w,6,32.0,38.0,6.0,đoạn qua xã Trà Giác với khối lượng đất đá cây cối vùi lấp đường là khoảng hơn 10.000m khối.,đoạn qua xã Trà Giác với khối lượng đất đá cây cối vùi lấp đường là khoảng hơn 10.000m khối.,đoạn qua xã Trà Giác với khối lượng đất đá cây cối vùi lấp đường là khoảng hơn 10.000m khối.,OK,HIGH
dcrh_pFyd1w,7,38.0,43.0,5.0,Vụ sạt lở núi cũng khiến cho giao thông lưu thông lên 3 xã vùng cao của huyện Bắc Trà My,Vụ sạt lở núi cũng khiến cho giao thông lưu thông lên 3 xã vùng cao của huyện Bắc Trà My,Vụ sạt lở núi cũng khiến cho giao thông lưu thông lên 3 xã vùng cao của huyện Bắc Trà My,OK,HIGH
dcrh_pFyd1w,8,43.0,48.0,5.0,"là Trà Giác, Trà Giáp và Trà Ca, lên huyện Nam Trà My hoàn toàn bị cắt đứt","là Trà Giác, Trà Giáp và Trà Ca, lên huyện Nam Trà My hoàn toàn bị cắt đứt","là Trà Giác, Trà Giáp và Trà Ca, lên huyện Nam Trà My hoàn toàn bị cắt đứt",OK,HIGH
dcrh_pFyd1w,9,48.0,51.0,3.0,và chưa thể xác định được thời điểm có thể thông tuyến.,và chưa thể xác định được thời điểm có thể thông tuyến.,và chưa thể xác định được thời điểm có thể thông tuyến.,OK,HIGH
