video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
eIXY2Ib2tiA.f251,0,0.0,4.0,4.0,Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.,Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.,Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.,OK,HIGH
eIXY2Ib2tiA.f251,1,4.0,9.0,5.0,"Theo thông kê của Ban chỉ đạo Trung ương về phòng chống thiên tai, tính đến 17h hôm nay,","Theo thông kê của Ban chỉ đạo Trung ương về phòng chống thiên tai, tính đến 17h hôm nay,","Theo thông kê của Ban chỉ đạo Trung ương về phòng chống thiên tai, tính đến 17h hôm nay,",OK,HIGH
eIXY2Ib2tiA.f251,2,9.0,15.0,6.0,"mưa lũ đã khiến 118 người thiệt mạng, trong đó thiệt hại nặng nề nhất là Quảng Trị 50 người,","mưa lũ đã khiến 118 người thiệt mạng, trong đó thiệt hại nặng nề nhất là Quảng Trị 50 người,","mưa lũ đã khiến 118 người thiệt mạng, trong đó thiệt hại nặng nề nhất là Quảng Trị 50 người,",OK,HIGH
eIXY2Ib2tiA.f251,3,15.0,22.0,7.0,"Thứa Thiên Huế 29 người, Quảng Bình 11 người. Vẫn còn 21 người mất tích, gồm Quảng Trị 4 người,","Thứa Thiên Huế 29 người, Quảng Bình 11 người. Vẫn còn 21 người mất tích, gồm Quảng Trị 4 người,","Thứa Thiên Huế 29 người, Quảng Bình 11 người. Vẫn còn 21 người mất tích, gồm Quảng Trị 4 người,",OK,HIGH
eIXY2Ib2tiA.f251,4,22.0,27.0,5.0,"Thứa Thiên Huế 14 người, Đà Nẵng 1 người, Gia Lai 1 người.","Thứa Thiên Huế 14 người, Đà Nẵng 1 người, Gia Lai 1 người.","Thứa Thiên Huế 14 người, Đà Nẵng 1 người, Gia Lai 1 người.",OK,HIGH
eIXY2Ib2tiA.f251,5,27.0,31.0,4.0,"Còn 37.000 ngôi nhà bị hư hỏng một phần hoặc hư hỏng hoàn toàn do ngập lụt,","Còn 37.000 ngôi nhà bị hư hỏng một phần hoặc hư hỏng hoàn toàn do ngập lụt,","Còn 37.000 ngôi nhà bị hư hỏng một phần hoặc hư hỏng hoàn toàn do ngập lụt,",OK,HIGH
eIXY2Ib2tiA.f251,6,31.0,35.0,4.0,trong đó riêng ở Quảng Bình là gần 22.000 nhà.,trong đó riêng ở Quảng Bình là gần 22.000 nhà.,trong đó riêng ở Quảng Bình là gần 22.000 nhà.,OK,HIGH
eIXY2Ib2tiA.f251,7,37.0,42.0,5.0,"Hôm nay, lũ ở nhiều địa phương đã rút, thế nhưng khó khăn của người dân vẫn còn trồng chất.","Hôm nay, lũ ở nhiều địa phương đã rút, thế nhưng khó khăn của người dân vẫn còn trồng chất.","Hôm nay, lũ ở nhiều địa phương đã rút, thế nhưng khó khăn của người dân vẫn còn trồng chất.",OK,HIGH
eIXY2Ib2tiA.f251,8,42.0,47.0,5.0,"Nhiều bà con bắt đầu trở về nhà, nhiều người thì chẳng còn nhà để về.","Nhiều bà con bắt đầu trở về nhà, nhiều người thì chẳng còn nhà để về.","Nhiều bà con bắt đầu trở về nhà, nhiều người thì chẳng còn nhà để về.",OK,HIGH
eIXY2Ib2tiA.f251,9,47.0,52.0,5.0,"Sau những ngày gồng mình chống lũ, họ lại bắt đầu cuộc sống mới, gần như từ con số 0.","Sau những ngày gồng mình chống lũ, họ lại bắt đầu cuộc sống mới, gần như từ con số 0.","Sau những ngày gồng mình chống lũ, họ lại bắt đầu cuộc sống mới, gần như từ con số 0.",OK,HIGH
eIXY2Ib2tiA.f251,10,53.0,56.0,3.0,Trở về nhà sau trận lũ kinh hoàng.,Trở về nhà sau trận lũ kinh hoàng.,Trở về nhà sau trận lũ kinh hoàng.,OK,HIGH
eIXY2Ib2tiA.f251,11,56.0,62.0,6.0,"Gia đình ông Trần Duy Cảng ở thôn Xuân Hồi, xã Liên Thủy, huyện Lệ Thủy, tỉnh Quảng Bình, Bang Hoàng.","Gia đình ông Trần Duy Cảng ở thôn Xuân Hồi, xã Liên Thủy, huyện Lệ Thủy, tỉnh Quảng Bình, Bang Hoàng.","Gia đình ông Trần Duy Cảng ở thôn Xuân Hồi, xã Liên Thủy, huyện Lệ Thủy, tỉnh Quảng Bình, Bang Hoàng.",OK,HIGH
eIXY2Ib2tiA.f251,12,62.0,67.0,5.0,"Nhà cửa bị xé tứ bề, tài sản của cải trôi theo dòng nước lũ.","Nhà cửa bị xé tứ bề, tài sản của cải trôi theo dòng nước lũ.","Nhà cửa bị xé tứ bề, tài sản của cải trôi theo dòng nước lũ.",OK,HIGH
eIXY2Ib2tiA.f251,13,67.0,69.0,2.0,Gia đình gần như lâm vào cảnh trắng tay.,Gia đình gần như lâm vào cảnh trắng tay.,Gia đình gần như lâm vào cảnh trắng tay.,OK,HIGH
eIXY2Ib2tiA.f251,14,69.0,75.0,6.0,"Còn xót lại là những bao thóc giống đã bị ngâm nước hơn 10 ngày, đứng mang ra phơi vội.","Còn xót lại là những bao thóc giống đã bị ngâm nước hơn 10 ngày, đứng mang ra phơi vội.","Còn xót lại là những bao thóc giống đã bị ngâm nước hơn 10 ngày, đứng mang ra phơi vội.",OK,HIGH
eIXY2Ib2tiA.f251,15,75.0,79.0,4.0,"Cùng với gia đình ông Cảng, hàng ngàn hộ dân nơi đây cũng lâm vào cảnh tương tự.","Cùng với gia đình ông Cảng, hàng ngàn hộ dân nơi đây cũng lâm vào cảnh tương tự.","Cùng với gia đình ông Cảng, hàng ngàn hộ dân nơi đây cũng lâm vào cảnh tương tự.",OK,HIGH
eIXY2Ib2tiA.f251,16,82.0,104.0,22.0,"Nước đã rút, nỗi lo này chưa qua, nỗi lo khác lại ập tới.","Nước đã rút, nỗi lo này chưa qua, nỗi lo khác lại ập tới.","Nước đã rút, nỗi lo này chưa qua, nỗi lo khác lại ập tới.",OK,HIGH
eIXY2Ib2tiA.f251,17,104.0,108.0,4.0,"Đường xá, nhà cửa đang bị bùn lầy, rác bổ vây.","Đường xá, nhà cửa đang bị bùn lầy, rác bổ vây.","Đường xá, nhà cửa đang bị bùn lầy, rác bổ vây.",OK,HIGH
eIXY2Ib2tiA.f251,18,108.0,112.0,4.0,Dân và chính quyền địa phương đang nỗ lực dọn dẹp lại nhằm ổn định cuộc sống.,Dân và chính quyền địa phương đang nỗ lực dọn dẹp lại nhằm ổn định cuộc sống.,Dân và chính quyền địa phương đang nỗ lực dọn dẹp lại nhằm ổn định cuộc sống.,OK,HIGH
eIXY2Ib2tiA.f251,19,112.0,116.0,4.0,"Tuy nhiên, vẫn còn đó là sự lo lắng về dịch bệnh, vệ sinh môi trường sau lũ.","Tuy nhiên, vẫn còn đó là sự lo lắng về dịch bệnh, vệ sinh môi trường sau lũ.","Tuy nhiên, vẫn còn đó là sự lo lắng về dịch bệnh, vệ sinh môi trường sau lũ.",OK,HIGH
eIXY2Ib2tiA.f251,20,138.0,151.0,13.0,Chính quyền tỉnh Quảng Bình đã quyết định hỗ trợ mỗi hộ gia đình 1 triệu đồng.,Chính quyền tỉnh Quảng Bình đã quyết định hỗ trợ mỗi hộ gia đình 1 triệu đồng.,Chính quyền tỉnh Quảng Bình đã quyết định hỗ trợ mỗi hộ gia đình 1 triệu đồng.,OK,HIGH
eIXY2Ib2tiA.f251,21,151.0,156.0,5.0,"Bên cạnh đó, Cục Dự trữ Nhà nước khu vực Bình Trị Thiên cũng đã cấp phát 1.000 tấn gạo cho người dân vùng lũ.","Bên cạnh đó, Cục Dự trữ Nhà nước khu vực Bình Trị Thiên cũng đã cấp phát 1.000 tấn gạo cho người dân vùng lũ.","Bên cạnh đó, Cục Dự trữ Nhà nước khu vực Bình Trị Thiên cũng đã cấp phát 1.000 tấn gạo cho người dân vùng lũ.",OK,HIGH
eIXY2Ib2tiA.f251,22,156.0,159.0,3.0,"Tuy nhiên, đó là những phương án trước mắt.","Tuy nhiên, đó là những phương án trước mắt.","Tuy nhiên, đó là những phương án trước mắt.",OK,HIGH
eIXY2Ib2tiA.f251,23,160.0,163.0,3.0,"Về lâu dài, để có thể khôi phục cuộc sống, khôi phục sản xuất,","Về lâu dài, để có thể khôi phục cuộc sống, khôi phục sản xuất,","Về lâu dài, để có thể khôi phục cuộc sống, khôi phục sản xuất,",OK,HIGH
eIXY2Ib2tiA.f251,24,163.0,168.0,5.0,"cần phải có sự trung tay của cả người dân, chính quyền và cả những nhà hảo tâm.","cần phải có sự trung tay của cả người dân, chính quyền và cả những nhà hảo tâm.","cần phải có sự trung tay của cả người dân, chính quyền và cả những nhà hảo tâm.",OK,HIGH
eIXY2Ib2tiA.f251,25,171.0,175.0,4.0,"Còn tại Hà Tĩnh, lực lượng chức năng đang tập trung hỗ trợ người dân khắc phục thiệt hại.","Còn tại Hà Tĩnh, lực lượng chức năng đang tập trung hỗ trợ người dân khắc phục thiệt hại.","Còn tại Hà Tĩnh, lực lượng chức năng đang tập trung hỗ trợ người dân khắc phục thiệt hại.",OK,HIGH
eIXY2Ib2tiA.f251,26,175.0,180.0,5.0,Yêu tiên trước mắt là giúp các hộ dân dọn dẹp nhà cửa để ổn định cuộc sống.,Yêu tiên trước mắt là giúp các hộ dân dọn dẹp nhà cửa để ổn định cuộc sống.,Yêu tiên trước mắt là giúp các hộ dân dọn dẹp nhà cửa để ổn định cuộc sống.,OK,HIGH
eIXY2Ib2tiA.f251,27,180.0,184.0,4.0,Sau đó là dọn dẹp trường học để học sinh có thể sớm đến trường.,Sau đó là dọn dẹp trường học để học sinh có thể sớm đến trường.,Sau đó là dọn dẹp trường học để học sinh có thể sớm đến trường.,OK,HIGH
eIXY2Ib2tiA.f251,28,185.0,192.0,7.0,"Quay trở về nhà sau những ngày tránh lũ, bà Chiên cảm thấy bất lực trước những thiệt hại do mờ lũ gây ra.","Quay trở về nhà sau những ngày tránh lũ, bà Chiên cảm thấy bất lực trước những thiệt hại do mờ lũ gây ra.","Quay trở về nhà sau những ngày tránh lũ, bà Chiên cảm thấy bất lực trước những thiệt hại do mờ lũ gây ra.",OK,HIGH
eIXY2Ib2tiA.f251,29,192.0,197.0,5.0,"Toàn bộ 100 tấn lúa đã bị ngầm nước, hư hỏng, thiệt hại gần 800 triệu đồng.","Toàn bộ 100 tấn lúa đã bị ngầm nước, hư hỏng, thiệt hại gần 800 triệu đồng.","Toàn bộ 100 tấn lúa đã bị ngầm nước, hư hỏng, thiệt hại gần 800 triệu đồng.",OK,HIGH
eIXY2Ib2tiA.f251,30,197.0,203.0,6.0,Các lực lượng quân sự đã tập trung hỗ trợ gia đình bốc lúa đi sấy nhằm vớt phát những gì còn xót lại.,Các lực lượng quân sự đã tập trung hỗ trợ gia đình bốc lúa đi sấy nhằm vớt phát những gì còn xót lại.,Các lực lượng quân sự đã tập trung hỗ trợ gia đình bốc lúa đi sấy nhằm vớt phát những gì còn xót lại.,OK,HIGH
eIXY2Ib2tiA.f251,31,214.0,226.0,12.0,"Còn tại các trường học, bệnh viện, cơ sở y tế trên địa bàn Hà Tĩnh, nước lũ đã để lại một lượng buôn khá lớn.","Còn tại các trường học, bệnh viện, cơ sở y tế trên địa bàn Hà Tĩnh, nước lũ đã để lại một lượng buôn khá lớn.","Còn tại các trường học, bệnh viện, cơ sở y tế trên địa bàn Hà Tĩnh, nước lũ đã để lại một lượng buôn khá lớn.",OK,HIGH
eIXY2Ib2tiA.f251,32,226.0,230.0,4.0,"Sách vở, bàn ghế, dụng cụ dạy học đều bị ướt, hư hỏng.","Sách vở, bàn ghế, dụng cụ dạy học đều bị ướt, hư hỏng.","Sách vở, bàn ghế, dụng cụ dạy học đều bị ướt, hư hỏng.",OK,HIGH
eIXY2Ib2tiA.f251,33,230.0,238.0,8.0,"Các lực lượng công an, bộ đội, biên phòng đã huy động tổng lực quân số tập trung dọn dẹp, vệ sinh, ổn định trường lớp.","Các lực lượng công an, bộ đội, biên phòng đã huy động tổng lực quân số tập trung dọn dẹp, vệ sinh, ổn định trường lớp.","Các lực lượng công an, bộ đội, biên phòng đã huy động tổng lực quân số tập trung dọn dẹp, vệ sinh, ổn định trường lớp.",OK,HIGH
eIXY2Ib2tiA.f251,34,238.0,243.0,5.0,Nhưng có lẽ phải mất một vài ngày nữa các em học sinh mới có thể trở lại lớp học.,Nhưng có lẽ phải mất một vài ngày nữa các em học sinh mới có thể trở lại lớp học.,Nhưng có lẽ phải mất một vài ngày nữa các em học sinh mới có thể trở lại lớp học.,OK,HIGH
eIXY2Ib2tiA.f251,35,244.0,257.0,13.0,Rất là cảm hục được những tầm lòng nhân ái và các lực lượng đã hỗ trợ trường trong việc khắc phục hậu quả lụt lụt để học sinh thay cho sớm trở lại giảng dạy.,Rất là cảm hục được những tầm lòng nhân ái và các lực lượng đã hỗ trợ trường trong việc khắc phục hậu quả lụt lụt để học sinh thay cho sớm trở lại giảng dạy.,Rất là cảm hục được những tầm lòng nhân ái và các lực lượng đã hỗ trợ trường trong việc khắc phục hậu quả lụt lụt để học sinh thay cho sớm trở lại giảng dạy.,OK,HIGH
eIXY2Ib2tiA.f251,36,257.0,264.0,7.0,"Chúng tôi tập trung các lực lượng phương tiện, tổng dọn vệ sinh, các trường học, đặc biệt là trường ngọc non, trường thể học","Chúng tôi tập trung các lực lượng phương tiện, tổng dọn vệ sinh, các trường học, đặc biệt là trường ngọc non, trường thể học","Chúng tôi tập trung các lực lượng phương tiện, tổng dọn vệ sinh, các trường học, đặc biệt là trường ngọc non, trường thể học",OK,HIGH
eIXY2Ib2tiA.f251,37,264.0,273.0,9.0,"để các cháu sớm quay trở lại trường, tổ chức tổng vệ sinh các bệnh viện, các nơi cơ sở y tế để sớm đi vào hoạt động để cứu chữa các bệnh nhân.","để các cháu sớm quay trở lại trường, tổ chức tổng vệ sinh các bệnh viện, các nơi cơ sở y tế để sớm đi vào hoạt động để cứu chữa các bệnh nhân.","để các cháu sớm quay trở lại trường, tổ chức tổng vệ sinh các bệnh viện, các nơi cơ sở y tế để sớm đi vào hoạt động để cứu chữa các bệnh nhân.",OK,HIGH
eIXY2Ib2tiA.f251,38,274.0,278.0,4.0,Thiệt hại do mưa lũ để lại là quá lớn với quy mô trên diện rộng.,Thiệt hại do mưa lũ để lại là quá lớn với quy mô trên diện rộng.,Thiệt hại do mưa lũ để lại là quá lớn với quy mô trên diện rộng.,OK,HIGH
eIXY2Ib2tiA.f251,39,278.0,281.0,3.0,Công việc khắc phục sòng lũ còn rất nhiều việc phải làm.,Công việc khắc phục sòng lũ còn rất nhiều việc phải làm.,Công việc khắc phục sòng lũ còn rất nhiều việc phải làm.,OK,HIGH
eIXY2Ib2tiA.f251,40,281.0,290.0,9.0,"Người dân lúc này rất cần nguồn kinh phí để sửa chữa lại nhà cửa, mua sách vở cho con cái và mua cây giống, vật nuôi để tái thiết lại cuộc sống.","Người dân lúc này rất cần nguồn kinh phí để sửa chữa lại nhà cửa, mua sách vở cho con cái và mua cây giống, vật nuôi để tái thiết lại cuộc sống.","Người dân lúc này rất cần nguồn kinh phí để sửa chữa lại nhà cửa, mua sách vở cho con cái và mua cây giống, vật nuôi để tái thiết lại cuộc sống.",OK,HIGH
eIXY2Ib2tiA.f251,41,290.0,293.0,3.0,Để có thể chống chọi với những đợt mưa bão sắp tới.,Để có thể chống chọi với những đợt mưa bão sắp tới.,Để có thể chống chọi với những đợt mưa bão sắp tới.,OK,HIGH
eIXY2Ib2tiA.f251,42,293.0,296.0,3.0,Nước lũ đã cuốn đi của người dân Hà Tĩnh nhiều thứ quý giá.,Nước lũ đã cuốn đi của người dân Hà Tĩnh nhiều thứ quý giá.,Nước lũ đã cuốn đi của người dân Hà Tĩnh nhiều thứ quý giá.,OK,HIGH
eIXY2Ib2tiA.f251,43,296.0,301.0,5.0,"Bà con đã không kịp giữ lại nhà cửa, châu bò, thóc gạo trước dòng lũ chảy xiết.","Bà con đã không kịp giữ lại nhà cửa, châu bò, thóc gạo trước dòng lũ chảy xiết.","Bà con đã không kịp giữ lại nhà cửa, châu bò, thóc gạo trước dòng lũ chảy xiết.",OK,HIGH
eIXY2Ib2tiA.f251,44,301.0,307.0,6.0,"Nhưng người dân vẫn luôn giữ vững tinh thần đoàn kết, tương thân tương ái, quân dân sắc son một lòng.","Nhưng người dân vẫn luôn giữ vững tinh thần đoàn kết, tương thân tương ái, quân dân sắc son một lòng.","Nhưng người dân vẫn luôn giữ vững tinh thần đoàn kết, tương thân tương ái, quân dân sắc son một lòng.",OK,HIGH
eIXY2Ib2tiA.f251,45,307.0,313.0,6.0,"Chính tinh thần ấy đã giúp người dân Hà Tĩnh, người dân miền Trung đứng vững trước thiên tài, bão lũ.","Chính tinh thần ấy đã giúp người dân Hà Tĩnh, người dân miền Trung đứng vững trước thiên tài, bão lũ.","Chính tinh thần ấy đã giúp người dân Hà Tĩnh, người dân miền Trung đứng vững trước thiên tài, bão lũ.",OK,HIGH
eIXY2Ib2tiA.f251,46,314.0,325.0,11.0,"Thưa quý vị, sáng nay Sư đoàn 372 quân chủng phòng không không quân tiếp tục điều trực thang bay vào xã Hướng Việt,","Thưa quý vị, sáng nay Sư đoàn 372 quân chủng phòng không không quân tiếp tục điều trực thang bay vào xã Hướng Việt,","Thưa quý vị, sáng nay Sư đoàn 372 quân chủng phòng không không quân tiếp tục điều trực thang bay vào xã Hướng Việt,",OK,HIGH
eIXY2Ib2tiA.f251,47,325.0,331.0,6.0,"huyện miền núi Hướng Hóa, tỉnh Quang Trị để đưa 2 cán bộ của xã này bị thương nặng ra ngoài điều trị.","huyện miền núi Hướng Hóa, tỉnh Quang Trị để đưa 2 cán bộ của xã này bị thương nặng ra ngoài điều trị.","huyện miền núi Hướng Hóa, tỉnh Quang Trị để đưa 2 cán bộ của xã này bị thương nặng ra ngoài điều trị.",OK,HIGH
eIXY2Ib2tiA.f251,48,331.0,336.0,5.0,Xã Hướng Việt vẫn đang bị cô lập hoàn toàn do con đường vào đây bị sạt lở nghiêm trọng.,Xã Hướng Việt vẫn đang bị cô lập hoàn toàn do con đường vào đây bị sạt lở nghiêm trọng.,Xã Hướng Việt vẫn đang bị cô lập hoàn toàn do con đường vào đây bị sạt lở nghiêm trọng.,OK,HIGH
eIXY2Ib2tiA.f251,49,336.0,343.0,7.0,"Hai cán bộ được đưa về bệnh viện trung ương Huế điều trị là đại quý Lê Văn Duy, cán bộ đồn biên phòng Hướng Lập,","Hai cán bộ được đưa về bệnh viện trung ương Huế điều trị là đại quý Lê Văn Duy, cán bộ đồn biên phòng Hướng Lập,","Hai cán bộ được đưa về bệnh viện trung ương Huế điều trị là đại quý Lê Văn Duy, cán bộ đồn biên phòng Hướng Lập,",OK,HIGH
eIXY2Ib2tiA.f251,50,343.0,348.0,5.0,"phó bi thư thường trực xã Hướng Việt và ông Hồ Văn Sinh, chủ tịch Ủy ban Nhân dân xã Hướng Việt","phó bi thư thường trực xã Hướng Việt và ông Hồ Văn Sinh, chủ tịch Ủy ban Nhân dân xã Hướng Việt","phó bi thư thường trực xã Hướng Việt và ông Hồ Văn Sinh, chủ tịch Ủy ban Nhân dân xã Hướng Việt",OK,HIGH
eIXY2Ib2tiA.f251,51,348.0,352.0,4.0,bị thương nặng trong khi làm nhiệm vụ giúp dân ứng phó với mưa lũ từ chiều ngày nay.,bị thương nặng trong khi làm nhiệm vụ giúp dân ứng phó với mưa lũ từ chiều ngày nay.,bị thương nặng trong khi làm nhiệm vụ giúp dân ứng phó với mưa lũ từ chiều ngày nay.,OK,HIGH
