id,start,end,duration,text_len,text,video_id
0,0.0,8.600000381469727,8.600000381469727,129,"Thưa quý vị, chiều nay áp thấp nhiệt đới suy yếu từ cơn bão số 12 đã suy yếu tiếp thành một vùng áp thấp trên khu vực Tây Nguyên.",ep_8PcpckzE
1,8.600000381469727,15.0,6.399999618530273,106,"Lúc 16 giờ, trung tâm vùng áp thấp ở ngay trên khu vực Tây Nguyên. Cơn độ của nó đã giảm xuống dưới cấp 6.",ep_8PcpckzE
2,15.0,20.0,5.0,83,"Dự báo trong 12 giờ tới, vùng áp thấp tiếp tục di chuyển theo hướng Tây và tan dần.",ep_8PcpckzE
3,20.0,24.0,4.0,71,Đáng chú ý là hiện nay ngoài khơi Philippines xuất hiện cơn bão vàm cỏ.,ep_8PcpckzE
4,24.0,31.0,7.0,108,"Dự báo trong 1-2 ngày tới, sau khi quét qua Philippines, bão sẽ đi vào Biển Đông và trở thành cơn bão số 13.",ep_8PcpckzE
5,31.0,39.0,8.0,97,"Đến 13 giờ ngày 12 tháng 11, tâm bão cách huyện đảo Hoàng Sa khoảng 760 km về phía đông Đông Nam,",ep_8PcpckzE
6,39.0,42.0,3.0,42,"cơn độ mạnh cấp 11, 12 và giật tới cấp 14.",ep_8PcpckzE
7,42.0,49.0,7.0,109,"Sau đó, bão tiếp tục đi vào giữa Biển Đông và có khả năng mạnh đến cấp 12, giật cấp 15, gây biển động dữ dội.",ep_8PcpckzE
8,50.0,58.0,8.0,107,"Trước khi xuy yếu thành vùng áp thấp, sáng nay bão số 12 đã gây ra những ảnh hưởng trực tiếp đến Khánh Hòa.",ep_8PcpckzE
9,58.0,65.0,7.0,130,Để đảm bảo an toàn cho người dân trong và sau khi bão đổ bộ là yêu cầu hàng đầu trong công tác ứng phó bão số 12 ở địa phương này.,ep_8PcpckzE
10,67.0,72.0,5.0,68,"Bão số 12 khi đi vào đất liền có sức gió mạnh cấp 6, cấp 7 và cấp 9.",ep_8PcpckzE
11,72.0,78.0,6.0,81,"Cũng trong 24 giờ qua, lượng mưa trên địa bàn tỉnh Khánh Hòa phổ biến từ 40-80mm.",ep_8PcpckzE
12,78.0,81.0,3.0,38,Riêng huyện Vạn Ninh mưa từ 150-200mm.,ep_8PcpckzE
13,81.0,87.0,6.0,87,"Gió mạnh kèm theo mưa lớn khi bão số 12 đổ bộ vào đất liền đã khiến hàng loạt cây xanh,",ep_8PcpckzE
14,87.0,91.0,4.0,72,biển hiệu ở một số tiến đường tại thành phố Nha Trang bị ngạ đổ bọc gốc.,ep_8PcpckzE
15,91.0,94.0,3.0,52,Một số khu vực ở thành phố Nha Trang đã bị mất điện.,ep_8PcpckzE
16,94.0,98.0,4.0,102,"Theo báo cáo nhanh của Văn phòng Ban Chỉ huy Phòng chống thiên tai và Tìm kiếm cứu nạn tỉnh Khánh Hòa,",ep_8PcpckzE
17,98.0,102.0,4.0,59,bão số 12 đã khiến nhiều ngôi nhà của người dân bị tóc mái.,ep_8PcpckzE
18,102.0,106.0,4.0,69,Bão cũng đã gây ra sự cố hệ thống truyền tải điện ở nhiều địa phương.,ep_8PcpckzE
19,106.0,110.0,4.0,55,"Có đến 49 xã, phường, thị trấn ở Khánh Hòa bị bóc điện,",ep_8PcpckzE
20,110.0,113.0,3.0,55,trong đó tập trung ở huyện Vạn Ninh và thị xã Ninh Hòa.,ep_8PcpckzE
21,113.0,117.0,4.0,100,"Trong chiều nay, việc khắc phục đã được triển khai nhưng chỉ đối với những khu vực bị ảnh hưởng nhẹ.",ep_8PcpckzE
22,117.0,121.0,4.0,70,"Riêng đối với những khu vực mà nước sông đang lên như thị xã Ninh Hòa,",ep_8PcpckzE
23,121.0,124.0,3.0,62,hiện tại việc khắc phục sự cố bóc điện gặp rất nhiều khó khăn.,ep_8PcpckzE
24,124.0,128.0,4.0,58,"Về giao thông, tàu SE2 di chuyển theo hướng từ Nam ra Bắc,",ep_8PcpckzE
25,128.0,135.0,7.0,91,"hiện tạm dừng tại lý trình 1233-650 thuộc xã Đại Lãnh, huyện Vạn Ninh do đường sắt bị ngập.",ep_8PcpckzE
26,135.0,139.0,4.0,63,Mưa to do lớn cũng khiến nhiều diện tích lúa hoa màu bị ngạ đổ.,ep_8PcpckzE
27,139.0,141.0,2.0,33,Ngập úng chưa thống kê thiệt hại.,ep_8PcpckzE
