video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
epey-truP9Y,0,0.0,4.0,4.0,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Xuân Anh.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Xuân Anh.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Xuân Anh.,OK,HIGH
epey-truP9Y,1,4.0,7.0,3.0,"Chàng sĩ Xuân Anh, chúng ta vừa chia sẻ với nhau câu chuyện về mỗi người dân Hà Nội","Chàng sĩ Xuân Anh, chúng ta vừa chia sẻ với nhau câu chuyện về mỗi người dân Hà Nội","Chàng sĩ Xuân Anh, chúng ta vừa chia sẻ với nhau câu chuyện về mỗi người dân Hà Nội",OK,HIGH
epey-truP9Y,2,7.0,10.0,3.0,cần phải thay đổi cũng như là hi sinh về những hạnh phúc riêng của mình như thế nào,cần phải thay đổi cũng như là hi sinh về những hạnh phúc riêng của mình như thế nào,cần phải thay đổi cũng như là hi sinh về những hạnh phúc riêng của mình như thế nào,OK,HIGH
epey-truP9Y,3,10.0,13.0,3.0,để cho công cuộc phòng chống dịch bệnh của cả nước.,để cho công cuộc phòng chống dịch bệnh của cả nước.,để cho công cuộc phòng chống dịch bệnh của cả nước.,OK,HIGH
epey-truP9Y,4,13.0,16.0,3.0,"Còn quay trở lại với câu chuyện thời tiết chuyên môn của chị,","Còn quay trở lại với câu chuyện thời tiết chuyên môn của chị,","Còn quay trở lại với câu chuyện thời tiết chuyên môn của chị,",OK,HIGH
epey-truP9Y,5,16.0,19.0,3.0,"thì tôi muốn hỏi là không biết bao giờ thời tiết mưa ẩm, nồm ẩm như thế này kết thúc","thì tôi muốn hỏi là không biết bao giờ thời tiết mưa ẩm, nồm ẩm như thế này kết thúc","thì tôi muốn hỏi là không biết bao giờ thời tiết mưa ẩm, nồm ẩm như thế này kết thúc",OK,HIGH
epey-truP9Y,6,19.0,22.0,3.0,bởi vì mấy ngày hôm nay mọi người đều cảm thấy tương đối khó chịu rồi ạ?,bởi vì mấy ngày hôm nay mọi người đều cảm thấy tương đối khó chịu rồi ạ?,bởi vì mấy ngày hôm nay mọi người đều cảm thấy tương đối khó chịu rồi ạ?,OK,HIGH
epey-truP9Y,7,22.0,25.0,3.0,"Vâng, mưa ẩm ở thủ đô Hà Nội thì kéo dài cả tuần rồi","Vâng, mưa ẩm ở thủ đô Hà Nội thì kéo dài cả tuần rồi","Vâng, mưa ẩm ở thủ đô Hà Nội thì kéo dài cả tuần rồi",OK,HIGH
epey-truP9Y,8,25.0,28.0,3.0,và có lẽ là chúng ta đều cảm thấy có nhiều bất tiện trong việc sinh hoạt hàng ngày.,và có lẽ là chúng ta đều cảm thấy có nhiều bất tiện trong việc sinh hoạt hàng ngày.,và có lẽ là chúng ta đều cảm thấy có nhiều bất tiện trong việc sinh hoạt hàng ngày.,OK,HIGH
epey-truP9Y,9,28.0,32.0,4.0,Tuy nhiên có một thông tin tích cực đó là từ ngày mai thì khả năng là mưa ẩm sẽ kết thúc.,Tuy nhiên có một thông tin tích cực đó là từ ngày mai thì khả năng là mưa ẩm sẽ kết thúc.,Tuy nhiên có một thông tin tích cực đó là từ ngày mai thì khả năng là mưa ẩm sẽ kết thúc.,OK,HIGH
epey-truP9Y,10,32.0,35.0,3.0,Anh Dương cũng như quý vị khán giả thân mến dự báo tại thủ đô Hà Nội,Anh Dương cũng như quý vị khán giả thân mến dự báo tại thủ đô Hà Nội,Anh Dương cũng như quý vị khán giả thân mến dự báo tại thủ đô Hà Nội,OK,HIGH
epey-truP9Y,11,35.0,39.0,4.0,sẽ mưa chỉ còn xảy ra trước 7h sáng ngày mai nữa mà thôi.,sẽ mưa chỉ còn xảy ra trước 7h sáng ngày mai nữa mà thôi.,sẽ mưa chỉ còn xảy ra trước 7h sáng ngày mai nữa mà thôi.,OK,HIGH
epey-truP9Y,12,39.0,44.0,5.0,Sau đó từ 7h trời đi thì trời hết mưa và chuyển sang trạng thái là nhiều mây.,Sau đó từ 7h trời đi thì trời hết mưa và chuyển sang trạng thái là nhiều mây.,Sau đó từ 7h trời đi thì trời hết mưa và chuyển sang trạng thái là nhiều mây.,OK,HIGH
epey-truP9Y,13,44.0,48.0,4.0,"Nắng thì khả năng là chưa xuất hiện được, thế nhưng không khí thì sẽ ấm lên.","Nắng thì khả năng là chưa xuất hiện được, thế nhưng không khí thì sẽ ấm lên.","Nắng thì khả năng là chưa xuất hiện được, thế nhưng không khí thì sẽ ấm lên.",OK,HIGH
epey-truP9Y,14,48.0,52.0,4.0,Nhiệt độ cao nhất ngày mai có thể lên mức là 26 độ.,Nhiệt độ cao nhất ngày mai có thể lên mức là 26 độ.,Nhiệt độ cao nhất ngày mai có thể lên mức là 26 độ.,OK,HIGH
epey-truP9Y,15,52.0,58.0,6.0,Trời ấm lên rõ rệt là từ thứ 5 cho đến thứ 7 của tuần này khi mà nắng sẽ xuất hiện.,Trời ấm lên rõ rệt là từ thứ 5 cho đến thứ 7 của tuần này khi mà nắng sẽ xuất hiện.,Trời ấm lên rõ rệt là từ thứ 5 cho đến thứ 7 của tuần này khi mà nắng sẽ xuất hiện.,OK,HIGH
epey-truP9Y,16,58.0,63.0,5.0,Mức nhiệt trong các ngày này có thể đạt là từ 29 cho đến mức là 30 độ.,Mức nhiệt trong các ngày này có thể đạt là từ 29 cho đến mức là 30 độ.,Mức nhiệt trong các ngày này có thể đạt là từ 29 cho đến mức là 30 độ.,OK,HIGH
epey-truP9Y,17,63.0,66.0,3.0,Chúng ta sẽ không còn cảm giác lạnh như là mấy ngày hôm nay nữa.,Chúng ta sẽ không còn cảm giác lạnh như là mấy ngày hôm nay nữa.,Chúng ta sẽ không còn cảm giác lạnh như là mấy ngày hôm nay nữa.,OK,HIGH
