id,start,end,duration,text_len,text,video_id
0,0.0,9.0,9.0,150,"Thưa quý vị, đã tìm thấy thi thể những người bị vùi lấp trong vụ sạt lở tại trạm Kiểm 5-67 thuộc xã Phong Xuân, huyện Phong Điền, tỉnh Thời Thiên Huế.",g5BMs3AMjbg
1,9.0,14.0,5.0,87,Đây là 13 người trong đoàn cứu hộ khi di chuyển đến hiện trường Thủy Điện Giào Trang 3.,g5BMs3AMjbg
2,17.0,28.0,11.0,131,Thông tin cập nhật đến 16h chiều nay đã đưa được 7 thi thể của những người mất tích ra ngoài và đưa về Bệnh viện quân y quân khu 4.,g5BMs3AMjbg
3,28.0,32.0,4.0,44,Thời tiết về chiều thì diễn biến rất là xấu.,g5BMs3AMjbg
4,32.0,41.0,9.0,109,Tuy thời điểm này mưa nhỏ nhưng mà có mây rất là nhiều và khả năng mưa trong ngày mai ở đây là có thể xảy ra.,g5BMs3AMjbg
5,41.0,52.0,11.0,153,Và việc cứu hộ cứu nạn tiếp những người còn lại đặc biệt là đi sâu vào bên trong Thủy Điện Giào Trang 3 để tiếp tục đến khu vực bị vùi lấp những nạn nhân,g5BMs3AMjbg
6,52.0,62.0,10.0,118,ở sâu bên trong khoảng cách giữa khu vực trạm Kiểm 5 đến Thủy Điện Giào Trang 3 là còn gặp phải rất là nhiều khó khăn.,g5BMs3AMjbg
7,62.0,66.0,4.0,71,Các thông tin tiếp theo chúng tôi sẽ cập nhật thêm vào các bản tin sau.,g5BMs3AMjbg
8,67.0,74.0,7.0,96,"Theo thông tin cập nhật mới nhất của Ban Chỉ huy tiền phương vừa cập nhật vào lúc 17h chiều nay,",g5BMs3AMjbg
9,74.0,78.0,4.0,56,các đơn vị cứu hộ đã tìm được 9 thi thể tại tiểu khu 67.,g5BMs3AMjbg
10,78.0,82.0,4.0,78,Chúng tôi sẽ tiếp tục thông tin về tiến độ cứu hộ trong các bản tin tiếp theo.,g5BMs3AMjbg
11,83.0,87.0,4.0,66,"Bão số 7 vừa tan, một áp thấp nhiệt đới lại xuất hiện ở Biển Đông.",g5BMs3AMjbg
12,87.0,94.0,7.0,119,"Ngay chiều nay, tâm của áp thấp nhiệt đới đang cách đảo Sông Tử Tây, huyện đảo Trường Sa khoảng 600 km về phía Đông Bắc",g5BMs3AMjbg
13,94.0,96.0,2.0,41,với cường độ mạnh cấp 6 và giật từ cấp 8.,g5BMs3AMjbg
14,96.0,102.0,6.0,108,"Dự báo là trong vòng 24h tới, áp thấp nhiệt đới sẽ đi nhanh theo hướng Tây Tây Bắc và có khả năng mạnh thêm.",g5BMs3AMjbg
15,102.0,108.0,6.0,93,"Đến 13h ngày mai, tâm của áp thấp nhiệt đới cách huyện đảo Hoàng Sa khoảng 220 km về phía Nam",g5BMs3AMjbg
16,108.0,110.0,2.0,41,với cường độ mạnh cấp 7 và giật từ cấp 9.,g5BMs3AMjbg
17,110.0,116.0,6.0,104,"Trong 24 đến 36 giờ tiếp theo, áp thấp nhiệt đới sẽ đi theo hướng Tây và có khả năng mạnh lên Thành Bão.",g5BMs3AMjbg
18,116.0,121.0,5.0,74,"Đến 1h ngày 17 tháng 10, tâm bão ở ngay trên vùng biển Đà Nẵng đến Phú Yên",g5BMs3AMjbg
19,121.0,124.0,3.0,44,với cường độ bão mạnh cấp 8 giật tới cấp 10.,g5BMs3AMjbg
20,124.0,130.0,6.0,97,"Vùng nguy hiểm do áp thấp nhiệt đới trên biển Đông trong 24h tới là từ vị tuyến 13,5-17 độ vị Bắc",g5BMs3AMjbg
21,130.0,134.0,4.0,39,"từ kinh tuyến 111,5-119,5 độ Kinh Đông.",g5BMs3AMjbg
22,134.0,139.0,5.0,101,Toàn bộ tâu thuyền hoạt động trong vùng nguy hiểm đều có nguy cơ cao chịu tác động của gió giật mạnh.,g5BMs3AMjbg
23,141.0,145.0,4.0,63,"Nhà cửa bị ngập sâu, nhiều tài sản đáng giá đã bị lũ cuốn trôi.",g5BMs3AMjbg
24,145.0,147.0,2.0,41,Phần ít còn lại vẫn đang chìm trong nước.,g5BMs3AMjbg
25,147.0,154.0,7.0,118,"Mọi sinh hoạt của người dân tại các vùng rốn lũ tỉnh Quang Trị trong những ngày này đang khó khăn, trầm chất khó khăn.",g5BMs3AMjbg
26,156.0,161.0,5.0,101,"Đã bước qua ngày thứ 10, nước lũ tại vùng trũng thấp ở Hải Lăng tỉnh Quang Trị vẫn chưa thể xuất hết.",g5BMs3AMjbg
27,161.0,166.0,5.0,92,"Ngôi nhà của vợ chồng anh tạng cư và chị Nguyễn Thị Hoa ở thị trấn Diên Xanh, huyện Hải Lăng",g5BMs3AMjbg
28,166.0,168.0,2.0,43,cũng như 3 hộ dân khác vẫn đang bị ngập lũ.,g5BMs3AMjbg
29,168.0,174.0,6.0,92,"Chưa kịp mừng sau vụ gặp, thì toàn bộ số thóc lúa thu hoạch được đã bị ngập chìm trong nước.",g5BMs3AMjbg
30,174.0,180.0,6.0,86,"Cuộc sống hiện nay thì có như nhớ vào mấy hột lúa, nhưng bây giờ trừ lần rất khó khăn.",g5BMs3AMjbg
31,180.0,183.0,3.0,43,"Lúa nó hạ gợt hết rồi, chứ con cải thì đau.",g5BMs3AMjbg
32,184.0,188.0,4.0,77,Đợt mưa lũ vừa qua đã làm cho hơn 50.000 hộ dân ở Quang Trị ngập lũ dài ngày.,g5BMs3AMjbg
33,188.0,192.0,4.0,76,"Cơn lũ năm nay đã làm 10 người tại tỉnh Quang Trị bị chết, 5 người mất tích.",g5BMs3AMjbg
34,192.0,196.0,4.0,76,Hàng trăm ngàn hecta hoa màu ao hồ nuôi chồng thủy sản bị thiệt hại nặng nề.,g5BMs3AMjbg
35,196.0,201.0,5.0,103,"Các cơ quan chức năng, các đơn vị thiện nguyện trên mọi miền của đất nước cũng đang hướng về Quang Trị.",g5BMs3AMjbg
36,201.0,205.0,4.0,75,"Với nhiều nghĩa cử chia sẻ, lực lượng chức năng cũng đã triển khai công tác",g5BMs3AMjbg
37,205.0,208.0,3.0,65,ứng cứu các vùng lũ để hỗ trợ bà con vượt qua khó khăn trước mắt.,g5BMs3AMjbg
38,226.0,230.0,4.0,83,Mặc dù chính quyền tỉnh Quang Trị trong những ngày vừa qua đã dốc toàn bộ lực lượng,g5BMs3AMjbg
39,230.0,234.0,4.0,73,"để kịp thời ứng cứu giúp dân chạy lũ, bố trí nơi ăn trốn ở cho người dân,",g5BMs3AMjbg
40,234.0,240.0,6.0,97,song đến nay vẫn chưa thể đảm bảo tốt nhất để giúp cho bà con vơi đi những mắt mát giò lũ gây ra.,g5BMs3AMjbg
