video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
gNYj-H5ItuU,0,0.0,5.0,5.0,"Còn bây giờ sẽ là những thông tin dự báo thời tiết, chị Quỳnh Hoa tôi nghe nói là Hà Nội chuẩn bị đón không khí lạnh","Hà Nội chuẩn bị đón không khí lạnh, tuy nhiên hiện tại vẫn chưa lạnh lắm, thậm chí buổi trưa nay còn có nắng nóng.","Còn bây giờ sẽ là những thông tin dự báo thời tiết, chị Quỳnh Hoa tôi nghe nói là Hà Nội chuẩn bị đón không khí lạnh",REVERT,LOW
gNYj-H5ItuU,1,5.0,10.0,5.0,"và đến bây giờ thì tôi thấy vẫn chưa lạnh lắm, tậm chí là buổi trưa nay còn thấy nắng nóng nữa cơ. Cụ thể như thế nào?","Đến thời điểm hiện tại, Hà Nội vẫn chưa cảm nhận được không khí lạnh, thậm chí buổi trưa nay còn có nắng nóng.","và đến bây giờ thì tôi thấy vẫn chưa lạnh lắm, tậm chí là buổi trưa nay còn thấy nắng nóng nữa cơ. Cụ thể như thế nào?",REVERT,LOW
gNYj-H5ItuU,2,10.0,15.0,5.0,"Vâng, không khí lạnh thì chưa về đến thủ đô Hà Nội nhưng mà cũng đã bắt đầu chớm tác động đến một số nơi miền Bắc rồi",Không khí lạnh chưa về đến thủ đô Hà Nội nhưng đã bắt đầu tác động đến một số nơi ở miền Bắc.,Không khí lạnh chưa về đến thủ đô Hà Nội nhưng đã bắt đầu tác động đến một số nơi ở miền Bắc.,OK,HIGH
gNYj-H5ItuU,3,15.0,19.0,4.0,và khả năng là sang ngày mai thì anh Dương có thể cảm nhận được rõ hơn những tác động của không khí lạnh.,"Khả năng là vào ngày mai, anh Dương sẽ cảm nhận rõ hơn những tác động của không khí lạnh.","Khả năng là vào ngày mai, anh Dương sẽ cảm nhận rõ hơn những tác động của không khí lạnh.",OK,HIGH
gNYj-H5ItuU,4,19.0,25.0,6.0,Cụ thể theo diện biến của không khí lạnh thì đến chiều nay nó mới di chuyển tới khu vực vùng núi của nước ta mà thôi,"Theo diễn biến của không khí lạnh, đến chiều nay, nó mới di chuyển tới khu vực vùng núi của nước ta.","Theo diễn biến của không khí lạnh, đến chiều nay, nó mới di chuyển tới khu vực vùng núi của nước ta.",OK,HIGH
gNYj-H5ItuU,5,25.0,32.0,7.0,"và dự báo trong đêm nay ngày mai nó sẽ bắt đầu ảnh hưởng tới khu vực thủ đô Hà Nội, hầu khắp miền Bắc và xuống cả khu vực Bắc Trung Bộ.","Dự báo trong đêm nay và ngày mai, không khí lạnh sẽ bắt đầu ảnh hưởng đến khu vực thủ đô Hà Nội, hầu khắp miền Bắc và cả khu vực Bắc Trung Bộ.","Dự báo trong đêm nay và ngày mai, không khí lạnh sẽ bắt đầu ảnh hưởng đến khu vực thủ đô Hà Nội, hầu khắp miền Bắc và cả khu vực Bắc Trung Bộ.",OK,HIGH
gNYj-H5ItuU,6,32.0,39.0,7.0,Đặc điểm của đợt không khí lạnh lần này là nó mang theo những luồng gió Đông Bắc vì vậy mà ban ngày trời vẫn có nắng,"Đợt không khí lạnh lần này mang theo những luồng gió Đông Bắc, vì vậy ban ngày trời vẫn có nắng.","Đợt không khí lạnh lần này mang theo những luồng gió Đông Bắc, vì vậy ban ngày trời vẫn có nắng.",OK,HIGH
gNYj-H5ItuU,7,39.0,45.0,6.0,"và dự báo là nắng sẽ vẫn duy trì trong những ngày tới, hoàn toàn khác biệt giữa cảm giác giữa ban ngày và ban đêm.","Dự báo nắng sẽ tiếp tục duy trì trong những ngày tới, tạo ra sự khác biệt rõ rệt giữa cảm giác ban ngày và ban đêm.","Dự báo nắng sẽ tiếp tục duy trì trong những ngày tới, tạo ra sự khác biệt rõ rệt giữa cảm giác ban ngày và ban đêm.",OK,HIGH
gNYj-H5ItuU,8,45.0,51.0,6.0,Dự báo vùng Z sẽ trải rộng từ khu vực miền Bắc xuống tới cả khu vực Bắc Trung Bộ.,Dự báo vùng không khí lạnh sẽ trải rộng từ khu vực miền Bắc xuống cả khu vực Bắc Trung Bộ.,Dự báo vùng Z sẽ trải rộng từ khu vực miền Bắc xuống tới cả khu vực Bắc Trung Bộ.,REVERT,HIGH
gNYj-H5ItuU,9,52.0,61.0,9.0,"Lần đầu tiên từ đầu mùa đông đến giờ, nhiệt độ thấp nhất ở hầu khắp các thành phố các khu vực này sẽ trong khoảng 11-14 độ.","Lần đầu tiên từ đầu mùa đông đến nay, nhiệt độ thấp nhất ở hầu khắp các thành phố miền Bắc và Bắc Trung Bộ sẽ dao động trong khoảng 11-14 độ.","Lần đầu tiên từ đầu mùa đông đến giờ, nhiệt độ thấp nhất ở hầu khắp các thành phố các khu vực này sẽ trong khoảng 11-14 độ.",REVERT,HIGH
