id,start,end,duration,text_len,text,video_id
0,0.0,4.0,4.0,73,"Thưa quý vị, kỳ nghỉ lễ 30 tháng 4, mùa 1 tháng 5 đã thực sự bắt đầu rồi.",guEGM9v3BCQ
1,4.0,10.0,6.0,145,"Và trong kỳ nghỉ lễ dài tới 4 ngày này thì chắc hẳn rất nhiều quý vị lựa chọn là sẽ đi du lịch, hay tham gia những hoạt động ngoài trời vui chơi.",guEGM9v3BCQ
2,10.0,14.0,4.0,78,Và để có một kỳ nghỉ thực sự trọn vẹn thì yếu tố thời tiết vô cùng quan trọng.,guEGM9v3BCQ
3,14.0,20.0,6.0,162,"Vậy để biết thời tiết cả nước chiều tối nay và những ngày tới ra sao, chúng ta sẽ cùng chờ đợi những thông tin cập nhật đến từ biên tập viên thời tiết Thanh Tùng.",guEGM9v3BCQ
4,20.0,21.0,1.0,24,Xin chào anh Thanh Tùng.,guEGM9v3BCQ
5,21.0,22.0,1.0,9,Chào anh.,guEGM9v3BCQ
6,22.0,28.0,6.0,136,Thanh Tùng không biết rằng trong những ngày đầu tiên kỳ nghỉ lễ này thì thời tiết đã có những chuyển biến tích cực như thế nào thưa anh?,guEGM9v3BCQ
7,28.0,33.0,5.0,97,"Vâng, ngày đầu tiên của kỳ nghỉ lễ với khu vực miền trung và Tây Nguyên thì một số nơi đã có mưa,",guEGM9v3BCQ
8,33.0,38.0,5.0,125,thì khiến cho cái việc vui chơi ngoài trời này cũng như là một số những hoạt động khác của người dân thì đôi chút là bất lợi.,guEGM9v3BCQ
9,38.0,43.0,5.0,120,"Thế nhưng anh Dương cũng thấy là ở miền bắc của chúng ta thì thời tiết tốt hơn hẳn, trời tạnh ráo và còn có cả nắng nữa.",guEGM9v3BCQ
10,44.0,46.0,2.0,58,"Và thưa quý vị, với Hà Nội thì thời tiết chiều đồng người.",guEGM9v3BCQ
11,46.0,50.0,4.0,81,Rất là nhiều người dân và du khách đã xuống phố vui chơi và tận hưởng kỳ nghỉ lễ.,guEGM9v3BCQ
12,50.0,53.0,3.0,77,Sau đây sẽ là một vài hình ảnh mà chúng tôi ghi nhận được trong ngày hôm nay.,guEGM9v3BCQ
13,56.0,60.0,4.0,61,"Ngày nghỉ lễ đầu tiên, trong thời tiết đẹp, tạnh ráo có nắng,",guEGM9v3BCQ
14,60.0,66.0,6.0,102,"nên ngay từ sáng đã có sự đông người dân, du khách đổ về khu vực cố đi bộ quanh hoàn kiếm để vui chơi.",guEGM9v3BCQ
15,66.0,69.0,3.0,61,"Không chỉ được trang hoàng cờ hoa đẹp mắt mà dịp nghỉ lễ này,",guEGM9v3BCQ
16,69.0,74.0,5.0,85,lễ hội quà tặng du lịch Hà Nội cũng được tổ chức tại đây với nhiều hoạt động hấp dẫn.,guEGM9v3BCQ
17,74.0,78.0,4.0,68,"Dù đi bộ dưới nắng thấy hơi nóng, nhưng ai cũng vui mừng, phấn khởi.",guEGM9v3BCQ
18,78.0,82.0,4.0,85,"Bởi đã lâu rồi, mọi người mới lại được hòa vào không khí đông đúc, nhộn nhịp như vậy.",guEGM9v3BCQ
19,83.0,86.0,3.0,53,Cô cùng với cả lớp cô lên đây rất là vui và phấn khởi,guEGM9v3BCQ
20,86.0,90.0,4.0,57,bởi vì sau những ngày dịch bệnh phải ở nhà để chống dịch.,guEGM9v3BCQ
21,90.0,94.0,4.0,98,"Bây giờ hết dịch bệnh rồi là nhân ngày 30 tháng 4 lên trên làn lớp cô rất là vui, mừng, tưng bừng.",guEGM9v3BCQ
22,95.0,98.0,3.0,65,"Các bạn nhỏ cũng rất hào hức, thích thú khi được ra ngoài vui đùa",guEGM9v3BCQ
23,98.0,102.0,4.0,64,"và tham gia các trò chơi trong không gian thoáng đẳng, rộng rãi.",guEGM9v3BCQ
24,102.0,106.0,4.0,57,Hôm nay là ngày nghỉ lễ nên là bố cho con lên bổ hồ chơi.,guEGM9v3BCQ
