id,start,end,duration,text_len,text,video_id
0,0.0,5.0,5.0,95,"Vừa rồi là những tin tức giao thông, bây giờ là thông tin thời tiết cùng với bệ tử viên Hải Yến",ifUIlkh6NVQ
1,5.0,15.0,10.0,138,"Chị Yến này, báo mạng gần đây đã xuất hiện dày đặc những hình ảnh và thông tin về việc là đỉnh Mẫu Sơn xuất hiện băng giá Mẫu Sơn Lạng Sơn",ifUIlkh6NVQ
2,15.0,20.0,5.0,104,Không biết là thông tin này có đúng không? Nếu mà có thì băng giá có còn xuất hiện những ngày tới không?,ifUIlkh6NVQ
3,20.0,25.0,5.0,97,"Vâng ạ, đây cũng là câu hỏi mà quý vị khán giả cũng thắc mắc gửi cho chúng tôi trong ngày hôm nay",ifUIlkh6NVQ
4,25.0,30.0,5.0,116,"Tuy nhiên thì xin đình chính với anh Dũng cũng như là quý vị khán giả, đây là thông tin hoàn toàn không đúng sự thật",ifUIlkh6NVQ
5,30.0,36.0,6.0,96,"Bởi là trong sáng sớm ngày hôm nay thì nhiệt độ tại đỉnh Mẫu Sơn giảm xuống còn khoảng là 0,8 độ",ifUIlkh6NVQ
6,36.0,41.0,5.0,101,Và với mức nhiệt như thế này thì vẫn chưa đủ điều kiện là từ 0 độ trở xuống để có thể hình thành băng,ifUIlkh6NVQ
7,41.0,46.0,5.0,95,Dự báo là trong 2 ngày cuối tuần thì khả năng xảy ra băng giá ở Mẫu Sơn thì cũng vẫn ở mức thấp,ifUIlkh6NVQ
8,46.0,50.0,4.0,62,Bởi là dự báo nhiệt độ thấp nhất tại đây chỉ quanh mức là 1 độ,ifUIlkh6NVQ
9,50.0,53.0,3.0,47,Còn 3 ngày cao nhất là khoảng từ 6 cho đến 7 độ,ifUIlkh6NVQ
10,53.0,57.0,4.0,69,Nơi mà có sắc xuất xảy ra băng giá cao hơn sẽ là tại đỉnh Phan Xipang,ifUIlkh6NVQ
11,57.0,63.0,6.0,91,Vì là dự báo nhiệt độ thấp nhất về đêm nay và đêm mai tại thị xã Sapa sẽ vào khoảng là 3 độ,ifUIlkh6NVQ
12,63.0,66.0,3.0,40,Thì trên đỉnh Phan Xipang sẽ xuống âm độ,ifUIlkh6NVQ
13,66.0,70.0,4.0,78,Vậy nên băng giá hay là sương muối thì cũng dễ hình thành hơn mấy ngày vừa qua,ifUIlkh6NVQ
14,70.0,74.0,4.0,81,Những quý vị mà có kế hoạch lên Phan Xipang để săn băng giá vào dịp cuối tuần này,ifUIlkh6NVQ
15,74.0,79.0,5.0,92,Thì chú ý là chuẩn bị đầy đủ những vật dụng giữ ấm cơ thể để có thể bảo vệ sức khỏe của mình,ifUIlkh6NVQ
16,79.0,83.0,4.0,72,Tình trạng rét sâu về đêm và sáng thì cũng sẽ duy trì trên toàn miền Bắc,ifUIlkh6NVQ
17,83.0,87.0,4.0,54,Và nhiệt độ thấp nhất sẽ vào khoảng là từ 10 đến 13 độ,ifUIlkh6NVQ
18,87.0,90.0,3.0,36,Vùng núi là khoảng là từ 7 đến 10 độ,ifUIlkh6NVQ
19,90.0,92.0,2.0,42,Ban ngày thì bắt đầu ấm lên nhờ là có nắng,ifUIlkh6NVQ
20,92.0,97.0,5.0,70,Và nhiệt độ cao nhất ngày mai phổ biến trong khoảng là từ 15 đến 20 độ,ifUIlkh6NVQ
21,97.0,102.0,5.0,97,Còn bây giờ xin được chuyển sang phần dự báo chi tiết cho các thành phố trong đêm nay và ngày mai,ifUIlkh6NVQ
22,102.0,104.0,2.0,35,Thủ đô Hà Nội đêm nay rét bút 12 độ,ifUIlkh6NVQ
23,104.0,107.0,3.0,49,Ngày mai có nắng nhiệt độ tăng dần cao nhất 17 độ,ifUIlkh6NVQ
24,107.0,111.0,4.0,76,Thành phố Đà Nẵng đêm nay và ngày mai trời mưa lạnh nhiệt độ thấp nhất 20 độ,ifUIlkh6NVQ
25,111.0,114.0,3.0,29,Cao nhất không vượt quá 23 độ,ifUIlkh6NVQ
26,114.0,117.0,3.0,52,Thành phố Hồ Chí Minh đêm nay tạnh giáo mát mẻ 24 độ,ifUIlkh6NVQ
27,117.0,119.0,2.0,36,Ngày mai trời nắng nhiều và khá nóng,ifUIlkh6NVQ
28,119.0,122.0,3.0,33,Nhiệt độ cao nhất khoảng là 33 độ,ifUIlkh6NVQ
29,137.0,141.0,4.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,ifUIlkh6NVQ
