video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
jGSqz6b1o3E,0,0.0,7.0,7.0,"Tại Yên Bái, mưa lớn đã làm hai người dân trên địa bàn huyện Trạm Tấu bị lũ cuốn trôi.","Tại Yên Bái, mưa lớn đã làm hai người dân trên địa bàn huyện Trạm Tấu bị lũ cuốn trôi.","Tại Yên Bái, mưa lớn đã làm hai người dân trên địa bàn huyện Trạm Tấu bị lũ cuốn trôi.",OK,HIGH
jGSqz6b1o3E,1,7.0,10.0,3.0,Nạn nhân thứ nhất là một cháu bé hơn 2 tuổi.,Nạn nhân thứ nhất là một cháu bé hơn 2 tuổi.,Nạn nhân thứ nhất là một cháu bé hơn 2 tuổi.,OK,HIGH
jGSqz6b1o3E,2,10.0,15.0,5.0,Cháu được chị gái trông nhưng chẳng may bị tuột ngã xuống suối và bị lũ cuốn đi.,Cháu được chị gái trông nhưng chẳng may bị tuột ngã xuống suối và bị lũ cuốn đi.,Cháu được chị gái trông nhưng chẳng may bị tuột ngã xuống suối và bị lũ cuốn đi.,OK,HIGH
jGSqz6b1o3E,3,15.0,18.0,3.0,"Nạn nhân thứ hai là một người đàn ông khoảng 30 tuổi,","Nạn nhân thứ hai là một người đàn ông khoảng 30 tuổi,","Nạn nhân thứ hai là một người đàn ông khoảng 30 tuổi,",OK,HIGH
jGSqz6b1o3E,4,18.0,21.0,3.0,bị cuốn trôi tại đoạn đường ngầm qua suối khi đang trên đường đi làm.,bị cuốn trôi tại đoạn đường ngầm qua suối khi đang trên đường đi làm.,bị cuốn trôi tại đoạn đường ngầm qua suối khi đang trên đường đi làm.,OK,HIGH
jGSqz6b1o3E,5,21.0,23.0,2.0,Hiện vẫn chưa tìm được hai nạn nhân.,Hiện vẫn chưa tìm được hai nạn nhân.,Hiện vẫn chưa tìm được hai nạn nhân.,OK,HIGH
jGSqz6b1o3E,6,23.0,27.0,4.0,"Không chỉ thiệt hại về người, mưa lũ còn làm sặt lở nhiều điểm,","Không chỉ thiệt hại về người, mưa lũ còn làm sặt lở nhiều điểm,","Không chỉ thiệt hại về người, mưa lũ còn làm sặt lở nhiều điểm,",OK,HIGH
jGSqz6b1o3E,7,27.0,31.0,4.0,gây ách cắt giao thông ở xã Sà Hồ và xã Bản Bù.,gây ách cắt giao thông ở xã Sà Hồ và xã Bản Bù.,gây ách cắt giao thông ở xã Sà Hồ và xã Bản Bù.,OK,HIGH
jGSqz6b1o3E,8,34.0,38.0,4.0,"Không chỉ Yên Bái, từ hôm qua đến sáng nay do ảnh hưởng của không khí lạnh kết hợp","Không chỉ Yên Bái, từ hôm qua đến sáng nay do ảnh hưởng của không khí lạnh kết hợp","Không chỉ Yên Bái, từ hôm qua đến sáng nay do ảnh hưởng của không khí lạnh kết hợp",OK,HIGH
jGSqz6b1o3E,9,38.0,43.0,5.0,"với hoàn lưu bão số 7, mưa lớn đã xảy ra ở nhiều địa phương miền núi phía Bắc,","với hoàn lưu bão số 7, mưa lớn đã xảy ra ở nhiều địa phương miền núi phía Bắc,","với hoàn lưu bão số 7, mưa lớn đã xảy ra ở nhiều địa phương miền núi phía Bắc,",OK,HIGH
