id,start,end,duration,text_len,text,video_id
0,0.0,7.0,7.0,86,"Tại Yên Bái, mưa lớn đã làm hai người dân trên địa bàn huyện Trạm Tấu bị lũ cuốn trôi.",jGSqz6b1o3E
1,7.0,10.0,3.0,44,Nạn nhân thứ nhất là một cháu bé hơn 2 tuổi.,jGSqz6b1o3E
2,10.0,15.0,5.0,80,Cháu được chị gái trông nhưng chẳng may bị tuột ngã xuống suối và bị lũ cuốn đi.,jGSqz6b1o3E
3,15.0,18.0,3.0,53,"Nạn nhân thứ hai là một người đàn ông khoảng 30 tuổi,",jGSqz6b1o3E
4,18.0,21.0,3.0,69,bị cuốn trôi tại đoạn đường ngầm qua suối khi đang trên đường đi làm.,jGSqz6b1o3E
5,21.0,23.0,2.0,36,Hiện vẫn chưa tìm được hai nạn nhân.,jGSqz6b1o3E
6,23.0,27.0,4.0,63,"Không chỉ thiệt hại về người, mưa lũ còn làm sặt lở nhiều điểm,",jGSqz6b1o3E
7,27.0,31.0,4.0,47,gây ách cắt giao thông ở xã Sà Hồ và xã Bản Bù.,jGSqz6b1o3E
8,34.0,38.0,4.0,82,"Không chỉ Yên Bái, từ hôm qua đến sáng nay do ảnh hưởng của không khí lạnh kết hợp",jGSqz6b1o3E
9,38.0,43.0,5.0,78,"với hoàn lưu bão số 7, mưa lớn đã xảy ra ở nhiều địa phương miền núi phía Bắc,",jGSqz6b1o3E
10,43.0,45.0,2.0,32,trong đó có Lào Cai và Hòa Bình.,jGSqz6b1o3E
11,48.0,51.0,3.0,39,"Tại Lào Cai, mưa lớn gây sặt lở đất đá,",jGSqz6b1o3E
12,51.0,55.0,4.0,54,ách cắt dọa điểm tránh quốc lộ 4D từ Sapa đi Lai Châu.,jGSqz6b1o3E
13,55.0,57.0,2.0,46,Thiệt tiện phải đi theo hướng qua thị xã Sapa.,jGSqz6b1o3E
14,57.0,61.0,4.0,59,Nhiều điểm sặt lở cũng xuất hiện trên các tuyến tỉnh lộ 152,jGSqz6b1o3E
15,61.0,65.0,4.0,66,"đoạn qua xã Mường Hoa, phường Cầu Mây và đường liên xã Thanh Bình.",jGSqz6b1o3E
16,66.0,71.0,5.0,80,"Còn tại Hòa Bình, mưa lớn liên tục kéo dài đến hàng nghìn mét khối đất đá hệ xã.",jGSqz6b1o3E
17,71.0,74.0,3.0,55,Xuất hiện các vết trượt mái ta lui dương dài hơn 50 mét,jGSqz6b1o3E
18,74.0,79.0,5.0,74,"gây ách tắt tuyến tỉnh lộ 435 đi qua phường Thái Bình, thành phố Hòa Bình.",jGSqz6b1o3E
19,79.0,83.0,4.0,73,"Lực lượng chức năng vận động các hộ dân nằm trong vùng nguy cơ bị sặt lở,",jGSqz6b1o3E
20,83.0,85.0,2.0,26,di chuyển tới nơi an toàn.,jGSqz6b1o3E
21,89.0,93.0,4.0,60,"Còn ở thủ đô Hà Nội, những cơn mưa tầm tạ cũng đã trút xuống",jGSqz6b1o3E
22,93.0,95.0,2.0,37,suốt 2 ngày cuối tuần sang đánh ngảy.,jGSqz6b1o3E
23,95.0,98.0,3.0,65,"Cả ngày hôm nay, nhiều tuyến đường đã bị ngập sâu trong buổi sáng",jGSqz6b1o3E
24,98.0,101.0,3.0,43,khiến việc đi lại của người dân khá vất vả.,jGSqz6b1o3E
25,102.0,106.0,4.0,69,"Hầm chui nối đường đi lên cầu Huống, thị trấn Yên Viên, huyện xã Năm.",jGSqz6b1o3E
26,106.0,109.0,3.0,58,Đoạn đường này tập trung rất nhiều phương tiện từ Bắc Ninh,jGSqz6b1o3E
27,109.0,111.0,2.0,47,và khu vực Yên Viên đi vào trung tâm thành phố.,jGSqz6b1o3E
28,112.0,115.0,3.0,42,"8 giờ sáng, cao điểm đi lạ, đường đã ngập.",jGSqz6b1o3E
29,116.0,121.0,5.0,53,"Chỗ nông nhất là khoảng 60cm, chỗ sâu thì đến hơn 1m.",jGSqz6b1o3E
30,129.0,132.0,3.0,38,"Cố để vượt qua, nhưng rồi xe chết máy.",jGSqz6b1o3E
31,133.0,137.0,4.0,56,Một số phương tiện đã không dám đi qua mà phải quay đầu.,jGSqz6b1o3E
32,138.0,141.0,3.0,61,Nỗi khổ của người dân là đoạn đường này thường xuyên bị ngập.,jGSqz6b1o3E
33,153.0,157.0,4.0,76,"Các đêm một tháng, đoạn đường này đã được đưa vào sử dụng hệ thống bơm chìm.",jGSqz6b1o3E
34,157.0,160.0,3.0,48,Nước được dẫn để thoát ra sông thêm được gần đó.,jGSqz6b1o3E
35,160.0,163.0,3.0,31,"Tuy nhiên, ngập úng vẫn xảy ra.",jGSqz6b1o3E
36,163.0,166.0,3.0,52,Đơn vị thoát nước đang tính thêm các phương án khác.,jGSqz6b1o3E
37,167.0,173.0,6.0,61,Chỗ nào vết và mở rộng các phần khó hẹp ở trung tâm yên được.,jGSqz6b1o3E
38,173.0,178.0,5.0,53,Và nghiên cứu để có thể tăng cường đến sông chốt bơm.,jGSqz6b1o3E
39,179.0,182.0,3.0,41,"Còn đây là ngã tư Lương Thế Vinh, Tố Hữu.",jGSqz6b1o3E
40,182.0,185.0,3.0,32,Các xe tìm cách treo lên vỉa hè.,jGSqz6b1o3E
41,185.0,188.0,3.0,38,"Hy vọng nước thấp hơn, xe đỡ chết máy.",jGSqz6b1o3E
42,188.0,192.0,4.0,66,Lực lượng chức năng cũng dần mình trong mưa để điều tiết xa thông.,jGSqz6b1o3E
43,193.0,196.0,3.0,49,Một ngày đi lại thật vất vả của người dân thủ đô.,jGSqz6b1o3E
44,198.0,201.0,3.0,49,"Còn tại Trung Quốc, mưa như chút tại tỉnh Sơn Tây",jGSqz6b1o3E
45,201.0,204.0,3.0,50,"đã làm gián đoạn cuộc sống của hơn 1,75 triệu dân.",jGSqz6b1o3E
46,204.0,208.0,4.0,60,Mưa lớn kéo dài khiến cho mực nước trên các con sông dân cao,jGSqz6b1o3E
47,208.0,210.0,2.0,32,nguy cơ gây vỡ đê xảy ra lũ lụt.,jGSqz6b1o3E
48,210.0,213.0,3.0,33,Hơn 120.000 người đã được sơ tán.,jGSqz6b1o3E
49,213.0,216.0,3.0,42,Khoảng 190.000 hectare cây trồng bị hư hại,jGSqz6b1o3E
50,216.0,219.0,3.0,40,và hơn 17 ngôi nhà đã bị sập do mưa lớn.,jGSqz6b1o3E
51,219.0,222.0,3.0,53,"Lực lượng quân đội đã được huy động để ra cố đê điều,",jGSqz6b1o3E
52,222.0,225.0,3.0,42,sơ tán người dân đến nơi an toàn tránh lũ.,jGSqz6b1o3E
53,225.0,229.0,4.0,50,"Tỉnh này cũng đã chi khẩn cấp khoảng 7,8 triệu USD",jGSqz6b1o3E
54,229.0,232.0,3.0,44,hỗ trợ công tác cứu trợ và kiểm soát lũ lụt.,jGSqz6b1o3E
