video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
jOI7u6YYSWk,0,0.0,4.0,4.0,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tẩm viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tẩm viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tẩm viên thời tiết Hương Liên.,OK,HIGH
jOI7u6YYSWk,1,4.0,7.0,3.0,"Thưa chị Hương Liên, Bắc Bộ và Bắc Trung Bộ đang trong một đợt mưa lớn.","Thưa chị Hương Liên, Bắc Bộ và Bắc Trung Bộ đang trong một đợt mưa lớn.","Thưa chị Hương Liên, Bắc Bộ và Bắc Trung Bộ đang trong một đợt mưa lớn.",OK,HIGH
jOI7u6YYSWk,2,7.0,11.0,4.0,"Ngay trong sáng nay một số nơi tôi được biết như là Hải Phòng, Hà Tĩnh đã bị ngậm úng.","Ngay trong sáng nay một số nơi tôi được biết như là Hải Phòng, Hà Tĩnh đã bị ngậm úng.","Ngay trong sáng nay một số nơi tôi được biết như là Hải Phòng, Hà Tĩnh đã bị ngậm úng.",OK,HIGH
jOI7u6YYSWk,3,11.0,15.0,4.0,Và như vừa rồi thì tại xị xã Kỳ Kỳ Anh thì đã có một đoạn khúc lộ 1 ảnh hưởng đến giao thông.,Và như vừa rồi thì tại xị xã Kỳ Kỳ Anh thì đã có một đoạn khúc lộ 1 ảnh hưởng đến giao thông.,Và như vừa rồi thì tại xị xã Kỳ Kỳ Anh thì đã có một đoạn khúc lộ 1 ảnh hưởng đến giao thông.,OK,HIGH
jOI7u6YYSWk,4,15.0,17.0,2.0,Không biết diễn biến mưa mấy ngày tới như thế nào thưa chị?,Không biết diễn biến mưa mấy ngày tới như thế nào thưa chị?,Không biết diễn biến mưa mấy ngày tới như thế nào thưa chị?,OK,HIGH
jOI7u6YYSWk,5,17.0,20.0,3.0,"Vâng anh Dương, mưa thì vẫn diễn ra ở nhiều tỉnh thành.","Vâng anh Dương, mưa thì vẫn diễn ra ở nhiều tỉnh thành.","Vâng anh Dương, mưa thì vẫn diễn ra ở nhiều tỉnh thành.",OK,HIGH
jOI7u6YYSWk,6,20.0,28.0,8.0,"Những vùng màu vàng trên radar gồm Tuyên Quang, Bắc Cạn, Lạng Sơn, Nghệ An và Hà Tĩnh là nơi mưa nặng hạt.","Những vùng màu vàng trên radar gồm Tuyên Quang, Bắc Cạn, Lạng Sơn, Nghệ An và Hà Tĩnh là nơi mưa nặng hạt.","Những vùng màu vàng trên radar gồm Tuyên Quang, Bắc Cạn, Lạng Sơn, Nghệ An và Hà Tĩnh là nơi mưa nặng hạt.",OK,HIGH
jOI7u6YYSWk,7,28.0,33.0,5.0,Trong 3 đến 4 tiếng thì một số nơi đã mưa to hàng chục mm.,Trong 3 đến 4 tiếng thì một số nơi đã mưa to hàng chục mm.,Trong 3 đến 4 tiếng thì một số nơi đã mưa to hàng chục mm.,OK,HIGH
jOI7u6YYSWk,8,33.0,37.0,4.0,"Theo dự báo, hình thế gây mưa là nhiễu động gió đông vẫn rất mạnh.","Theo dự báo, hình thế gây mưa là nhiễu động gió đông vẫn rất mạnh.","Theo dự báo, hình thế gây mưa là nhiễu động gió đông vẫn rất mạnh.",OK,HIGH
jOI7u6YYSWk,9,37.0,41.0,4.0,Vì thế mưa lớn sẽ còn tiếp diễn từ giờ cho đến hết ngày mai.,Vì thế mưa lớn sẽ còn tiếp diễn từ giờ cho đến hết ngày mai.,Vì thế mưa lớn sẽ còn tiếp diễn từ giờ cho đến hết ngày mai.,OK,HIGH
jOI7u6YYSWk,10,41.0,47.0,6.0,"Khu vực Đông Bắc Bộ, các tỉnh Lào Cai, Yên Bái, Hòa Bình, phía Nam Sơn La","Khu vực Đông Bắc Bộ, các tỉnh Lào Cai, Yên Bái, Hòa Bình, phía Nam Sơn La","Khu vực Đông Bắc Bộ, các tỉnh Lào Cai, Yên Bái, Hòa Bình, phía Nam Sơn La",OK,HIGH
jOI7u6YYSWk,11,47.0,53.0,6.0,và từ Thanh Hóa đến Hà Tĩnh có mưa vừa mưa to với lượng từ 50 mm đến 120 mm,và từ Thanh Hóa đến Hà Tĩnh có mưa vừa mưa to với lượng từ 50 mm đến 120 mm,và từ Thanh Hóa đến Hà Tĩnh có mưa vừa mưa to với lượng từ 50 mm đến 120 mm,OK,HIGH
jOI7u6YYSWk,12,53.0,58.0,5.0,và có nơi mưa rất to trên 150 mm.,và có nơi mưa rất to trên 150 mm.,và có nơi mưa rất to trên 150 mm.,OK,HIGH
jOI7u6YYSWk,13,58.0,64.0,6.0,Bên cạnh nguy cơ tái diễn ngập úng thì sạt lở đất đang là mối lo ngại nhất lúc này.,Bên cạnh nguy cơ tái diễn ngập úng thì sạt lở đất đang là mối lo ngại nhất lúc này.,Bên cạnh nguy cơ tái diễn ngập úng thì sạt lở đất đang là mối lo ngại nhất lúc này.,OK,HIGH
jOI7u6YYSWk,14,64.0,67.0,3.0,Đất đá đã bị bở nhão do mưa lớn những ngày qua.,Đất đá đã bị bở nhão do mưa lớn những ngày qua.,Đất đá đã bị bở nhão do mưa lớn những ngày qua.,OK,HIGH
jOI7u6YYSWk,15,67.0,72.0,5.0,"Nay thêm mưa là thêm áp lực, rất dễ trượt sạt xuống.","Nay thêm mưa là thêm áp lực, rất dễ trượt sạt xuống.","Nay thêm mưa là thêm áp lực, rất dễ trượt sạt xuống.",OK,HIGH
jOI7u6YYSWk,16,72.0,79.0,7.0,"Khoanh vùng có nguy cơ cao ngay trong tối nay sẽ là các vùng đồi núi thuộc các tỉnh Lào Cai, Yên Bái,","Khoanh vùng có nguy cơ cao ngay trong tối nay sẽ là các vùng đồi núi thuộc các tỉnh Lào Cai, Yên Bái,","Khoanh vùng có nguy cơ cao ngay trong tối nay sẽ là các vùng đồi núi thuộc các tỉnh Lào Cai, Yên Bái,",OK,HIGH
jOI7u6YYSWk,17,79.0,84.0,5.0,"Cao Bằng, Bắc Cạn, Thái Nguyên, Quảng Ninh, Thanh Hóa, Nghệ An và Hà Tĩnh.","Cao Bằng, Bắc Cạn, Thái Nguyên, Quảng Ninh, Thanh Hóa, Nghệ An và Hà Tĩnh.","Cao Bằng, Bắc Cạn, Thái Nguyên, Quảng Ninh, Thanh Hóa, Nghệ An và Hà Tĩnh.",OK,HIGH
