video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
jUeiXuf77kQ,0,0.0,5.800000190734863,5.800000190734863,Thời điểm này hẳn quý vị cũng đang quan tâm đến tình hình thời tiết để chuẩn bị cho một kỳ lễ kéo dài 4 ngày,Thời điểm này hẳn quý vị cũng đang quan tâm đến tình hình thời tiết để chuẩn bị cho một kỳ lễ kéo dài 4 ngày,Thời điểm này hẳn quý vị cũng đang quan tâm đến tình hình thời tiết để chuẩn bị cho một kỳ lễ kéo dài 4 ngày,OK,HIGH
jUeiXuf77kQ,1,5.800000190734863,9.399999618530272,3.5999994277954084,"để chúng ta có thể chuẩn bị về trang phục này, chuẩn bị về phương tiện như thế nào cho hợp lý.","để chúng ta có thể chuẩn bị về trang phục này, chuẩn bị về phương tiện như thế nào cho hợp lý.","để chúng ta có thể chuẩn bị về trang phục này, chuẩn bị về phương tiện như thế nào cho hợp lý.",OK,HIGH
jUeiXuf77kQ,2,9.399999618530272,12.399999618530272,3.0,Ngay sau đây sẽ là những thông tin cập nhật đến từ biên tập viên thời tiết Xuân Anh.,Ngay sau đây sẽ là những thông tin cập nhật đến từ biên tập viên thời tiết Xuân Anh.,Ngay sau đây sẽ là những thông tin cập nhật đến từ biên tập viên thời tiết Xuân Anh.,OK,HIGH
jUeiXuf77kQ,3,12.399999618530272,17.399999618530273,5.000000000000002,"Xin chào Chị Xuân Anh, không biết là nghe nói thì có nhiều mưa trong kỳ lễ này cụ thể như thế nào hả chị?","Xin chào Chị Xuân Anh, không biết là nghe nói thì có nhiều mưa trong kỳ lễ này cụ thể như thế nào hả chị?","Xin chào Chị Xuân Anh, không biết là nghe nói thì có nhiều mưa trong kỳ lễ này cụ thể như thế nào hả chị?",OK,HIGH
jUeiXuf77kQ,4,17.399999618530273,19.600000381469727,2.200000762939453,"Vâng, đúng là được một dịp nghỉ lễ dài ngày đúng không ạ?","Vâng, đúng là được một dịp nghỉ lễ dài ngày đúng không ạ?","Vâng, đúng là được một dịp nghỉ lễ dài ngày đúng không ạ?",OK,HIGH
jUeiXuf77kQ,5,19.600000381469727,23.0,3.3999996185302734,Nhưng mà thời tiết thì lại không mới ủng hộ khi mà mưa dự báo sẽ kéo dài.,Nhưng mà thời tiết thì lại không mới ủng hộ khi mà mưa dự báo sẽ kéo dài.,Nhưng mà thời tiết thì lại không mới ủng hộ khi mà mưa dự báo sẽ kéo dài.,OK,HIGH
jUeiXuf77kQ,6,23.0,27.0,4.0,"Anh Dương cũng như quý vị khán giả, mưa sẽ kéo dài xuất từ Bắc vào Nam","Anh Dương cũng như quý vị khán giả, mưa sẽ kéo dài xuất từ Bắc vào Nam","Anh Dương cũng như quý vị khán giả, mưa sẽ kéo dài xuất từ Bắc vào Nam",OK,HIGH
jUeiXuf77kQ,7,27.0,30.399999618530277,3.399999618530277,và thực tế là mây ẩm cũng đã phát triển ngay từ sáng nay rồi.,và thực tế là mây ẩm cũng đã phát triển ngay từ sáng nay rồi.,và thực tế là mây ẩm cũng đã phát triển ngay từ sáng nay rồi.,OK,HIGH
jUeiXuf77kQ,8,30.399999618530277,35.0,4.600000381469723,Càng đến chiều thì mưa lại càng lan rộng hơn ở khắp khu vực phía Nam.,Càng đến chiều thì mưa lại càng lan rộng hơn ở khắp khu vực phía Nam.,Càng đến chiều thì mưa lại càng lan rộng hơn ở khắp khu vực phía Nam.,OK,HIGH
jUeiXuf77kQ,9,35.0,41.400001525878906,6.400001525878906,"Như quý vị có thể thấy ở đây và một số nơi như là Khánh Hòa, TP.HCM, Sóc Trăng và Cần Thơ","Như quý vị có thể thấy ở đây và một số nơi như là Khánh Hòa, TP.HCM, Sóc Trăng và Cần Thơ","Như quý vị có thể thấy ở đây và một số nơi như là Khánh Hòa, TP.HCM, Sóc Trăng và Cần Thơ",OK,HIGH
jUeiXuf77kQ,10,41.400001525878906,46.400001525878906,5.0,cũng đã có mưa to lên đến cả 100mm và điều này thì gây ra ngập úng cục bộ.,cũng đã có mưa to lên đến cả 100mm và điều này thì gây ra ngập úng cục bộ.,cũng đã có mưa to lên đến cả 100mm và điều này thì gây ra ngập úng cục bộ.,OK,HIGH
jUeiXuf77kQ,11,46.400001525878906,50.20000076293945,3.799999237060547,Dự báo là mưa sẽ còn kéo dài không chỉ ở khu vực Nam Bộ,Dự báo là mưa sẽ còn kéo dài không chỉ ở khu vực Nam Bộ,Dự báo là mưa sẽ còn kéo dài không chỉ ở khu vực Nam Bộ,OK,HIGH
jUeiXuf77kQ,12,50.20000076293945,55.400001525878906,5.200000762939453,mà cả ở phía Nam của miền Trung và Tây Nguyên trong 4 ngày nghỉ lễ sắp tới.,mà cả ở phía Nam của miền Trung và Tây Nguyên trong 4 ngày nghỉ lễ sắp tới.,mà cả ở phía Nam của miền Trung và Tây Nguyên trong 4 ngày nghỉ lễ sắp tới.,OK,HIGH
jUeiXuf77kQ,13,55.400001525878906,60.59999847412109,5.19999694824218,"Thời gian mưa nhiều thì tập trung từ chiều cho đến tối với nhiều nơi sẽ có mưa vừa, mưa to.","Thời gian mưa nhiều thì tập trung từ chiều cho đến tối với nhiều nơi sẽ có mưa vừa, mưa to.","Thời gian mưa nhiều thì tập trung từ chiều cho đến tối với nhiều nơi sẽ có mưa vừa, mưa to.",OK,HIGH
jUeiXuf77kQ,14,60.59999847412109,65.5999984741211,5.000000000000007,Ngoài nguy cơ có mưa to gây ra ngập thì quý vị còn cần phải cảnh giác với cả các hiện tượng khác,Ngoài nguy cơ có mưa to gây ra ngập thì quý vị còn cần phải cảnh giác với cả các hiện tượng khác,Ngoài nguy cơ có mưa to gây ra ngập thì quý vị còn cần phải cảnh giác với cả các hiện tượng khác,OK,HIGH
jUeiXuf77kQ,15,65.5999984741211,68.80000305175781,3.2000045776367188,"như là lốc, xét hay là gió giật dễ đi kèm trong cơn giông.","như là lốc, xét hay là gió giật dễ đi kèm trong cơn giông.","như là lốc, xét hay là gió giật dễ đi kèm trong cơn giông.",OK,HIGH
