video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
k0pIUp_0IcU,0,1.0,5.0,4.0,"Dự báo từ đêm nay, miền Trung sẽ bước vào một đợt mưa lớn.","Dự báo từ đêm nay, miền Trung sẽ bước vào một đợt mưa lớn.","Dự báo từ đêm nay, miền Trung sẽ bước vào một đợt mưa lớn.",OK,HIGH
k0pIUp_0IcU,1,5.0,9.0,4.0,"Cụ thể như thế nào, chúng ta cùng chờ đợi những thông tin từ biên tập viên thời tiết Thanh Tùng.","Cụ thể như thế nào, chúng ta cùng chờ đợi những thông tin từ biên tập viên thời tiết Thanh Tùng.","Cụ thể như thế nào, chúng ta cùng chờ đợi những thông tin từ biên tập viên thời tiết Thanh Tùng.",OK,HIGH
k0pIUp_0IcU,2,9.0,12.0,3.0,"Thanh Tùng, tôi nhớ thời điểm này năm ngoái thì miền Trung đã phải gồm mình","Thanh Tùng, tôi nhớ thời điểm này năm ngoái thì miền Trung đã phải gồm mình","Thanh Tùng, tôi nhớ thời điểm này năm ngoái thì miền Trung đã phải gồm mình",OK,HIGH
k0pIUp_0IcU,3,12.0,15.0,3.0,"chống đỡ với đợt mưa lũ lịch sử, với thiệt hại rất lớn về người và của.","chống đỡ với đợt mưa lũ lịch sử, với thiệt hại rất lớn về người và của.","chống đỡ với đợt mưa lũ lịch sử, với thiệt hại rất lớn về người và của.",OK,HIGH
k0pIUp_0IcU,4,15.0,18.0,3.0,Vậy thì đợt mưa này có điểm nào tự tự giống như năm ngoái hay không ạ?,Vậy thì đợt mưa này có điểm nào tự tự giống như năm ngoái hay không ạ?,Vậy thì đợt mưa này có điểm nào tự tự giống như năm ngoái hay không ạ?,OK,HIGH
k0pIUp_0IcU,5,18.0,20.0,2.0,"Vâng, có những điểm tương đồng.","Vâng, có những điểm tương đồng.","Vâng, có những điểm tương đồng.",OK,HIGH
k0pIUp_0IcU,6,20.0,22.0,2.0,Chúng ta phải kể đến đó chính là nguyên nhân gây ra mưa.,Chúng ta phải kể đến đó chính là nguyên nhân gây ra mưa.,Chúng ta phải kể đến đó chính là nguyên nhân gây ra mưa.,OK,HIGH
k0pIUp_0IcU,7,22.0,26.0,4.0,Những hình thế gây ra đợt mưa lớn lần này cũng khá tương đồng,Những hình thế gây ra đợt mưa lớn lần này cũng khá tương đồng,Những hình thế gây ra đợt mưa lớn lần này cũng khá tương đồng,OK,HIGH
k0pIUp_0IcU,8,26.0,29.0,3.0,với những hình thế đã từng gây ra trận mưa lũ lịch sử,với những hình thế đã từng gây ra trận mưa lũ lịch sử,với những hình thế đã từng gây ra trận mưa lũ lịch sử,OK,HIGH
k0pIUp_0IcU,9,29.0,31.0,2.0,tại thời điểm này năm ngoái tại khu vực miền Trung.,tại thời điểm này năm ngoái tại khu vực miền Trung.,tại thời điểm này năm ngoái tại khu vực miền Trung.,OK,HIGH
k0pIUp_0IcU,10,31.0,35.0,4.0,"Cụ thể như thế này, đó là những đợt không khí lạnh liên tục được tăng cường xuống","Cụ thể như thế này, đó là những đợt không khí lạnh liên tục được tăng cường xuống","Cụ thể như thế này, đó là những đợt không khí lạnh liên tục được tăng cường xuống",OK,HIGH
k0pIUp_0IcU,11,35.0,40.0,5.0,và lại kết hợp với một vùng áp thấp có khả năng xuất hiện trên giải hữu tụ nhiệt đới.,và lại kết hợp với một vùng áp thấp có khả năng xuất hiện trên giải hữu tụ nhiệt đới.,và lại kết hợp với một vùng áp thấp có khả năng xuất hiện trên giải hữu tụ nhiệt đới.,OK,HIGH
