video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
khciWQgoUUM,0,0.0,4.0,4.0,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Ngọc Vân,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Ngọc Vân,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Ngọc Vân,OK,HIGH
khciWQgoUUM,1,4.0,7.0,3.0,"Chào Chị Ngọc Vân, ngay hôm nay ở Hà Nội lại là tiếp tục một ngày nắng nóng","Chào Chị Ngọc Vân, ngay hôm nay ở Hà Nội lại là tiếp tục một ngày nắng nóng","Chào Chị Ngọc Vân, ngay hôm nay ở Hà Nội lại là tiếp tục một ngày nắng nóng",OK,HIGH
khciWQgoUUM,2,7.0,10.0,3.0,Không biết là buổi tối ngay nay thì có một cơn mưa giải nhiệt ở đó hay không ạ?,Không biết là buổi tối ngay nay thì có một cơn mưa giải nhiệt ở đó hay không ạ?,Không biết là buổi tối ngay nay thì có một cơn mưa giải nhiệt ở đó hay không ạ?,OK,HIGH
khciWQgoUUM,3,10.0,14.0,4.0,"Vâng, thời đô Hà Nội thì ít khả năng có mưa nhưng mà tại vùng núi của Bắc Bộ","Vâng, thời đô Hà Nội thì ít khả năng có mưa nhưng mà tại vùng núi của Bắc Bộ","Vâng, thời đô Hà Nội thì ít khả năng có mưa nhưng mà tại vùng núi của Bắc Bộ",OK,HIGH
khciWQgoUUM,4,14.0,18.0,4.0,hay là cả khu vực Tây Nguyên và Nam Bộ thì lại phải cần lưu ý tới mưa rông,hay là cả khu vực Tây Nguyên và Nam Bộ thì lại phải cần lưu ý tới mưa rông,hay là cả khu vực Tây Nguyên và Nam Bộ thì lại phải cần lưu ý tới mưa rông,OK,HIGH
khciWQgoUUM,5,18.0,23.0,5.0,Và hiện tại qua ảnh mây vệ tinh cũng cho thấy là mây rông đang bao phủ và gây mưa,Và hiện tại qua ảnh mây vệ tinh cũng cho thấy là mây rông đang bao phủ và gây mưa,Và hiện tại qua ảnh mây vệ tinh cũng cho thấy là mây rông đang bao phủ và gây mưa,OK,HIGH
khciWQgoUUM,6,23.0,26.0,3.0,"tại vùng núi Lai Châu, Điện Điên và Sân La","tại vùng núi Lai Châu, Điện Điên và Sân La","tại vùng núi Lai Châu, Điện Điên và Sân La",OK,HIGH
khciWQgoUUM,7,26.0,30.0,4.0,cũng như là nhiều nơi khác của khu vực Tây Nguyên và Nam Bộ,cũng như là nhiều nơi khác của khu vực Tây Nguyên và Nam Bộ,cũng như là nhiều nơi khác của khu vực Tây Nguyên và Nam Bộ,OK,HIGH
khciWQgoUUM,8,30.0,33.0,3.0,Cường độ của mây phát triển khá mạnh chút mưa kèm theo rông xét dữ dội,Cường độ của mây phát triển khá mạnh chút mưa kèm theo rông xét dữ dội,Cường độ của mây phát triển khá mạnh chút mưa kèm theo rông xét dữ dội,OK,HIGH
khciWQgoUUM,9,33.0,38.0,5.0,"Tại Lai Châu, Điện Biên và Sân La đã ghi nhận hơn 2.000 cú xét đánh xuống mặt đất","Tại Lai Châu, Điện Biên và Sân La đã ghi nhận hơn 2.000 cú xét đánh xuống mặt đất","Tại Lai Châu, Điện Biên và Sân La đã ghi nhận hơn 2.000 cú xét đánh xuống mặt đất",OK,HIGH
khciWQgoUUM,10,38.0,40.0,2.0,chỉ trong vòng 2 tiếng đồng hồ,chỉ trong vòng 2 tiếng đồng hồ,chỉ trong vòng 2 tiếng đồng hồ,OK,HIGH
khciWQgoUUM,11,40.0,43.0,3.0,Sở dĩ mưa nhiều nơi như vậy là do sự xuất hiện của nhiều hình thế gây mưa,Sở dĩ mưa nhiều nơi như vậy là do sự xuất hiện của nhiều hình thế gây mưa,Sở dĩ mưa nhiều nơi như vậy là do sự xuất hiện của nhiều hình thế gây mưa,OK,HIGH
khciWQgoUUM,12,43.0,47.0,4.0,"Cùng một lúc, phía Nam là gió mùa Tây Nam hoạt động mạnh lên","Cùng một lúc, phía Nam là gió mùa Tây Nam hoạt động mạnh lên","Cùng một lúc, phía Nam là gió mùa Tây Nam hoạt động mạnh lên",OK,HIGH
khciWQgoUUM,13,47.0,52.0,5.0,Còn vùng núi phía Bắc là có rãnh áp thấp nơi hội tụ mây ẩm giữa 2 hương gió,Còn vùng núi phía Bắc là có rãnh áp thấp nơi hội tụ mây ẩm giữa 2 hương gió,Còn vùng núi phía Bắc là có rãnh áp thấp nơi hội tụ mây ẩm giữa 2 hương gió,OK,HIGH
khciWQgoUUM,14,53.0,56.0,3.0,"Rãnh này thở mạnh về đêm, vậy nên cảnh báo đêm nay và đêm mai","Rãnh này thở mạnh về đêm, vậy nên cảnh báo đêm nay và đêm mai","Rãnh này thở mạnh về đêm, vậy nên cảnh báo đêm nay và đêm mai",OK,HIGH
khciWQgoUUM,15,56.0,60.0,4.0,"khu vực vùng núi Bắc Bộ sẽ có mưa rông, cục Bộ có mưa vừa, mưa to","khu vực vùng núi Bắc Bộ sẽ có mưa rông, cục Bộ có mưa vừa, mưa to","khu vực vùng núi Bắc Bộ sẽ có mưa rông, cục Bộ có mưa vừa, mưa to",OK,HIGH
khciWQgoUUM,16,60.0,63.0,3.0,tương ứng với vùng màu xanh đậm này,tương ứng với vùng màu xanh đậm này,tương ứng với vùng màu xanh đậm này,OK,HIGH
