video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
mPkyMzZzm6o,0,0.0,4.0,4.0,Còn tiếp theo thì biên tập viên Xuân Anh sẽ chuyển tới quý vị những thông tin dự báo thời tiết.,"Tiếp theo, biên tập viên Xuân Anh sẽ gửi đến quý vị những thông tin dự báo thời tiết.","Tiếp theo, biên tập viên Xuân Anh sẽ gửi đến quý vị những thông tin dự báo thời tiết.",OK,HIGH
mPkyMzZzm6o,1,4.0,9.0,5.0,"Trên Xuân Anh thời điểm này thì người dân, đặc biệt là người dân miền Trung đang rất quan tâm đến diễn biến của cơn bão số 13.","Hiện tại, người dân miền Trung, đặc biệt là tại khu vực này, đang rất quan tâm đến diễn biến của cơn bão số 13.","Hiện tại, người dân miền Trung, đặc biệt là tại khu vực này, đang rất quan tâm đến diễn biến của cơn bão số 13.",OK,HIGH
mPkyMzZzm6o,2,9.0,13.0,4.0,Vậy thì tính đến chiều nay thì cường độ của nó cũng như là đường đi của nó đi đến đâu rồi ạ?,"Tính đến chiều nay, cường độ và đường đi của cơn bão số 13 đã được cập nhật như thế nào?",Vậy thì tính đến chiều nay thì cường độ của nó cũng như là đường đi của nó đi đến đâu rồi ạ?,REVERT,LOW
mPkyMzZzm6o,3,13.0,18.0,5.0,"Vâng, cập nhật đến chiều tối thì cơn bão số 13 hiện nay thì đang ở khu vực phía đông nam của huyện đảo Hoàng Sa","Cập nhật đến chiều tối, cơn bão số 13 hiện đang ở khu vực phía đông nam của huyện đảo Hoàng Sa, với cường độ khoảng cấp 11-12, có thể lên tới cấp 15.","Vâng, cập nhật đến chiều tối thì cơn bão số 13 hiện nay thì đang ở khu vực phía đông nam của huyện đảo Hoàng Sa",REVERT,LOW
mPkyMzZzm6o,4,18.0,21.0,3.0,và cường độ của nó là khoảng cấp 11-12 giờ cấp 15.,"Cường độ của cơn bão số 13 hiện nay là khoảng cấp 11-12, có lúc đạt cấp 15.",và cường độ của nó là khoảng cấp 11-12 giờ cấp 15.,REVERT,LOW
mPkyMzZzm6o,5,21.0,26.0,5.0,Và như vậy là gần 2 ngày di chuyển trên Bình Đông mà gần như là bão không thay đổi cường độ.,"Gần 2 ngày di chuyển trên vùng biển Bình Đông, cơn bão số 13 gần như không thay đổi cường độ.","Gần 2 ngày di chuyển trên vùng biển Bình Đông, cơn bão số 13 gần như không thay đổi cường độ.",OK,HIGH
mPkyMzZzm6o,6,26.0,30.0,4.0,Còn cũng như là quý vị khán giả hãy cùng nhìn vào ảnh mây bệ tinh để thấy được là sức mạnh của nó.,Quý vị khán giả hãy cùng nhìn vào ảnh mây vệ tinh để thấy rõ sức mạnh của cơn bão số 13.,Còn cũng như là quý vị khán giả hãy cùng nhìn vào ảnh mây bệ tinh để thấy được là sức mạnh của nó.,REVERT,LOW
mPkyMzZzm6o,7,30.0,35.0,5.0,Điều thứ nhất có thể thấy ở đây đó là mắt bão nó đã xuất hiện khá rõ nét,"Mắt bão đã xuất hiện khá rõ nét, cho thấy sức mạnh của cơn bão số 13.",Điều thứ nhất có thể thấy ở đây đó là mắt bão nó đã xuất hiện khá rõ nét,REVERT,LOW
mPkyMzZzm6o,8,35.0,40.0,5.0,và thứ hai đó là đĩa mây dông của bão tròn và độ xoắn hoàn thiện.,Điều thứ hai có thể thấy là đĩa mây dông của bão tròn và độ xoắn hoàn thiện.,Điều thứ hai có thể thấy là đĩa mây dông của bão tròn và độ xoắn hoàn thiện.,OK,MEDIUM
mPkyMzZzm6o,9,40.0,43.0,3.0,Cơn bão này cũng có ban kính ảnh hưởng rất rộng.,"Cơn bão này có bán kính ảnh hưởng rất rộng, với vùng bán kính gió mạnh từ cấp 6 trở lên trải rộng tới khoảng 220 km.",Cơn bão này cũng có ban kính ảnh hưởng rất rộng.,REVERT,LOW
mPkyMzZzm6o,10,43.0,50.0,7.0,Có thể thấy là vùng ban kính gió mạnh từ cấp 6 trở lên trải rộng tới khoảng là 220 km.,Vùng ban kính gió mạnh từ cấp 6 trở lên của cơn bão số 13 trải rộng khoảng 220 km.,Có thể thấy là vùng ban kính gió mạnh từ cấp 6 trở lên trải rộng tới khoảng là 220 km.,REVERT,HIGH
mPkyMzZzm6o,11,50.0,55.0,5.0,Và với các dự báo hiện tại thì đường đi của bão số 13 khá là đồng nhất.,"Theo các dự báo hiện tại, đường đi của bão số 13 đang khá đồng nhất.","Theo các dự báo hiện tại, đường đi của bão số 13 đang khá đồng nhất.",OK,HIGH
mPkyMzZzm6o,12,55.0,60.0,5.0,"Đối với cơ quan dự báo của các nước như là Mỹ, Nhật Bản và Việt Nam","Các cơ quan dự báo thời tiết của Mỹ, Nhật Bản và Việt Nam đều nhận định rằng bão số 13 sẽ di chuyển chủ yếu theo hướng Tây Tây Bắc và có khả năng sẽ tiến vào khu vực đất liền các tỉnh Quảng Bình và Quảng Trị.","Đối với cơ quan dự báo của các nước như là Mỹ, Nhật Bản và Việt Nam",REVERT,LOW
mPkyMzZzm6o,13,60.0,64.0,4.0,đều cho bão di chuyển chủ yếu là theo hướng Tây Tây Bắc,"Các cơ quan dự báo của Mỹ, Nhật Bản và Việt Nam đều cho rằng bão di chuyển chủ yếu theo hướng Tây Tây Bắc.",đều cho bão di chuyển chủ yếu là theo hướng Tây Tây Bắc,REVERT,LOW
mPkyMzZzm6o,14,64.0,69.0,5.0,và nhiều khả năng nó sẽ di chuyển vào khu vực đất liền các tỉnh Quảng Bình và Quảng Trị.,Nhiều khả năng cơn bão số 13 sẽ di chuyển vào khu vực đất liền các tỉnh Quảng Bình và Quảng Trị.,Nhiều khả năng cơn bão số 13 sẽ di chuyển vào khu vực đất liền các tỉnh Quảng Bình và Quảng Trị.,OK,HIGH
mPkyMzZzm6o,15,69.0,73.0,4.0,Với ban kính gió mạnh rộng và hướng di chuyển như thế này,"Với bán kính gió mạnh rộng và hướng di chuyển như vậy, từ đêm nay, vùng biển từ Hà Tĩnh đến Quảng Ngãi sẽ bắt đầu có gió mạnh, đặc biệt là tại các huyện đảo Cồn Cỏ, Lý Sơn và đảo Cù Lao Chàm, với sức gió có thể đạt cấp 7 đến cấp 8, gần tâm bão có thể mạnh tới cấp 9, cấp 10, giật cấp 12.",Với ban kính gió mạnh rộng và hướng di chuyển như thế này,REVERT,LOW
mPkyMzZzm6o,16,73.0,80.0,7.0,thì từ đêm nay vùng biển từ Hà Tĩnh trở xuống cho tới tận Quảng Ngãi sẽ bắt đầu có gió mạnh,"Từ đêm nay, vùng biển từ Hà Tĩnh đến Quảng Ngãi sẽ bắt đầu có gió mạnh, đặc biệt là tại các huyện đảo Cồn Cỏ, Lý Sơn và đảo Cù Lao Chàm.",thì từ đêm nay vùng biển từ Hà Tĩnh trở xuống cho tới tận Quảng Ngãi sẽ bắt đầu có gió mạnh,REVERT,HIGH
mPkyMzZzm6o,17,80.0,84.0,4.0,"đặc biệt là đối với các nguyện đảo Cồn Cỏ, Lý Sơn hay là đảo Cù Lao Chàm.","Gió sẽ mạnh dần lên từ cấp 7 đến cấp 8, đặc biệt là tại các huyện đảo Cồn Cỏ, Lý Sơn và đảo Cù Lao Chàm.","đặc biệt là đối với các nguyện đảo Cồn Cỏ, Lý Sơn hay là đảo Cù Lao Chàm.",REVERT,LOW
mPkyMzZzm6o,18,84.0,87.0,3.0,Gió sẽ mạnh dần lên là cấp 7 đến cấp 8.,"Gió sẽ mạnh dần lên, đạt mức cấp 7 đến cấp 8.","Gió sẽ mạnh dần lên, đạt mức cấp 7 đến cấp 8.",OK,HIGH
mPkyMzZzm6o,19,87.0,92.0,5.0,"Vùng gần tâm bão đi qua có thể mạnh tới mức là cấp 9, cấp 10, giật cấp 12.","Vùng gần tâm bão có thể mạnh tới cấp 9, cấp 10, với gió giật đạt cấp 12.","Vùng gần tâm bão có thể mạnh tới cấp 9, cấp 10, với gió giật đạt cấp 12.",OK,HIGH
mPkyMzZzm6o,20,92.0,97.0,5.0,"Với sức gió như thế này thì có thể sẽ làm đổ cả cây cối, nhà cửa hay là cột điện.","Với sức gió như vậy, cơn bão có khả năng làm đổ cây cối, nhà cửa và cột điện.","Với sức gió như vậy, cơn bão có khả năng làm đổ cây cối, nhà cửa và cột điện.",OK,HIGH
