video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
mWv9XiInxUw,0,0.0,5.0,5.0,"Thưa quý vị, còn tiếp theo sẽ là phần phân tích thời tiết cùng với biên tập viên thời tiết Hương Liên.","Thưa quý vị, còn tiếp theo sẽ là phần phân tích thời tiết cùng với biên tập viên thời tiết Hương Liên.","Thưa quý vị, còn tiếp theo sẽ là phần phân tích thời tiết cùng với biên tập viên thời tiết Hương Liên.",OK,HIGH
mWv9XiInxUw,1,5.0,11.0,6.0,Theo các chuyên gia khí tượng thì khí quyển đang chuyển sang pha La Nina mang đến mưa bão nhiều hơn.,Theo các chuyên gia khí tượng thì khí quyển đang chuyển sang pha La Nina mang đến mưa bão nhiều hơn.,Theo các chuyên gia khí tượng thì khí quyển đang chuyển sang pha La Nina mang đến mưa bão nhiều hơn.,OK,HIGH
mWv9XiInxUw,2,11.0,19.0,8.0,"Và thực tế thì chỉ trong nửa tháng qua, báo số 6 rồi số 7 liên tiếp xuất hiện trên biển Đông, đánh dấu thời kỳ cao điểm của mùa mưa bão.","Và thực tế thì chỉ trong nửa tháng qua, báo số 6 rồi số 7 liên tiếp xuất hiện trên biển Đông, đánh dấu thời kỳ cao điểm của mùa mưa bão.","Và thực tế thì chỉ trong nửa tháng qua, báo số 6 rồi số 7 liên tiếp xuất hiện trên biển Đông, đánh dấu thời kỳ cao điểm của mùa mưa bão.",OK,HIGH
mWv9XiInxUw,3,19.0,25.0,6.0,"Vậy từ giờ cho đến cuối năm dưới tắc động của La Nina, tình hình thiên tai của nước ta sẽ diễn biến theo chỉ hướng như thế nào?","Vậy từ giờ cho đến cuối năm dưới tắc động của La Nina, tình hình thiên tai của nước ta sẽ diễn biến theo chỉ hướng như thế nào?","Vậy từ giờ cho đến cuối năm dưới tắc động của La Nina, tình hình thiên tai của nước ta sẽ diễn biến theo chỉ hướng như thế nào?",OK,HIGH
mWv9XiInxUw,4,25.0,28.0,3.0,Chúng ta sẽ cùng chờ đợi những phân tích sau đây của biên tập viên thời tiết Hương Liên.,Chúng ta sẽ cùng chờ đợi những phân tích sau đây của biên tập viên thời tiết Hương Liên.,Chúng ta sẽ cùng chờ đợi những phân tích sau đây của biên tập viên thời tiết Hương Liên.,OK,HIGH
mWv9XiInxUw,5,28.0,29.0,1.0,Xin chào chị Hương Liên.,Xin chào chị Hương Liên.,Xin chào chị Hương Liên.,OK,HIGH
mWv9XiInxUw,6,29.0,30.0,1.0,Xin chào các khán giả.,Xin chào các khán giả.,Xin chào các khán giả.,OK,HIGH
mWv9XiInxUw,7,30.0,33.0,3.0,Trước tiên thì tôi xin được thông tin về diễn biến của cơn bão số 7.,Trước tiên thì tôi xin được thông tin về diễn biến của cơn bão số 7.,Trước tiên thì tôi xin được thông tin về diễn biến của cơn bão số 7.,OK,HIGH
mWv9XiInxUw,8,33.0,39.0,6.0,"Thưa quý vị khán giả, cập nhật đến chiều tối nay, tâm của bão vẫn nằm trên khu vực phía Bắc đảo Hải Nam Trung Quốc.","Thưa quý vị khán giả, cập nhật đến chiều tối nay, tâm của bão vẫn nằm trên khu vực phía Bắc đảo Hải Nam Trung Quốc.","Thưa quý vị khán giả, cập nhật đến chiều tối nay, tâm của bão vẫn nằm trên khu vực phía Bắc đảo Hải Nam Trung Quốc.",OK,HIGH
mWv9XiInxUw,9,39.0,43.0,4.0,Dự báo khoảng tối đến đêm nay thì bão số 7 sẽ đi vào vịnh Bắc Bộ.,Dự báo khoảng tối đến đêm nay thì bão số 7 sẽ đi vào vịnh Bắc Bộ.,Dự báo khoảng tối đến đêm nay thì bão số 7 sẽ đi vào vịnh Bắc Bộ.,OK,HIGH
mWv9XiInxUw,10,43.0,47.0,4.0,"Cường độ trên vịnh mạnh nhất là khoảng cấp 8, cấp 9, giật cấp 11.","Cường độ trên vịnh mạnh nhất là khoảng cấp 8, cấp 9, giật cấp 11.","Cường độ trên vịnh mạnh nhất là khoảng cấp 8, cấp 9, giật cấp 11.",OK,HIGH
mWv9XiInxUw,11,47.0,50.0,3.0,"Sau đó, bão dần suy yếu thành áp thấp nhiệt đới.","Sau đó, bão dần suy yếu thành áp thấp nhiệt đới.","Sau đó, bão dần suy yếu thành áp thấp nhiệt đới.",OK,HIGH
mWv9XiInxUw,12,50.0,55.0,5.0,"Khoảng chiều tối mai, đi vào đất liền khu vực Nam Đồng Bằng Bắc Bộ và Bắc Trung Bộ.","Khoảng chiều tối mai, đi vào đất liền khu vực Nam Đồng Bằng Bắc Bộ và Bắc Trung Bộ.","Khoảng chiều tối mai, đi vào đất liền khu vực Nam Đồng Bằng Bắc Bộ và Bắc Trung Bộ.",OK,HIGH
mWv9XiInxUw,13,55.0,61.0,6.0,"Hoàn liều của bão gây ra một đợt mưa lớn cho Bắc Bộ, Bắc Trung Bộ từ nay đến thứ ba tuần sau.","Hoàn liều của bão gây ra một đợt mưa lớn cho Bắc Bộ, Bắc Trung Bộ từ nay đến thứ ba tuần sau.","Hoàn liều của bão gây ra một đợt mưa lớn cho Bắc Bộ, Bắc Trung Bộ từ nay đến thứ ba tuần sau.",OK,HIGH
mWv9XiInxUw,14,61.0,70.0,9.0,"Đáng chú ý, sau khi bão số 7 tan đi, khả năng ngay đầu tuần tới, biển Đông lại đón thêm một cơn bão mới, bão số 8.","Đáng chú ý, sau khi bão số 7 tan đi, khả năng ngay đầu tuần tới, biển Đông lại đón thêm một cơn bão mới, bão số 8.","Đáng chú ý, sau khi bão số 7 tan đi, khả năng ngay đầu tuần tới, biển Đông lại đón thêm một cơn bão mới, bão số 8.",OK,HIGH
mWv9XiInxUw,15,70.0,77.0,7.0,"Dự kiến cơn bão này sẽ di chuyển dịch lên phía Bắc và có thể ảnh hưởng đến thời tiết miền Bắc, Bắc miền Trung.","Dự kiến cơn bão này sẽ di chuyển dịch lên phía Bắc và có thể ảnh hưởng đến thời tiết miền Bắc, Bắc miền Trung.","Dự kiến cơn bão này sẽ di chuyển dịch lên phía Bắc và có thể ảnh hưởng đến thời tiết miền Bắc, Bắc miền Trung.",OK,HIGH
mWv9XiInxUw,16,77.0,83.0,6.0,"Sau đó, đến cuối tuần sau, có thể hình thành tiếp một áp thấp nhiệt đới khác hoặc là cả bão nữa.","Sau đó, đến cuối tuần sau, có thể hình thành tiếp một áp thấp nhiệt đới khác hoặc là cả bão nữa.","Sau đó, đến cuối tuần sau, có thể hình thành tiếp một áp thấp nhiệt đới khác hoặc là cả bão nữa.",OK,HIGH
mWv9XiInxUw,17,83.0,92.0,9.0,"Việc bão và mưa lũ liên tục ập đến thời gian này là minh chứng rõ ràng cho thấy La Nina đã quay trở lại, tác động đến thời tiết nước ta.","Việc bão và mưa lũ liên tục ập đến thời gian này là minh chứng rõ ràng cho thấy La Nina đã quay trở lại, tác động đến thời tiết nước ta.","Việc bão và mưa lũ liên tục ập đến thời gian này là minh chứng rõ ràng cho thấy La Nina đã quay trở lại, tác động đến thời tiết nước ta.",OK,HIGH
mWv9XiInxUw,18,94.0,102.0,8.0,"Để hiểu rõ hơn tại sao những năm La Nina, Việt Nam lại nhiều bão và mưa lũ như vậy, chúng ta hãy cùng xem lý giải về mặt khoa học ngay sau đây.","Để hiểu rõ hơn tại sao những năm La Nina, Việt Nam lại nhiều bão và mưa lũ như vậy, chúng ta hãy cùng xem lý giải về mặt khoa học ngay sau đây.","Để hiểu rõ hơn tại sao những năm La Nina, Việt Nam lại nhiều bão và mưa lũ như vậy, chúng ta hãy cùng xem lý giải về mặt khoa học ngay sau đây.",OK,HIGH
mWv9XiInxUw,19,103.0,110.0,7.0,"Khi gió tín phong trên Thái Bình Dương ở vùng sích đạo thổi mạnh hơn bình thường, nó sẽ đẩy dòng nước ấm về phía Tây của Thái Bình Dương.","Khi gió tín phong trên Thái Bình Dương ở vùng sích đạo thổi mạnh hơn bình thường, nó sẽ đẩy dòng nước ấm về phía Tây của Thái Bình Dương.","Khi gió tín phong trên Thái Bình Dương ở vùng sích đạo thổi mạnh hơn bình thường, nó sẽ đẩy dòng nước ấm về phía Tây của Thái Bình Dương.",OK,HIGH
mWv9XiInxUw,20,110.0,114.0,4.0,Còn ở phía Đông được thay thế bằng dòng nước lạnh trồi lên.,Còn ở phía Đông được thay thế bằng dòng nước lạnh trồi lên.,Còn ở phía Đông được thay thế bằng dòng nước lạnh trồi lên.,OK,HIGH
mWv9XiInxUw,21,114.0,121.0,7.0,"Việc nhiệt độ bề mặt nước biển ở đây lạnh đi so với trung bình nhiều năm từ 0,5 độ C trở lên được gọi là hiện tượng La Nina.","Việc nhiệt độ bề mặt nước biển ở đây lạnh đi so với trung bình nhiều năm từ 0,5 độ C trở lên được gọi là hiện tượng La Nina.","Việc nhiệt độ bề mặt nước biển ở đây lạnh đi so với trung bình nhiều năm từ 0,5 độ C trở lên được gọi là hiện tượng La Nina.",OK,HIGH
mWv9XiInxUw,22,122.0,129.0,7.0,"Chính dòng nước ấm bị đẩy về phía Tây khiến bề mặt nước biển nóng lên, cung cấp lượng hơi nước dồi dào, giúp dễ dàng hình thành các cơn bão.","Chính dòng nước ấm bị đẩy về phía Tây khiến bề mặt nước biển nóng lên, cung cấp lượng hơi nước dồi dào, giúp dễ dàng hình thành các cơn bão.","Chính dòng nước ấm bị đẩy về phía Tây khiến bề mặt nước biển nóng lên, cung cấp lượng hơi nước dồi dào, giúp dễ dàng hình thành các cơn bão.",OK,HIGH
mWv9XiInxUw,23,130.0,138.0,8.0,Đó là lý do vì sao Việt Nam cũng như nhiều quốc gia châu Á khác thường phải hứng chịu bão và mưa lũ dữ dội vào thời kỳ La Nina.,Đó là lý do vì sao Việt Nam cũng như nhiều quốc gia châu Á khác thường phải hứng chịu bão và mưa lũ dữ dội vào thời kỳ La Nina.,Đó là lý do vì sao Việt Nam cũng như nhiều quốc gia châu Á khác thường phải hứng chịu bão và mưa lũ dữ dội vào thời kỳ La Nina.,OK,HIGH
mWv9XiInxUw,24,139.0,145.0,6.0,"Như vậy, để xác nhận hiện tượng La Nina, cần phải quan chắc số liệu nhiệt độ bề mặt nước biển vùng sích đạo phía Đông Thái Bình Dương.","Như vậy, để xác nhận hiện tượng La Nina, cần phải quan chắc số liệu nhiệt độ bề mặt nước biển vùng sích đạo phía Đông Thái Bình Dương.","Như vậy, để xác nhận hiện tượng La Nina, cần phải quan chắc số liệu nhiệt độ bề mặt nước biển vùng sích đạo phía Đông Thái Bình Dương.",OK,HIGH
mWv9XiInxUw,25,146.0,150.0,4.0,"Và theo số liệu mới nhất của Cơ quan Quản lý Khí quyển và Đại dương Quốc gia Hoa Kỳ,","Và theo số liệu mới nhất của Cơ quan Quản lý Khí quyển và Đại dương Quốc gia Hoa Kỳ,","Và theo số liệu mới nhất của Cơ quan Quản lý Khí quyển và Đại dương Quốc gia Hoa Kỳ,",OK,HIGH
mWv9XiInxUw,26,150.0,159.0,9.0,"ngày hôm qua, toàn bộ vùng biển quanh sích đạo từ trung tâm trở sang phía Đông của Thái Bình Dương đều đã giảm từ 1 đến 3 độ C so với thông thường.","ngày hôm qua, toàn bộ vùng biển quanh sích đạo từ trung tâm trở sang phía Đông của Thái Bình Dương đều đã giảm từ 1 đến 3 độ C so với thông thường.","ngày hôm qua, toàn bộ vùng biển quanh sích đạo từ trung tâm trở sang phía Đông của Thái Bình Dương đều đã giảm từ 1 đến 3 độ C so với thông thường.",OK,HIGH
