video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
mZsfmX_AnFg,0,0.0,3.0,3.0,Mời quý vị tiếp tục theo dõi Việt Nam hôm nay.,Mời quý vị tiếp tục theo dõi Bản Tin Thời Tiết VTV.,Mời quý vị tiếp tục theo dõi Việt Nam hôm nay.,REVERT,HIGH
mZsfmX_AnFg,1,3.0,7.0,4.0,"Mưa lũ gây ngập úng, ngập lụt và sạt lở đã chia cắt nhiều tuyến đường ở miền Trung.","Mưa lũ đã gây ngập úng, ngập lụt và sạt lở, khiến nhiều tuyến đường ở miền Trung bị chia cắt.","Mưa lũ đã gây ngập úng, ngập lụt và sạt lở, khiến nhiều tuyến đường ở miền Trung bị chia cắt.",OK,HIGH
mZsfmX_AnFg,2,7.0,10.0,3.0,Hiện tình hình giao thông đang gặp rất nhiều khó khăn.,"Hiện nay, tình hình giao thông tại miền Trung đang gặp rất nhiều khó khăn do mưa lũ gây ngập úng và sạt lở.",Hiện tình hình giao thông đang gặp rất nhiều khó khăn.,REVERT,HIGH
mZsfmX_AnFg,3,10.0,13.0,3.0,Ngay bây giờ chúng ta sẽ cùng kết nối với phóng viên Phùng Hiệp.,"Ngay bây giờ, chúng ta sẽ kết nối với phóng viên Phùng Hiệp, người đang có mặt tại tỉnh Quảng Bình.",Ngay bây giờ chúng ta sẽ cùng kết nối với phóng viên Phùng Hiệp.,REVERT,HIGH
mZsfmX_AnFg,4,13.0,15.0,2.0,Anh hiện đang có mặt tại tỉnh Quảng Bình.,Phóng viên Phùng Hiệp hiện đang có mặt tại tỉnh Quảng Bình.,Phóng viên Phùng Hiệp hiện đang có mặt tại tỉnh Quảng Bình.,OK,HIGH
mZsfmX_AnFg,5,16.0,17.0,1.0,Xin chào anh Phùng Hiệp ạ.,"Xin chào anh Phùng Hiệp, hiện anh đang có mặt tại khu vực nào và tình hình giao thông ở đó ra sao?",Xin chào anh Phùng Hiệp ạ.,REVERT,HIGH
mZsfmX_AnFg,6,17.0,22.0,5.0,Không biết lúc này anh đang có mặt tại khu vực nào và tình hình giao thông ở đó hiện ra sao thưa anh?,"Xin chào anh Phùng Hiệp, hiện anh đang có mặt tại khu vực nào và tình hình giao thông ở đó ra sao?","Xin chào anh Phùng Hiệp, hiện anh đang có mặt tại khu vực nào và tình hình giao thông ở đó ra sao?",OK,HIGH
mZsfmX_AnFg,7,22.0,31.0,9.0,"Vâng, với những diễn biến phức tạp của tình hình mưa lũ tại tỉnh Quảng Bình.",Hiện tình hình mưa lũ tại tỉnh Quảng Bình đang diễn biến phức tạp.,Hiện tình hình mưa lũ tại tỉnh Quảng Bình đang diễn biến phức tạp.,OK,HIGH
mZsfmX_AnFg,8,31.0,41.0,10.0,Nên là từ trưa nay ngày 19 tháng 10 năm 2020 thì giao thông trên tuyến quốc lộ 1A đoạn đi qua địa phận tỉnh Quảng Bình thì đã bị chia cắt.,"Từ trưa nay, ngày 19 tháng 10 năm 2020, giao thông trên tuyến quốc lộ 1A đoạn qua địa phận tỉnh Quảng Bình đã bị chia cắt.","Từ trưa nay, ngày 19 tháng 10 năm 2020, giao thông trên tuyến quốc lộ 1A đoạn qua địa phận tỉnh Quảng Bình đã bị chia cắt.",OK,HIGH
mZsfmX_AnFg,9,41.0,49.0,8.0,Hiện nay thì điểm chia cắt nằm giao giữa 2 địa phương đó là huyện Bố Trạch và thị xã Ba Đồn của tỉnh Quảng Bình.,"Hiện nay, điểm chia cắt giao thông nằm giữa hai địa phương là huyện Bố Trạch và thị xã Ba Đồn thuộc tỉnh Quảng Bình.","Hiện nay, điểm chia cắt giao thông nằm giữa hai địa phương là huyện Bố Trạch và thị xã Ba Đồn thuộc tỉnh Quảng Bình.",OK,HIGH
mZsfmX_AnFg,10,50.0,58.0,8.0,Như mọi người cũng đang thấy thì từng đoàn xe nối dài đến khoảng tầm 6 km hiện nay là những cái xe tải lớn như thế này đã không thể lưu thông.,"Hiện tại, từng đoàn xe tải lớn nối dài khoảng 6 km tại tỉnh Quảng Bình đã không thể lưu thông do tình hình mưa lũ gây chia cắt giao thông từ trưa ngày 19 tháng 10 năm 2020.",Như mọi người cũng đang thấy thì từng đoàn xe nối dài đến khoảng tầm 6 km hiện nay là những cái xe tải lớn như thế này đã không thể lưu thông.,REVERT,LOW
mZsfmX_AnFg,11,58.0,65.0,7.0,Và phải dừng chân ở đây từ buổi trưa đến tận chiều tối vẫn chưa thể là dịch chuyển được thêm một chút nào.,"Từ trưa nay, ngày 19 tháng 10 năm 2020, giao thông trên tuyến quốc lộ 1A đoạn qua địa phận tỉnh Quảng Bình đã bị chia cắt, khiến các xe tải lớn phải dừng lại từ buổi trưa đến tận chiều tối mà vẫn chưa thể di chuyển.",Và phải dừng chân ở đây từ buổi trưa đến tận chiều tối vẫn chưa thể là dịch chuyển được thêm một chút nào.,REVERT,LOW
mZsfmX_AnFg,12,65.0,67.0,2.0,Hiện nay thì nước sông ranh đang lên cao.,"Hiện nay, mực nước sông Ranh đang lên cao.","Hiện nay, mực nước sông Ranh đang lên cao.",OK,HIGH
mZsfmX_AnFg,13,67.0,71.0,4.0,Chính vì vậy mà điểm ngập lụt thì vẫn còn đang ở mức sâu.,"Chính vì vậy, điểm ngập lụt hiện vẫn đang ở mức sâu.","Chính vì vậy, điểm ngập lụt hiện vẫn đang ở mức sâu.",OK,HIGH
