video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
mns72GDYZWM,0,0.0,8.0,8.0,"Hai ngày qua đã gây mưa lớn, sạt lở, ngập lụt nhiều nơi tại hàng loạt các tỉnh như Quảng Nam, Quảng Ngãi, Khánh Hòa và Ninh Thuận.","Trong hai ngày qua, mưa lớn đã gây ra sạt lở và ngập lụt tại nhiều nơi ở hàng loạt tỉnh như Quảng Nam, Quảng Ngãi, Khánh Hòa và Ninh Thuận.","Trong hai ngày qua, mưa lớn đã gây ra sạt lở và ngập lụt tại nhiều nơi ở hàng loạt tỉnh như Quảng Nam, Quảng Ngãi, Khánh Hòa và Ninh Thuận.",OK,HIGH
mns72GDYZWM,1,8.0,11.0,3.0,Không biết đến chiều nay tình hình mưa lũ tại khu vực Trung Bộ và Tây Nguyên như thế nào?,"Không biết đến chiều nay, tình hình mưa lũ tại khu vực Trung Bộ và Tây Nguyên sẽ ra sao?","Không biết đến chiều nay, tình hình mưa lũ tại khu vực Trung Bộ và Tây Nguyên sẽ ra sao?",OK,HIGH
mns72GDYZWM,2,11.0,15.0,4.0,Chúng ta sẽ cùng chờ đợi những thông tin cập nhật đến từ biên tập viên Thời tiết Quỳnh Anh.,Chúng ta sẽ cùng chờ đợi những thông tin cập nhật từ biên tập viên Thời tiết Quỳnh Anh.,Chúng ta sẽ cùng chờ đợi những thông tin cập nhật từ biên tập viên Thời tiết Quỳnh Anh.,OK,HIGH
mns72GDYZWM,3,15.0,16.0,1.0,Xin mời Quỳnh Anh.,Xin mời biên tập viên Thời tiết Quỳnh Anh cập nhật tình hình mưa lũ tại khu vực Trung Bộ và Tây Nguyên.,Xin mời Quỳnh Anh.,REVERT,HIGH
mns72GDYZWM,4,16.0,20.0,4.0,"Dạ vâng, thông tin tích cực là đến chiều ngày hôm nay mưa ở cả Trung Bộ và Tây Nguyên đều đang giảm dần rồi.","Đến chiều hôm nay, mưa ở cả Trung Bộ và Tây Nguyên đã giảm dần.","Đến chiều hôm nay, mưa ở cả Trung Bộ và Tây Nguyên đã giảm dần.",OK,HIGH
mns72GDYZWM,5,20.0,23.0,3.0,Và điều này được thể hiện rõ qua ảnh radar ngay sau đây.,Điều này được thể hiện rõ qua hình ảnh radar ngay sau đây.,Điều này được thể hiện rõ qua hình ảnh radar ngay sau đây.,OK,HIGH
mns72GDYZWM,6,24.0,30.0,6.0,Quý vị có thể thấy là phần lớn từ Quảng Bình trở vào đến Ninh Thuận và sang khu vực Tây Nguyên,Quý vị có thể thấy rằng phần lớn từ Quảng Bình đến Ninh Thuận và khu vực Tây Nguyên hiện chỉ còn mưa nhỏ.,Quý vị có thể thấy là phần lớn từ Quảng Bình trở vào đến Ninh Thuận và sang khu vực Tây Nguyên,REVERT,MEDIUM
mns72GDYZWM,7,30.0,34.0,4.0,"thì cho độ phản hồi mây dông màu xanh, tức là mưa với lượng nhỏ.","Phần lớn từ Quảng Bình đến Ninh Thuận và khu vực Tây Nguyên cho thấy độ phản hồi mây dông màu xanh, tức là mưa với lượng nhỏ.","thì cho độ phản hồi mây dông màu xanh, tức là mưa với lượng nhỏ.",REVERT,LOW
mns72GDYZWM,8,34.0,37.0,3.0,"Dự báo trong đêm nay và ngày mai, mưa tiếp tục giảm thêm.","Dự báo trong đêm nay và ngày mai, mưa sẽ tiếp tục giảm thêm.","Dự báo trong đêm nay và ngày mai, mưa sẽ tiếp tục giảm thêm.",OK,HIGH
mns72GDYZWM,9,37.0,41.0,4.0,"Với Tây Nguyên, hầu như là quý vị có thể thấy là mưa không còn nữa.","Tại Tây Nguyên, mưa hầu như đã ngừng hoàn toàn.","Tại Tây Nguyên, mưa hầu như đã ngừng hoàn toàn.",OK,HIGH
mns72GDYZWM,10,41.0,47.0,6.0,Với Trung Bộ từ Hà Tĩnh cho tới Quảng Ngãi thì chủ yếu là mưa nhỏ và những cơn mưa rào bất chợt.,"Tại khu vực Trung Bộ, từ Hà Tĩnh đến Quảng Ngãi, hiện chủ yếu chỉ có mưa nhỏ và những cơn mưa rào bất chợt.","Tại khu vực Trung Bộ, từ Hà Tĩnh đến Quảng Ngãi, hiện chủ yếu chỉ có mưa nhỏ và những cơn mưa rào bất chợt.",OK,HIGH
mns72GDYZWM,11,47.0,49.0,2.0,"Mưa ngớt, lũ trên các sông cũng xuống dần.","Mưa đã giảm, lũ trên các sông cũng đang dần xuống.","Mưa đã giảm, lũ trên các sông cũng đang dần xuống.",OK,HIGH
mns72GDYZWM,12,49.0,52.0,3.0,Bà con ở vùng ngập trũng thấp đợi nước rút hết là có thể trở về nhà.,Bà con ở vùng ngập trũng thấp có thể trở về nhà khi nước rút hết.,Bà con ở vùng ngập trũng thấp có thể trở về nhà khi nước rút hết.,OK,HIGH
mns72GDYZWM,13,53.0,57.0,4.0,"Tuy nhiên, vùng núi từ Quảng Trị đến Ninh Thuận và khu vực Tây Nguyên","Tuy nhiên, vùng núi từ Quảng Trị đến Ninh Thuận và khu vực Tây Nguyên có nguy cơ cao xảy ra sạt lở đất đá.","Tuy nhiên, vùng núi từ Quảng Trị đến Ninh Thuận và khu vực Tây Nguyên",REVERT,HIGH
mns72GDYZWM,14,57.0,59.0,2.0,nguy cơ cao xảy ra sạt lở đất đá.,Vùng núi từ Quảng Trị đến Ninh Thuận và khu vực Tây Nguyên có nguy cơ cao xảy ra sạt lở đất đá do địa chất yếu.,nguy cơ cao xảy ra sạt lở đất đá.,REVERT,HIGH
mns72GDYZWM,15,59.0,66.0,7.0,"Do địa chất vốn đang yếu sẵn, cảnh báo Nam Trà My, Bắc Trà My, Phước Sơn, núi Thành của Quảng Nam,","Do địa chất vốn yếu, khu vực Nam Trà My, Bắc Trà My, Phước Sơn, núi Thành của Quảng Nam đang có nguy cơ cao xảy ra sạt lở đất đá.","Do địa chất vốn đang yếu sẵn, cảnh báo Nam Trà My, Bắc Trà My, Phước Sơn, núi Thành của Quảng Nam,",REVERT,LOW
mns72GDYZWM,16,66.0,70.0,4.0,Khánh Vĩnh của Khánh Hòa là khu vực có nguy cơ cao nhất xảy ra sạt lở.,"Khánh Vĩnh, thuộc tỉnh Khánh Hòa, là khu vực có nguy cơ cao nhất xảy ra sạt lở đất đá do địa chất yếu.",Khánh Vĩnh của Khánh Hòa là khu vực có nguy cơ cao nhất xảy ra sạt lở.,REVERT,HIGH
mns72GDYZWM,17,70.0,74.0,4.0,Bà con sinh sống ở sườn đồi dốc đúng cần phải hết sức cảnh giác.,Bà con sinh sống ở sườn đồi dốc cần phải hết sức cảnh giác.,Bà con sinh sống ở sườn đồi dốc cần phải hết sức cảnh giác.,OK,HIGH
mns72GDYZWM,18,74.0,77.0,3.0,Tiếp theo sẽ là phần dự báo chi tiết cho một số thành phố trên cả nước.,Tiếp theo là phần dự báo chi tiết cho một số thành phố trên cả nước.,Tiếp theo là phần dự báo chi tiết cho một số thành phố trên cả nước.,OK,HIGH
mns72GDYZWM,19,77.0,81.0,4.0,"Hội An đêm nay và sáng ngày mai vẫn có lúc có mưa, trời xe lạnh 22 độ.","Hội An đêm nay và sáng mai có khả năng xuất hiện mưa, nhiệt độ dao động ở mức 22 độ, sau đó vào chiều mai trời sẽ tạnh ráo và nhiệt độ tăng lên 25 độ.","Hội An đêm nay và sáng ngày mai vẫn có lúc có mưa, trời xe lạnh 22 độ.",REVERT,HIGH
mns72GDYZWM,20,81.0,84.0,3.0,"Trưa chiều mai trời chuyển tạnh giáo, nhiệt độ tăng lên 25 độ.","Trưa chiều mai, trời sẽ tạnh ráo, nhiệt độ tăng lên 25 độ.","Trưa chiều mai, trời sẽ tạnh ráo, nhiệt độ tăng lên 25 độ.",OK,HIGH
mns72GDYZWM,21,84.0,88.0,4.0,Thành phố Hồ Chí Minh đêm nay và chiều tối mai mưa vài nơi 25 độ.,"Thành phố Hồ Chí Minh đêm nay và chiều tối mai có mưa vài nơi, nhiệt độ khoảng 25 độ.","Thành phố Hồ Chí Minh đêm nay và chiều tối mai có mưa vài nơi, nhiệt độ khoảng 25 độ.",OK,HIGH
mns72GDYZWM,22,88.0,91.0,3.0,Sáng đến chiều mai thì trời còn nắng 32 độ.,"Sáng đến chiều mai, trời sẽ còn nắng với nhiệt độ đạt 32 độ.","Sáng đến chiều mai, trời sẽ còn nắng với nhiệt độ đạt 32 độ.",OK,HIGH
mns72GDYZWM,23,91.0,94.0,3.0,Trái lại ở thủ đô Hà Nội đêm nay trời rét khô 19 độ.,"Trái lại, đêm nay tại thủ đô Hà Nội trời rét khô với nhiệt độ 19 độ.","Trái lại, đêm nay tại thủ đô Hà Nội trời rét khô với nhiệt độ 19 độ.",OK,HIGH
mns72GDYZWM,24,94.0,97.0,3.0,"Sáng ngày mai mây nhiều, nhiệt độ không quá 22 độ.","Sáng ngày mai, Hà Nội có nhiều mây, nhiệt độ không vượt quá 22 độ.","Sáng ngày mai mây nhiều, nhiệt độ không quá 22 độ.",REVERT,HIGH
mns72GDYZWM,25,111.0,115.0,4.0,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,Hãy đăng ký kênh Ghiền Mì Gõ để không bỏ lỡ những video hấp dẫn.,Hãy đăng ký kênh Ghiền Mì Gõ để không bỏ lỡ những video hấp dẫn.,OK,LOW
