video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
nKgsKjLvVuw,0,0.0,4.0,4.0,"Còn bây giờ trở lại với tình hình dự báo thời tiết ở trên đất Liền,","Còn bây giờ trở lại với tình hình dự báo thời tiết ở trên đất Liền,","Còn bây giờ trở lại với tình hình dự báo thời tiết ở trên đất Liền,",OK,HIGH
nKgsKjLvVuw,1,4.0,8.0,4.0,đặc biệt là khu vực Bắc miền Trung trong vòng 2 ngày trở lại đây thì mưa lớn,đặc biệt là khu vực Bắc miền Trung trong vòng 2 ngày trở lại đây thì mưa lớn,đặc biệt là khu vực Bắc miền Trung trong vòng 2 ngày trở lại đây thì mưa lớn,OK,HIGH
nKgsKjLvVuw,2,8.0,14.0,6.0,khiến cho nước ở một số khu vực Hồ Thủy Điện rồi Hồ Thủy Lợi đã buộc phải xả lũ.,khiến cho nước ở một số khu vực Hồ Thủy Điện rồi Hồ Thủy Lợi đã buộc phải xả lũ.,khiến cho nước ở một số khu vực Hồ Thủy Điện rồi Hồ Thủy Lợi đã buộc phải xả lũ.,OK,HIGH
nKgsKjLvVuw,3,14.0,19.0,5.0,Vậy thì trong một vài ngày tới thì diễn biến thời tiết như thế nào? Có cải thiện hơn không chị Liền?,Vậy thì trong một vài ngày tới thì diễn biến thời tiết như thế nào? Có cải thiện hơn không chị Liền?,Vậy thì trong một vài ngày tới thì diễn biến thời tiết như thế nào? Có cải thiện hơn không chị Liền?,OK,HIGH
nKgsKjLvVuw,4,19.0,25.0,6.0,"Vâng, theo dự báo thì khu vực Đồng bằng, Trung Du Bắc Bộ, Hòa Bình và từ Thanh Hóa đến Quảng Bình","Vâng, theo dự báo thì khu vực Đồng bằng, Trung Du Bắc Bộ, Hòa Bình và từ Thanh Hóa đến Quảng Bình","Vâng, theo dự báo thì khu vực Đồng bằng, Trung Du Bắc Bộ, Hòa Bình và từ Thanh Hóa đến Quảng Bình",OK,HIGH
nKgsKjLvVuw,5,26.0,31.0,5.0,"Cường độ mưa trong đêm nay và sáng mai có giảm đi so với từ đêm qua đến chiều nay,","Cường độ mưa trong đêm nay và sáng mai có giảm đi so với từ đêm qua đến chiều nay,","Cường độ mưa trong đêm nay và sáng mai có giảm đi so với từ đêm qua đến chiều nay,",OK,HIGH
nKgsKjLvVuw,6,31.0,37.0,6.0,"nhưng vẫn ở mức mưa vừa mưa to, lượng mưa từ 40-80mm và có nơi trên 90mm.","nhưng vẫn ở mức mưa vừa mưa to, lượng mưa từ 40-80mm và có nơi trên 90mm.","nhưng vẫn ở mức mưa vừa mưa to, lượng mưa từ 40-80mm và có nơi trên 90mm.",OK,HIGH
nKgsKjLvVuw,7,37.0,41.0,4.0,"Vùng núi vẫn cần đề phòng với lũ quét sạt lở sau nhiều ngày mưa lớn,","Vùng núi vẫn cần đề phòng với lũ quét sạt lở sau nhiều ngày mưa lớn,","Vùng núi vẫn cần đề phòng với lũ quét sạt lở sau nhiều ngày mưa lớn,",OK,HIGH
nKgsKjLvVuw,8,41.0,44.0,3.0,còn vùng trũng thấp ven sông thì vẫn có khả năng ngập.,còn vùng trũng thấp ven sông thì vẫn có khả năng ngập.,còn vùng trũng thấp ven sông thì vẫn có khả năng ngập.,OK,HIGH
nKgsKjLvVuw,9,44.0,49.0,5.0,"Đến chiều mai, miền Bắc cũng như Bắc miền Trung, chỉ còn mưa nhỏ từng lúc,","Đến chiều mai, miền Bắc cũng như Bắc miền Trung, chỉ còn mưa nhỏ từng lúc,","Đến chiều mai, miền Bắc cũng như Bắc miền Trung, chỉ còn mưa nhỏ từng lúc,",OK,HIGH
nKgsKjLvVuw,10,49.0,54.0,5.0,trời vẫn mắt mẻ với mức nhiệt phổ biến tại các thành phố là từ 27-32 độ.,trời vẫn mắt mẻ với mức nhiệt phổ biến tại các thành phố là từ 27-32 độ.,trời vẫn mắt mẻ với mức nhiệt phổ biến tại các thành phố là từ 27-32 độ.,OK,HIGH
nKgsKjLvVuw,11,55.0,59.0,4.0,"Đối với khu vực Tây Nguyên và Nam Bộ, dự báo trong đêm nay và chưa chiều mai","Đối với khu vực Tây Nguyên và Nam Bộ, dự báo trong đêm nay và chưa chiều mai","Đối với khu vực Tây Nguyên và Nam Bộ, dự báo trong đêm nay và chưa chiều mai",OK,HIGH
nKgsKjLvVuw,12,59.0,65.0,6.0,"sẽ tiếp tục có mưa rông, cục bộ có điểm mưa vừa mưa to trên 80mm,","sẽ tiếp tục có mưa rông, cục bộ có điểm mưa vừa mưa to trên 80mm,","sẽ tiếp tục có mưa rông, cục bộ có điểm mưa vừa mưa to trên 80mm,",OK,HIGH
nKgsKjLvVuw,13,65.0,67.0,2.0,cảnh báo gió giật mạnh và lốc xét.,cảnh báo gió giật mạnh và lốc xét.,cảnh báo gió giật mạnh và lốc xét.,OK,HIGH
nKgsKjLvVuw,14,68.0,72.0,4.0,Cuối bản tin sẽ là phần dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.,Cuối bản tin sẽ là phần dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.,Cuối bản tin sẽ là phần dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.,OK,HIGH
nKgsKjLvVuw,15,72.0,76.0,4.0,"Thành phố Hồ Chí Minh dự báo đêm nay mưa xảy ra vài nơi 25 độ,","Thành phố Hồ Chí Minh dự báo đêm nay mưa xảy ra vài nơi 25 độ,","Thành phố Hồ Chí Minh dự báo đêm nay mưa xảy ra vài nơi 25 độ,",OK,HIGH
nKgsKjLvVuw,16,76.0,80.0,4.0,"chiều đến tối mai có mưa diện rộng, đề phòng ngập úng như chiều nay.","chiều đến tối mai có mưa diện rộng, đề phòng ngập úng như chiều nay.","chiều đến tối mai có mưa diện rộng, đề phòng ngập úng như chiều nay.",OK,HIGH
nKgsKjLvVuw,17,80.0,83.0,3.0,"Thành phố Đà Nẵng sẽ có mưa trong đêm nay và chiều tối mai,","Thành phố Đà Nẵng sẽ có mưa trong đêm nay và chiều tối mai,","Thành phố Đà Nẵng sẽ có mưa trong đêm nay và chiều tối mai,",OK,HIGH
nKgsKjLvVuw,18,83.0,87.0,4.0,"còn từ sáng đến khoảng 15 giờ, chiều mai trời có nắng 31 độ.","còn từ sáng đến khoảng 15 giờ, chiều mai trời có nắng 31 độ.","còn từ sáng đến khoảng 15 giờ, chiều mai trời có nắng 31 độ.",OK,HIGH
nKgsKjLvVuw,19,87.0,90.0,3.0,"Thủ đô Hà Nội dự báo đêm nay sáng mai có mưa vừa mưa to,","Thủ đô Hà Nội dự báo đêm nay sáng mai có mưa vừa mưa to,","Thủ đô Hà Nội dự báo đêm nay sáng mai có mưa vừa mưa to,",OK,HIGH
nKgsKjLvVuw,20,90.0,92.0,2.0,nhiệt độ thấp nhất là 23 độ.,nhiệt độ thấp nhất là 23 độ.,nhiệt độ thấp nhất là 23 độ.,OK,HIGH
