id,start,end,duration,text_len,text,video_id
0,0.0,4.0,4.0,95,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,nQO6ntOf9N4
1,4.0,9.0,5.0,129,"Chào chị Hương Liên, như vậy là sau chuỗi ngày nắng nóng gai gắt thì ngày hôm nay Hà Nội đã có một ngày tôi nghĩ là rất là dễ thở",nQO6ntOf9N4
2,9.0,15.0,6.0,144,và ai cũng cảm thấy mát mẻ hơn. Không biết là có riêng tại Hà Nội hay là đó là tình hình chung ở miền Bắc đều có một không khí mát mẻ như vậy ạ?,nQO6ntOf9N4
3,15.0,19.0,4.0,89,"Vâng anh Dương, các nơi khác ở miền Bắc thì cũng có thời tiết đương tự như thủ đô Hà Nội.",nQO6ntOf9N4
4,19.0,23.0,4.0,80,Còn ở Bắc miền Trung thì tuy không mát bằng nhưng mà cũng đã chấm dứt nắng nóng.,nQO6ntOf9N4
5,23.0,29.0,6.0,161,Không biết là trong những ngày sắp tới thì người dân miền Bắc có quyền hy vọng là chúng ta sẽ được hưởng chuỗi ngày mát mẻ lâu dài hay không thưa chị Hương Liên?,nQO6ntOf9N4
6,29.0,34.0,5.0,96,Vâng tất nhiên rồi. Theo dự báo thì một tuần tới miền Bắc sẽ ở mức dễ chịu và chưa có nắng nóng.,nQO6ntOf9N4
7,34.0,42.0,8.0,147,Thay vào đó là mưa rông xuất hiện nhiều ngày. Ngay trong đêm nay vùng mưa dự báo sẽ là khu vực Tây Bắc Bộ và từ Thanh Hóa xuống đến Thừa Thiên Huế.,nQO6ntOf9N4
8,42.0,51.0,9.0,104,"Lượng mưa phổ biến 20-50mm. Riêng Điện Biên, Lai Châu, Sơn La, Nghệ An, Thừa Thiên Huế có nơi trên 70mm.",nQO6ntOf9N4
9,51.0,57.0,6.0,93,Từ đêm chủ nhật đến khoảng ngày thứ sáu tuần sau sẽ lại xảy ra một đợt mưa rông nữa ở Bắc Bộ.,nQO6ntOf9N4
10,57.0,63.0,6.0,91,"Trong đó đêm chủ nhật và ngày thứ hai có khả năng xảy ra mưa vừa mưa to, có nơi mưa rất to.",nQO6ntOf9N4
11,63.0,69.0,6.0,100,Trong giai đoạn này thì bất cứ nơi nào có mưa cũng đều có khả năng xảy ra lúc xoáy và gió giật mạnh.,nQO6ntOf9N4
12,69.0,78.0,9.0,126,Do có nhiều ngày mưa nên nhiệt độ một tuần tới sẽ ở mức vừa phải. Tại thủ đô Hà Nội dự báo sẽ giao động trong khoảng 31-32 độ.,nQO6ntOf9N4
13,78.0,86.0,8.0,122,"Với miền Trung, nắng nóng vẫn còn xuất hiện ở khu vực từ Quảng Bình xuống đến Phú Yên và có thể duy trì đến giữa tuần sau.",nQO6ntOf9N4
14,86.0,91.0,5.0,60,"Nhiệt độ cao nhất phổ biến 35-38 độ, một vài nơi trên 38 độ.",nQO6ntOf9N4
15,91.0,96.0,5.0,93,Còn tiếp theo sẽ là phần dự báo thời tiết trong một số thành phố khác trong 2 ngày cuối tuần.,nQO6ntOf9N4
16,96.0,101.0,5.0,75,"Thành phố Hạ Long sẽ có 2 ngày cuối tuần trời mát, ban đêm khoảng 26-27 độ.",nQO6ntOf9N4
17,101.0,105.0,4.0,61,"Ban ngày 30 độ, lưu ý chiều tối ngày chủ nhật sẽ có mưa rông.",nQO6ntOf9N4
18,105.0,111.0,6.0,90,"Thành phố Nha Trang ban đêm trời mát 25-27 độ, ban ngày có nắng, buổi trưa khá nóng 34 độ.",nQO6ntOf9N4
19,111.0,118.0,7.0,105,"Thành phố Đà Lạt lại rét về đêm, ban ngày có nắng đẹp trời mát 24-25 độ, riêng chiều tối mai có mưa rông.",nQO6ntOf9N4
