video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
ocVrVrrF_yg,0,0.0,2.0,2.0,Cảm ơn các bạn đã theo dõi và đăng ký kênh của chương trình.,Cảm ơn các bạn đã theo dõi và đăng ký kênh của chương trình.,Cảm ơn các bạn đã theo dõi và đăng ký kênh của chương trình.,OK,HIGH
ocVrVrrF_yg,1,30.0,32.0,2.0,Cảm ơn các bạn đã theo dõi và đăng ký kênh của chương trình.,Cảm ơn các bạn đã theo dõi và đăng ký kênh của chương trình.,Cảm ơn các bạn đã theo dõi và đăng ký kênh của chương trình.,OK,HIGH
ocVrVrrF_yg,2,32.0,34.0,2.0,Cảm ơn các bạn đã theo dõi và đăng ký kênh của chương trình,Cảm ơn các bạn đã theo dõi và đăng ký kênh của chương trình.,Cảm ơn các bạn đã theo dõi và đăng ký kênh của chương trình.,OK,HIGH
ocVrVrrF_yg,3,61.0,67.0,6.0,"Ngày 8 tháng 10, tàu Việt Ship 01 neo ở khu vực cảng Cửa Việt – Quảng Trị bị nước lũ cuốn trôi ra biển.","Ngày 8 tháng 10, tàu Việt Ship 01 neo ở khu vực cảng Cửa Việt, Quảng Trị đã bị nước lũ cuốn trôi ra biển.","Ngày 8 tháng 10, tàu Việt Ship 01 neo ở khu vực cảng Cửa Việt, Quảng Trị đã bị nước lũ cuốn trôi ra biển.",OK,HIGH
ocVrVrrF_yg,4,67.0,71.0,4.0,Mắc cạn ở khu vực cách bờ biển xã Triệu An – Quảng Trị khoảng 1 km.,"Tàu mắc cạn ở khu vực cách bờ biển xã Triệu An, Quảng Trị khoảng 1 km.","Tàu mắc cạn ở khu vực cách bờ biển xã Triệu An, Quảng Trị khoảng 1 km.",OK,HIGH
ocVrVrrF_yg,5,71.0,76.0,5.0,"Trên tàu khi gặp nạn có 12 người, sau đó 4 người bơi được vào bờ.","Trên tàu gặp nạn có 12 người, trong đó 4 người đã bơi được vào bờ.","Trên tàu gặp nạn có 12 người, trong đó 4 người đã bơi được vào bờ.",OK,HIGH
ocVrVrrF_yg,6,77.0,83.0,6.0,"Trong suốt ngày 10 tháng 10, lực lượng cứu hộ đã sử dụng thuyền vỗ rồi xuồng cao tốc để tiếp cận tàu gặp nạn.","Trong suốt ngày 10 tháng 10, lực lượng cứu hộ đã sử dụng thuyền vỗ và xuồng cao tốc để tiếp cận tàu gặp nạn.","Trong suốt ngày 10 tháng 10, lực lượng cứu hộ đã sử dụng thuyền vỗ và xuồng cao tốc để tiếp cận tàu gặp nạn.",OK,HIGH
ocVrVrrF_yg,7,83.0,85.0,2.0,Nhưng thuyền vỗ thì bị chìm.,"Trong suốt ngày 10 tháng 10, lực lượng cứu hộ đã sử dụng thuyền vỗ và xuồng cao tốc để tiếp cận tàu gặp nạn, nhưng thuyền vỗ đã bị chìm.",Nhưng thuyền vỗ thì bị chìm.,REVERT,LOW
ocVrVrrF_yg,8,85.0,89.0,4.0,Cả những người cứu hộ cũng lại phải lên tàu Việt Ship khi đó sắp chìm hẳn.,Cả những người cứu hộ cũng phải lên tàu Việt Ship khi tàu này sắp chìm hẳn.,Cả những người cứu hộ cũng phải lên tàu Việt Ship khi tàu này sắp chìm hẳn.,OK,HIGH
ocVrVrrF_yg,9,90.0,99.0,9.0,Xuồng cao tốc bị chết máy trôi rạp ra biển.,Xuồng cao tốc đã bị chết máy và trôi ra biển.,Xuồng cao tốc đã bị chết máy và trôi ra biển.,OK,HIGH
ocVrVrrF_yg,10,108.0,111.0,3.0,"Chiều 10 tháng 10, trực thăng bắt đầu tham gia cứu hộ.","Chiều 10 tháng 10, trực thăng đã bắt đầu tham gia công tác cứu hộ.","Chiều 10 tháng 10, trực thăng đã bắt đầu tham gia công tác cứu hộ.",OK,HIGH
ocVrVrrF_yg,11,111.0,114.0,3.0,Nhưng trời tối nên công tác cứu hộ tạm dừng.,"Do trời tối, công tác cứu hộ đã phải tạm dừng.","Do trời tối, công tác cứu hộ đã phải tạm dừng.",OK,HIGH
ocVrVrrF_yg,12,115.0,120.0,5.0,"Sáng 11 tháng 10, công tác cứu hộ bước sang ngày thứ 3.","Sáng 11 tháng 10, công tác cứu hộ đã bước sang ngày thứ ba.","Sáng 11 tháng 10, công tác cứu hộ đã bước sang ngày thứ ba.",OK,HIGH
ocVrVrrF_yg,13,120.0,124.0,4.0,Trực thăng và lực lượng nạc công nước được huy động cứung cứu.,Trực thăng và lực lượng cứu hộ đã được huy động để tham gia công tác cứu nạn.,Trực thăng và lực lượng cứu hộ đã được huy động để tham gia công tác cứu nạn.,OK,HIGH
ocVrVrrF_yg,14,124.0,128.0,4.0,7 thuyền viên và 1 hư dân được đưa vào bờ an toàn.,Bảy thuyền viên và một người dân đã được đưa vào bờ an toàn.,Bảy thuyền viên và một người dân đã được đưa vào bờ an toàn.,OK,HIGH
ocVrVrrF_yg,15,138.0,143.0,5.0,Người dân cũng tìm thấy ghi thể thuyền viên tàu Việt Ship trôi rạp vào bờ.,Người dân đã phát hiện thi thể của thuyền viên tàu Việt Ship trôi dạt vào bờ.,Người dân đã phát hiện thi thể của thuyền viên tàu Việt Ship trôi dạt vào bờ.,OK,HIGH
ocVrVrrF_yg,16,144.0,161.0,17.0,"Phản hủy tất cả các cái vương tiện của chúng ta sẵn có thì trực thăng và lực lượng nạc công nước là 2 cái đơn vị này phản hủy tốt, hiệu quả ở trên biển.",Trực thăng và lực lượng cứu hộ trên biển là hai đơn vị có khả năng phản ứng tốt và hiệu quả trong việc cứu hộ.,"Phản hủy tất cả các cái vương tiện của chúng ta sẵn có thì trực thăng và lực lượng nạc công nước là 2 cái đơn vị này phản hủy tốt, hiệu quả ở trên biển.",REVERT,LOW
ocVrVrrF_yg,17,161.0,163.0,2.0,Không chỉ có tàu Việt Ship 1.,"Không chỉ tàu Việt Ship 01, mà vào ngày 7 tháng 10, tàu Minh Nam 07 cũng bị hỏng máy và mắc cạn trên vùng biển huyện Kỳ Anh, Hà Tĩnh.",Không chỉ có tàu Việt Ship 1.,REVERT,LOW
ocVrVrrF_yg,18,163.0,169.0,6.0,"Ngày 7 tháng 10, tàu Minh Nam 07 bị hỏng máy mắc cạn trên vùng biển huyện Kỳ Anh, Hà Tĩnh.","Ngày 7 tháng 10, tàu Minh Nam 07 đã bị hỏng máy và mắc cạn trên vùng biển huyện Kỳ Anh, Hà Tĩnh, với 16 thuyền viên trên tàu, và đến ngày 10 tháng 10, các lực lượng chức năng cùng người dân địa phương mới đưa được toàn bộ thuyền viên vào bờ an toàn.","Ngày 7 tháng 10, tàu Minh Nam 07 bị hỏng máy mắc cạn trên vùng biển huyện Kỳ Anh, Hà Tĩnh.",REVERT,HIGH
ocVrVrrF_yg,19,169.0,171.0,2.0,Trên tàu có 16 thuyền viên.,Trên tàu Minh Nam 07 có 16 thuyền viên.,Trên tàu có 16 thuyền viên.,REVERT,HIGH
ocVrVrrF_yg,20,172.0,178.0,6.0,"Đến ngày 10 tháng 10, các lực lượng chức năng và hư dân địa phương mới đưa được toàn bộ thuyền viên vào bờ.","Đến ngày 10 tháng 10, các lực lượng chức năng và người dân địa phương mới đưa được toàn bộ thuyền viên của tàu Minh Nam 07 vào bờ.","Đến ngày 10 tháng 10, các lực lượng chức năng và hư dân địa phương mới đưa được toàn bộ thuyền viên vào bờ.",REVERT,LOW
ocVrVrrF_yg,21,180.0,187.0,7.0,"Hiện, lực lượng chức năng Đà Nẵng vẫn đang tìm cách cứu hộ thuyền viên trên tàu trở thang Đông Mắc 22 tại Vịnh Liên Triều.","Hiện lực lượng chức năng Đà Nẵng vẫn đang nỗ lực cứu hộ thuyền viên trên tàu trở thang Đông Mắc 22 tại Vịnh Liên Triều, do tàu bị hỏng lái, thả trôi và mắc cạn.","Hiện, lực lượng chức năng Đà Nẵng vẫn đang tìm cách cứu hộ thuyền viên trên tàu trở thang Đông Mắc 22 tại Vịnh Liên Triều.",REVERT,HIGH
