video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
r8OyQwtF1ng,0,0.0,4.400000095367432,4.400000095367432,Còn sau đây chúng ta sẽ cùng đến với biên tập viên thế tiết Hương Liên để đến với những thông tin dự báo thế tiết.,Còn sau đây chúng ta sẽ cùng đến với biên tập viên thế tiết Hương Liên để đến với những thông tin dự báo thế tiết.,Còn sau đây chúng ta sẽ cùng đến với biên tập viên thế tiết Hương Liên để đến với những thông tin dự báo thế tiết.,OK,HIGH
r8OyQwtF1ng,1,4.400000095367432,9.399999618530272,4.99999952316284,"Thưa chị Hương Liên, một tuần mới lại chuẩn bị bắt đầu rồi và tôi cảm nhận ngày hôm nay thì nắng mạnh hơn và nóng hơn thì phải.","Thưa chị Hương Liên, một tuần mới lại chuẩn bị bắt đầu rồi và tôi cảm nhận ngày hôm nay thì nắng mạnh hơn và nóng hơn thì phải.","Thưa chị Hương Liên, một tuần mới lại chuẩn bị bắt đầu rồi và tôi cảm nhận ngày hôm nay thì nắng mạnh hơn và nóng hơn thì phải.",OK,HIGH
r8OyQwtF1ng,2,9.399999618530272,12.600000381469728,3.2000007629394567,Có phải đây là dấu hiệu cho một đợt nắng nóng mới ở phía trước hay không ạ?,Có phải đây là dấu hiệu cho một đợt nắng nóng mới ở phía trước hay không ạ?,Có phải đây là dấu hiệu cho một đợt nắng nóng mới ở phía trước hay không ạ?,OK,HIGH
r8OyQwtF1ng,3,12.600000381469728,17.799999237060547,5.1999988555908185,Vâng đúng như vậy anh Dương ạ. Một đợt nắng nóng mới đang nhen nhóm mà xuất hiện ở Bắc Bộ cũng như Trung Bộ.,Vâng đúng như vậy anh Dương ạ. Một đợt nắng nóng mới đang nhen nhóm mà xuất hiện ở Bắc Bộ cũng như Trung Bộ.,Vâng đúng như vậy anh Dương ạ. Một đợt nắng nóng mới đang nhen nhóm mà xuất hiện ở Bắc Bộ cũng như Trung Bộ.,OK,HIGH
r8OyQwtF1ng,4,17.799999237060547,21.0,3.200000762939453,Không chỉ từ đâu Hà Nội nóng lên đâu mà nhiều nơi khác cũng như vậy.,Không chỉ từ đâu Hà Nội nóng lên đâu mà nhiều nơi khác cũng như vậy.,Không chỉ từ đâu Hà Nội nóng lên đâu mà nhiều nơi khác cũng như vậy.,OK,HIGH
r8OyQwtF1ng,5,21.0,28.0,7.0,"Nhận độ thực tế đã tăng, cụ thể đầu giờ chiều nay đã tăng thêm từ 1 đến 4 độ so với cùng thời điểm ngày hôm qua.","Nhận độ thực tế đã tăng, cụ thể đầu giờ chiều nay đã tăng thêm từ 1 đến 4 độ so với cùng thời điểm ngày hôm qua.","Nhận độ thực tế đã tăng, cụ thể đầu giờ chiều nay đã tăng thêm từ 1 đến 4 độ so với cùng thời điểm ngày hôm qua.",OK,HIGH
r8OyQwtF1ng,6,28.0,34.0,6.0,Thậm chí nhiều nơi ở vùng núi Tây Bắc và Trung Bộ đều lên mức nắng nóng 35 đến 36 độ như thế này.,Thậm chí nhiều nơi ở vùng núi Tây Bắc và Trung Bộ đều lên mức nắng nóng 35 đến 36 độ như thế này.,Thậm chí nhiều nơi ở vùng núi Tây Bắc và Trung Bộ đều lên mức nắng nóng 35 đến 36 độ như thế này.,OK,HIGH
r8OyQwtF1ng,7,34.0,38.0,4.0,Sang ngày mai sẽ là ngày nắng nóng diện rộng đầu tiên của đợt này.,Sang ngày mai sẽ là ngày nắng nóng diện rộng đầu tiên của đợt này.,Sang ngày mai sẽ là ngày nắng nóng diện rộng đầu tiên của đợt này.,OK,HIGH
r8OyQwtF1ng,8,38.0,47.0,9.0,Dự báo vùng màu cam đỏ 35 đến 37 độ sẽ mở rộng ra bao phủ điệt biên Sơn La Hòa Bình và từ Thanh Hóa xuống đến Quảng Ngãi.,Dự báo vùng màu cam đỏ 35 đến 37 độ sẽ mở rộng ra bao phủ điệt biên Sơn La Hòa Bình và từ Thanh Hóa xuống đến Quảng Ngãi.,Dự báo vùng màu cam đỏ 35 đến 37 độ sẽ mở rộng ra bao phủ điệt biên Sơn La Hòa Bình và từ Thanh Hóa xuống đến Quảng Ngãi.,OK,HIGH
r8OyQwtF1ng,9,47.0,49.0,2.0,Vùng núi có nơi trên 37 độ.,Vùng núi có nơi trên 37 độ.,Vùng núi có nơi trên 37 độ.,OK,HIGH
r8OyQwtF1ng,10,49.0,57.0,8.0,"Từ ngày kia tức là thứ ba tuần sau, dự báo nắng nóng còn lan rộng ra khắp Bắc Bộ và từ Thanh Hóa xuống đến Quảng Ngãi.","Từ ngày kia tức là thứ ba tuần sau, dự báo nắng nóng còn lan rộng ra khắp Bắc Bộ và từ Thanh Hóa xuống đến Quảng Ngãi.","Từ ngày kia tức là thứ ba tuần sau, dự báo nắng nóng còn lan rộng ra khắp Bắc Bộ và từ Thanh Hóa xuống đến Quảng Ngãi.",OK,HIGH
r8OyQwtF1ng,11,57.0,64.0,7.0,Nhiệt độ cao nhất lên tới 35-38 độ và có nơi nắng nóng gai gắt với mức nhiệt trên 39 độ.,Nhiệt độ cao nhất lên tới 35-38 độ và có nơi nắng nóng gai gắt với mức nhiệt trên 39 độ.,Nhiệt độ cao nhất lên tới 35-38 độ và có nơi nắng nóng gai gắt với mức nhiệt trên 39 độ.,OK,HIGH
r8OyQwtF1ng,12,64.0,70.0,6.0,Cảm giác vừa nóng vừa khô rát khi độ ẩm giảm thấp chỉ còn 45-60% mà thôi.,Cảm giác vừa nóng vừa khô rát khi độ ẩm giảm thấp chỉ còn 45-60% mà thôi.,Cảm giác vừa nóng vừa khô rát khi độ ẩm giảm thấp chỉ còn 45-60% mà thôi.,OK,HIGH
r8OyQwtF1ng,13,70.0,74.0,4.0,"Đợt nắng nóng này còn kéo dài, nhận định là hết cả tuần sau.","Đợt nắng nóng này còn kéo dài, nhận định là hết cả tuần sau.","Đợt nắng nóng này còn kéo dài, nhận định là hết cả tuần sau.",OK,HIGH
r8OyQwtF1ng,14,74.0,81.0,7.0,Ở cả vùng đồng bằng như thủ đô Hà Nội và vùng núi Sơn La dự báo nhiệt độ cao nhất 7 ngày tới đều trên 35 độ.,Ở cả vùng đồng bằng như thủ đô Hà Nội và vùng núi Sơn La dự báo nhiệt độ cao nhất 7 ngày tới đều trên 35 độ.,Ở cả vùng đồng bằng như thủ đô Hà Nội và vùng núi Sơn La dự báo nhiệt độ cao nhất 7 ngày tới đều trên 35 độ.,OK,HIGH
r8OyQwtF1ng,15,81.0,87.0,6.0,"Và đặc biệt là Sơn La thì có tới 5 ngày, nhiệt độ ở mức rất cao là 38 độ.","Và đặc biệt là Sơn La thì có tới 5 ngày, nhiệt độ ở mức rất cao là 38 độ.","Và đặc biệt là Sơn La thì có tới 5 ngày, nhiệt độ ở mức rất cao là 38 độ.",OK,HIGH
r8OyQwtF1ng,16,87.0,91.0,4.0,Còn bây giờ sẽ là phần dự báo thời tiết cho một số thành phố khác trong 2 ngày tới.,Còn bây giờ sẽ là phần dự báo thời tiết cho một số thành phố khác trong 2 ngày tới.,Còn bây giờ sẽ là phần dự báo thời tiết cho một số thành phố khác trong 2 ngày tới.,OK,HIGH
