id,start,end,duration,text_len,text,video_id
0,0.0,12.0,12.0,227,"Thưa quý vị, sự cố sạt lở ở công trình Thủy điện Giao Trang 3, thuộc địa bàn huyện Phong Điền của tỉnh Thứ Thiên Huế đang thu hút sự chú ý, chia sẻ của cộng đồng, lo lắng cho tính mạng của những công nhân đang ở khu vực sạt lở.",rk1JTZim41g
1,12.0,17.0,5.0,104,"Do thời tiết diễn biến phức tạp, ngập lụt và sạt lở lớn làm cho công tác cứu hộ đang gặp nhiều khó khăn.",rk1JTZim41g
2,17.0,39.0,22.0,111,"Sát minh ban đầu ở thôn Hiền An Bến Cũi, xã Phong Xuân, có 3 người là công nhân và lái xe của công ty thành đạt",rk1JTZim41g
3,39.0,45.0,6.0,130,"thi công công trình Thủy điện Giao Trang 3 đã mất liên lạc từ ngày 9 tháng 10, trong đó có người con trai của ông Nguyễn Đình Đức.",rk1JTZim41g
4,46.0,54.0,8.0,78,"Từ hồi tuổi thứ 6 là có liên lạc, là bắt đầu đi, đến giờ là không có liên lạc.",rk1JTZim41g
5,55.0,64.0,9.0,146,"Từ tối qua đến chiều nay, các phương tiện và lực lượng cứu hộ của quân khu 4, Bộ Chỉ huy quân sự và Công an tỉnh Thứ Thiên Huế khẩn trương tập kết",rk1JTZim41g
6,64.0,71.0,7.0,139,"và tham gia tiếp cận địa điểm sạt lở trên tuyến đường dẫn vào khu vực Thủy điện Giao Trang 3, công tác cứu hộ đang được gấp rút triển khai.",rk1JTZim41g
7,76.0,84.0,8.0,129,"Chiều nay, Phó Thủ tướng Trịnh Đình Dũng, trường ban chỉ đạo Trung ương về phòng chống thiên tai đã có mặt tại tỉnh Thứ Thiên Huế",rk1JTZim41g
8,84.0,89.0,5.0,101,"để kiểm tra tình hình mưa lũ và công tác cứu hộ cứu nạn ở Thủy điện Giao Trang 3, chạm kiểm lâm số 7.",rk1JTZim41g
9,89.0,94.0,5.0,118,Chủ tịch UBND tỉnh Thứ Thiên Huế báo cáo hiện nay vẫn chưa liên lạc được với nhóm công nhân Thủy điện và nhóm ưng cứu.,rk1JTZim41g
10,94.0,99.0,5.0,102,Công tác cứu hộ cứu nạn gặp nhiều khó khăn do điều kiện thời tiết và khối lượng đất đá sạt lở rất lớn.,rk1JTZim41g
11,99.0,103.0,4.0,85,Bộ đội công binh đang dùng mọi phương tiện để mở đường vào khu vực nhà máy Thủy điện.,rk1JTZim41g
12,103.0,106.0,3.0,61,Hiện các lực lượng còn cách hiện trường vụ sạt lở khoảng 2km.,rk1JTZim41g
13,106.0,111.0,5.0,101,Tỉnh Thứ Thiên Huế kiến nghị Bộ Quốc phòng 2 máy bay trực thăng để ưng cứu trong trường hợp khẩn cấp.,rk1JTZim41g
14,111.0,114.0,3.0,72,"Phó Thủ tướng Trịnh Đình Dũng cho rằng tình hình trước mắt rất nguy cấp,",rk1JTZim41g
15,114.0,118.0,4.0,89,"cần phải huy động tối đa lực lượng, trang thiết bị để tổ chức ưng cứu một cách nhanh nhất",rk1JTZim41g
16,118.0,120.0,2.0,38,"các nạn nhân bị vùi lấp, mất liên lạc.",rk1JTZim41g
17,120.0,123.0,3.0,54,"Phó Thủ tướng trị đạo các lực lượng phải dốc toàn lực,",rk1JTZim41g
18,123.0,126.0,3.0,67,"huy động tối đa thiết bị, phương tiện để đẩy nhanh công tác cứu hộ.",rk1JTZim41g
19,126.0,129.0,3.0,76,"Trong quá trình cứu hộ, phải đảm bảo tuyệt đối an toàn cho lực lượng cứu hộ,",rk1JTZim41g
20,129.0,132.0,3.0,72,"đồng thời chuẩn bị lực lượng y tế để cấp cứu, hỗ trợ những người trở về.",rk1JTZim41g
21,136.0,139.0,3.0,73,"Tại tỉnh Quảng Nam, nước lũ đã bắt đầu rút xuống sau gần 2 ngày ngập sâu.",rk1JTZim41g
22,139.0,142.0,3.0,58,"Vùng Hạ Liêu, sông Thu Bồn, mực nước cũng đang xuống chậm.",rk1JTZim41g
23,142.0,144.0,2.0,46,"Còn tại TP Hội An, đêm qua tranh thủ nước rút,",rk1JTZim41g
24,144.0,147.0,3.0,70,người dân đã khẩn trương dọn dẹp để sớm trở lại nhịp sống bình thường.,rk1JTZim41g
25,149.0,154.0,5.0,83,"Theo ghi nhận tại nhiều tuyển đường ở khu phục cổ TP Hội An, nước đã rút trong đêm.",rk1JTZim41g
26,154.0,160.0,6.0,97,"Sau 2 ngày chìm trong nước, nhiều người dân đã tranh thủ lúc nước rút để dọn dẹp vệ sinh nhà cửa.",rk1JTZim41g
27,161.0,164.0,3.0,37,Chiều nay là 5 giờ kém là nước đã ra.,rk1JTZim41g
28,164.0,172.0,8.0,101,Chị là chủ của cửa hàng này cho nên chị ra phải tranh thủ dọn dẹp cho vệ sinh môi trường cho sạch sẽ.,rk1JTZim41g
29,172.0,177.0,5.0,78,"Theo người dân, mức lũ đợt này tương đương với mức nước lũ lượng vào năm 2013.",rk1JTZim41g
30,177.0,181.0,4.0,61,"Hầu hết khu phục cổ đều ngập sâu trong nước, có nơi đến 1,5m.",rk1JTZim41g
31,181.0,184.0,3.0,47,"Với phương châm, lũ ra đến đâu dọn dẹp đến đấy,",rk1JTZim41g
32,184.0,189.0,5.0,96,"như tuyển đường sau khi nước rút đã được động điên trở lại, sớm ổn định cuộc sống của người dân.",rk1JTZim41g
33,189.0,196.0,7.0,73,"Nước lũ thì mình chưa biết là ấp sắp việc đấy chuẩn bị vào con tiếp theo,",rk1JTZim41g
34,196.0,200.0,4.0,61,nhưng mà mình phải cố gắng hoạn chế thấp nhất những thời đại.,rk1JTZim41g
35,200.0,205.0,5.0,80,"Hiện nay, tại một số khu vực thấp trùng như xã Cầm Kim, phương Cầm Nam, Minh An,",rk1JTZim41g
36,205.0,208.0,3.0,48,"của thành phố Hội An, nước lũ vẫn còn ở mức cao.",rk1JTZim41g
37,208.0,212.0,4.0,79,Hiện nay thì mức nước lũ tại các địa phương của tỉnh Quảng Nam đang xuống châm.,rk1JTZim41g
38,212.0,216.0,4.0,61,"Do phía thương nguồn, các thủy điện vẫn đang tiễn hành xã lũ.",rk1JTZim41g
39,216.0,220.0,4.0,48,"Bên cạnh việc khắc phục những hậu quả do mưa lũ,",rk1JTZim41g
40,220.0,224.0,4.0,76,thì chính quyền các địa phương cũng đã đưa ra những phương án để phòng chống,rk1JTZim41g
41,224.0,226.0,2.0,44,nếu có những diễn biến thời tiết xấu xảy ra.,rk1JTZim41g
42,230.0,232.0,2.0,50,"Còn tại Đà Nẵng, mưa lũ kéo dài những ngày vừa qua",rk1JTZim41g
43,232.0,235.0,3.0,70,cũng khiến cho 12 trường học trên địa bàn huyện Hòa Vang bị ngập nặng.,rk1JTZim41g
44,235.0,239.0,4.0,79,"Hôm nay, khi nước lũ rút dần, các trường học trên địa bàn huyện cũng đã tổ chức",rk1JTZim41g
45,239.0,242.0,3.0,66,dọn dẹp vệ sinh trường lớp để nhanh chóng khắc phục hậu quả mưa lũ,rk1JTZim41g
46,242.0,244.0,2.0,37,nhằm sớm đón học sinh trở lại trường.,rk1JTZim41g
47,246.0,250.0,4.0,68,"Học số 2 Hỏa Tiến, huyện Hòa Vang là trường nằm ở vị trí thấp trũng.",rk1JTZim41g
48,250.0,253.0,3.0,54,Mưa lớn những ngày qua khiến trường bị ngập hơn 1 mét.,rk1JTZim41g
49,253.0,256.0,3.0,42,Các em học sinh đã phải nghỉ học dài ngày.,rk1JTZim41g
50,256.0,260.0,4.0,78,"Ngay sau khi nước rút, Ban giám hiệu nhà trường đã huy động toàn thể giáo viên",rk1JTZim41g
51,260.0,262.0,2.0,26,để dọn vệ sinh trường lớp.,rk1JTZim41g
52,262.0,265.0,3.0,40,Ngập trong trường khoảng gần 1 mét nước.,rk1JTZim41g
53,265.0,271.0,6.0,82,"Với tinh thần để học sinh sớm đến trường, nhà trường đã huy động toàn bộ giáo viên",rk1JTZim41g
54,271.0,275.0,4.0,80,và nhân viên của nhà trường phối hợp với sự tham gia của công an huyện Hòa Vang.,rk1JTZim41g
55,275.0,280.0,5.0,67,Ngày sáng hôm nay là làm vệ sinh ở khu vực để có thể trong ngày mai,rk1JTZim41g
56,280.0,283.0,3.0,35,để cả em có đủ điều kiện về trường.,rk1JTZim41g
57,283.0,287.0,4.0,59,"Theo Sở Giáo dục và Đào tạo TP Đà Nẵng, sau đợt mưa lũ này,",rk1JTZim41g
58,287.0,289.0,2.0,45,"toàn huyện Hòa Vang có 12 trường bị ngập lụt,",rk1JTZim41g
59,289.0,292.0,3.0,50,tuy nhiên không gây thiệt hại về người và tài sản.,rk1JTZim41g
60,292.0,296.0,4.0,59,"Sau khi lỗ rút, các khuôn viên trường học đều bị ảnh hưởng,",rk1JTZim41g
61,296.0,300.0,4.0,64,bún non dày đặc để đảm bảo vệ học tập sớm được diễn ra sớm nhất.,rk1JTZim41g
62,300.0,304.0,4.0,69,"Bên cạnh huy động, các giáo viên của trường còn có lực lượng công an,",rk1JTZim41g
63,304.0,306.0,2.0,30,tham gia công tác dọn vệ sinh.,rk1JTZim41g
64,306.0,311.0,5.0,74,"Tuy nhiên, do khu nược bùn đất quá nhiều, khiến việc dọn dẹp gặp khó khăn.",rk1JTZim41g
65,311.0,314.0,3.0,45,"Chúng tôi chủ động, hy động anh em đoàn viên,",rk1JTZim41g
66,314.0,318.0,4.0,58,"dùng sức trái của mình để giúp các trường dọn dẹp vệ sinh,",rk1JTZim41g
67,318.0,321.0,3.0,37,để cho các em mau chóng được đến lớp.,rk1JTZim41g
68,321.0,324.0,3.0,49,"Hiện có một số điểm trường mực nước vẫn chưa rút,",rk1JTZim41g
69,324.0,327.0,3.0,45,nên công tác vệ sinh vẫn chưa thể triển khai.,rk1JTZim41g
70,327.0,332.0,5.0,86,Học sinh sinh viên trên địa bàn TP Đà Nẵng đã đi học trở lại vào sáng nay 13 tháng 10.,rk1JTZim41g
71,332.0,339.0,7.0,95,Sở giáo dục TP Đà Nẵng yêu cầu học sinh vẫn tiếp tục nghỉ học cho đến khi có thông báo trở lại.,rk1JTZim41g
