video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
rvrftTo_g0g,0,0.0,8.0,8.0,"Thưa quý vị tiếp tục với thông tin về thời tiết. Anh Thanh Tùng ạ, ngày mai ngày đầu tuần rồi thời tiết ở trên cả nước có gì đáng chú ý không anh?","Thưa quý vị tiếp tục với thông tin về thời tiết. Anh Thanh Tùng ạ, ngày mai ngày đầu tuần rồi thời tiết ở trên cả nước có gì đáng chú ý không anh?","Thưa quý vị tiếp tục với thông tin về thời tiết. Anh Thanh Tùng ạ, ngày mai ngày đầu tuần rồi thời tiết ở trên cả nước có gì đáng chú ý không anh?",OK,HIGH
rvrftTo_g0g,1,8.0,15.0,7.0,Dạ vâng. Thưa anh quý anh và quý vị khán giả. Ngày mai ngày đầu tuần thì thời tiết đáng chú ý nhất phải kể đến đó là khu vực Trung Bộ sẽ có mưa.,Dạ vâng. Thưa anh quý anh và quý vị khán giả. Ngày mai ngày đầu tuần thì thời tiết đáng chú ý nhất phải kể đến đó là khu vực Trung Bộ sẽ có mưa.,Dạ vâng. Thưa anh quý anh và quý vị khán giả. Ngày mai ngày đầu tuần thì thời tiết đáng chú ý nhất phải kể đến đó là khu vực Trung Bộ sẽ có mưa.,OK,HIGH
rvrftTo_g0g,2,15.0,24.0,9.0,"Tuy nhiên là mưa ở đây thì không lớn. Vùng mưa ngày mai cụ thể sẽ là khu vực từ Thanh Hóa trở vào đến Khánh Hòa theo kiểu thời tiết đó là lúc mưa, lúc tạnh.","Tuy nhiên là mưa ở đây thì không lớn. Vùng mưa ngày mai cụ thể sẽ là khu vực từ Thanh Hóa trở vào đến Khánh Hòa theo kiểu thời tiết đó là lúc mưa, lúc tạnh.","Tuy nhiên là mưa ở đây thì không lớn. Vùng mưa ngày mai cụ thể sẽ là khu vực từ Thanh Hóa trở vào đến Khánh Hòa theo kiểu thời tiết đó là lúc mưa, lúc tạnh.",OK,HIGH
rvrftTo_g0g,3,24.0,31.0,7.0,Trong đó thì Thanh Hóa đến Thừa Thiên Huế gần khối khí lạnh hơn. Thế nên là nhiệt độ ở đây cao nhất cũng không vượt quá mức nhiệt 23 độ.,Trong đó thì Thanh Hóa đến Thừa Thiên Huế gần khối khí lạnh hơn. Thế nên là nhiệt độ ở đây cao nhất cũng không vượt quá mức nhiệt 23 độ.,Trong đó thì Thanh Hóa đến Thừa Thiên Huế gần khối khí lạnh hơn. Thế nên là nhiệt độ ở đây cao nhất cũng không vượt quá mức nhiệt 23 độ.,OK,HIGH
rvrftTo_g0g,4,31.0,39.0,8.0,Do có mưa nên là cảm giác khá dét. Còn từ Đà Nẵng đến Khánh Hòa thì nhiệt độ cao hơn. Ở khu vực này thì sẽ giao động là từ 24 đến 29 độ.,Do có mưa nên là cảm giác khá dét. Còn từ Đà Nẵng đến Khánh Hòa thì nhiệt độ cao hơn. Ở khu vực này thì sẽ giao động là từ 24 đến 29 độ.,Do có mưa nên là cảm giác khá dét. Còn từ Đà Nẵng đến Khánh Hòa thì nhiệt độ cao hơn. Ở khu vực này thì sẽ giao động là từ 24 đến 29 độ.,OK,HIGH
rvrftTo_g0g,5,39.0,47.0,8.0,Với miền Bắc thì ngày đầu tuần hầu như là không có mưa và trưa chiều còn có nắng. Vì thế cảm giác dét thì chủ yếu là xuất hiện về đêm và sáng sớm thôi.,Với miền Bắc thì ngày đầu tuần hầu như là không có mưa và trưa chiều còn có nắng. Vì thế cảm giác dét thì chủ yếu là xuất hiện về đêm và sáng sớm thôi.,Với miền Bắc thì ngày đầu tuần hầu như là không có mưa và trưa chiều còn có nắng. Vì thế cảm giác dét thì chủ yếu là xuất hiện về đêm và sáng sớm thôi.,OK,HIGH
rvrftTo_g0g,6,47.0,52.0,5.0,Khi nhiệt độ toàn miền hầu hết đều là dưới mức 17 độ. Còn trưa và chiều quý vị sẽ thấy lạnh.,Khi nhiệt độ toàn miền hầu hết đều là dưới mức 17 độ. Còn trưa và chiều quý vị sẽ thấy lạnh.,Khi nhiệt độ toàn miền hầu hết đều là dưới mức 17 độ. Còn trưa và chiều quý vị sẽ thấy lạnh.,OK,HIGH
rvrftTo_g0g,7,52.0,57.0,5.0,Nhiệt độ cao nhất ở thủ đô Hà Nội cũng như nhiều nơi khác giao động là từ 19 đến 23 độ.,Nhiệt độ cao nhất ở thủ đô Hà Nội cũng như nhiều nơi khác giao động là từ 19 đến 23 độ.,Nhiệt độ cao nhất ở thủ đô Hà Nội cũng như nhiều nơi khác giao động là từ 19 đến 23 độ.,OK,HIGH
rvrftTo_g0g,8,57.0,63.0,6.0,Với Nam Bộ thì đang trong những ngày thời tiết ổn định. Những nơi nhiệt độ cao nhất thì nằm ở miền Đông Nam Bộ,Với Nam Bộ thì đang trong những ngày thời tiết ổn định. Những nơi nhiệt độ cao nhất thì nằm ở miền Đông Nam Bộ,Với Nam Bộ thì đang trong những ngày thời tiết ổn định. Những nơi nhiệt độ cao nhất thì nằm ở miền Đông Nam Bộ,OK,HIGH
rvrftTo_g0g,9,63.0,69.0,6.0,"như là tại thành phố Hồ Chí Minh, Biên Hòa, Thủ Dông 1 hay là Tây Ninh với mức nhiệt là 32 đến 33 độ.","như là tại thành phố Hồ Chí Minh, Biên Hòa, Thủ Dông 1 hay là Tây Ninh với mức nhiệt là 32 đến 33 độ.","như là tại thành phố Hồ Chí Minh, Biên Hòa, Thủ Dông 1 hay là Tây Ninh với mức nhiệt là 32 đến 33 độ.",OK,HIGH
