id,start,end,duration,text_len,text,video_id
0,0.0,6.0,6.0,128,Sau đây biên tầm biên Hải Yến sẽ chuyển từ quý vị những thông tin mới nhất liên quan đến đợt không khí lạnh tràn xuống miền Bắc.,sYVrLJY0nLA
1,6.0,12.0,6.0,134,"Chị Hải Yến này ngày hôm nay tôi thấy là miền Bắc vẫn nóng, đôi khi cảm thấy oi nữa. Không biết là không khí lạnh đã đi đến đâu rồi ạ?",sYVrLJY0nLA
2,12.0,16.0,4.0,91,"Vâng, câu hỏi này chúng tôi cũng nhận được từ quý vị khán giả rất nhiều trong mấy ngày nay.",sYVrLJY0nLA
3,16.0,20.0,4.0,92,"Và hiện tại thì không khí lạnh đang di chuyển xuống rồi ạ, tuy nhiên với tốc độ khá là chậm.",sYVrLJY0nLA
4,20.0,24.0,4.0,97,Và cụ thể là nó đang nằm ở đâu thì ngay bây giờ tôi sẽ cập nhật đến anh Dương và quý vị khán giả.,sYVrLJY0nLA
5,24.0,28.0,4.0,94,"Thưa quý vị, trong chiều tối ngày hôm nay thì không khí lạnh tức là cái đường nét đất màu vàng",sYVrLJY0nLA
6,28.0,34.0,6.0,102,"mà quý vị đang nhìn thấy trên màn hình đây, nó còn cách biên giới nước ta khoảng là 250km về phía Bắc.",sYVrLJY0nLA
7,34.0,38.0,4.0,74,Và với tốc độ di chuyển như hiện nay thì khả năng là phải đến sáng sớm mai,sYVrLJY0nLA
8,38.0,41.0,3.0,61,thì nó mới bắt đầu tác động đến khu vực vùng núi của nước ta.,sYVrLJY0nLA
9,41.0,47.0,6.0,84,"Tác động ban đầu sẽ là gây mưa, dự báo là mưa sẽ xảy ra trên diện rộng tại miền Bắc.",sYVrLJY0nLA
10,47.0,51.0,4.0,83,"Trong đó thì vùng núi là những nơi sẽ cảnh báo xuất hiện những điểm mưa vừa mưa to,",sYVrLJY0nLA
11,51.0,56.0,5.0,60,thậm chí là có những nơi mưa rất to với lượng là trên 100mm.,sYVrLJY0nLA
12,56.0,61.0,5.0,88,"Mưa do không khí lạnh nên không duy trì lâu, đến khoảng chiều tối mai mưa sẽ giảm nhanh.",sYVrLJY0nLA
13,61.0,64.0,3.0,65,"Đến tối và đêm mai, khi đã nằm trọn trong khối không khí lạnh rồi",sYVrLJY0nLA
14,64.0,67.0,3.0,54,thì trời sẽ khô dần và chuyển sang trạng thái xe lạnh.,sYVrLJY0nLA
15,67.0,71.0,4.0,72,"Nhiệt độ chính vì thế sẽ giảm đáng kể và quý vị sẽ cảm thấy hơi xe lạnh,",sYVrLJY0nLA
16,71.0,73.0,2.0,27,nhất là về đêm và sáng sớm.,sYVrLJY0nLA
17,73.0,75.0,2.0,42,"Đơn cử như là tại thủ đô Hà Nội chẳng hạn,",sYVrLJY0nLA
18,75.0,78.0,3.0,40,"mức nhiệt trong đêm mai là khoảng 25 độ,",sYVrLJY0nLA
19,78.0,81.0,3.0,45,sau đó là 23 độ trong những ngày tiếp theo đó,sYVrLJY0nLA
20,81.0,85.0,4.0,66,"và dự kiến là đợt không khí lạnh này sẽ kéo dài đến cuối tuần sau,",sYVrLJY0nLA
21,85.0,87.0,2.0,24,tức là ngày 11 tháng 10.,sYVrLJY0nLA
22,87.0,91.0,4.0,81,Và cuối cùng sẽ là phần dự báo thời tiết cho các thành phố trong 2 ngày đầu tuần.,sYVrLJY0nLA
23,91.0,96.0,5.0,80,"Thủ đô Hà Nội ngày mai trời có mưa rông bất chợt, nhiệt độ không vượt quá 29 độ.",sYVrLJY0nLA
24,96.0,98.0,2.0,38,Từ tối và đêm mai trời chuyển xe lạnh.,sYVrLJY0nLA
25,98.0,100.0,2.0,34,"Ngày thứ ba nền nhiệt sẽ hạn thấp,",sYVrLJY0nLA
26,100.0,104.0,4.0,57,"giữa trưa chỉ còn khoảng 27 độ, khá là mát mẻ và dễ chịu.",sYVrLJY0nLA
27,104.0,108.0,4.0,66,"Cả Nẵng 2 ngày đầu tuần vẫn nắng ráo, nhiệt độ giữ ở mức vừa phải,",sYVrLJY0nLA
28,108.0,111.0,3.0,51,"giữa trưa có nắng nên mức nhiệt khoảng là 30-31 độ,",sYVrLJY0nLA
29,111.0,114.0,3.0,49,buổi tối và đêm mát mẻ mức nhiệt thấp nhất 23 độ.,sYVrLJY0nLA
30,114.0,117.0,3.0,57,"Thành phố Hồ Chí Minh nắng chủ yếu vào buổi sáng và trưa,",sYVrLJY0nLA
31,117.0,120.0,3.0,30,"nhiệt độ cao nhất là 32-33 độ,",sYVrLJY0nLA
32,120.0,124.0,4.0,67,"còn buổi chiều và tối ngày thứ 2 và ngày thứ 3 đều đặn có mưa rông,",sYVrLJY0nLA
33,124.0,126.0,2.0,23,dễ kèm theo cả sớm xét.,sYVrLJY0nLA
34,134.0,137.0,3.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,sYVrLJY0nLA
