video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
tK8xFopLhUM,0,0.0,7.0,7.0,Báo số 13 đang thú sự quan tâm của dư luận bởi theo dự báo thì nó sẽ lại đổ bộ vào khu vực miền Trung,Báo số 13 đang thú sự quan tâm của dư luận bởi theo dự báo thì nó sẽ lại đổ bộ vào khu vực miền Trung,Báo số 13 đang thú sự quan tâm của dư luận bởi theo dự báo thì nó sẽ lại đổ bộ vào khu vực miền Trung,OK,HIGH
tK8xFopLhUM,1,7.0,12.0,5.0,nơi đã hứng chịu rất là nhiều thiên tai thảm khốc và hậu quả rất nặng nề chỉ trong thời gian ngắn vừa qua.,nơi đã hứng chịu rất là nhiều thiên tai thảm khốc và hậu quả rất nặng nề chỉ trong thời gian ngắn vừa qua.,nơi đã hứng chịu rất là nhiều thiên tai thảm khốc và hậu quả rất nặng nề chỉ trong thời gian ngắn vừa qua.,OK,HIGH
tK8xFopLhUM,2,12.0,16.0,4.0,Phóng viên Xuân Anh và lúc này đang có mặt tại trung tâm dự báo khí tượng thủy văn quốc gia,Phóng viên Xuân Anh và lúc này đang có mặt tại trung tâm dự báo khí tượng thủy văn quốc gia,Phóng viên Xuân Anh và lúc này đang có mặt tại trung tâm dự báo khí tượng thủy văn quốc gia,OK,HIGH
tK8xFopLhUM,3,16.0,22.0,6.0,sẽ thông tin tới quý vị những thông tin mới nhất về tác động của báo ở trên biển cũng như trên một số xã đảo.,sẽ thông tin tới quý vị những thông tin mới nhất về tác động của báo ở trên biển cũng như trên một số xã đảo.,sẽ thông tin tới quý vị những thông tin mới nhất về tác động của báo ở trên biển cũng như trên một số xã đảo.,OK,HIGH
tK8xFopLhUM,4,22.0,23.0,1.0,Xin mời chị!,Xin mời chị!,Xin mời chị!,OK,HIGH
tK8xFopLhUM,5,28.0,32.0,4.0,"Vâng thưa quý vị và các bạn, theo như thông tin mà tôi vừa mới cập nhật được cách đây ít phút","Vâng thưa quý vị và các bạn, theo như thông tin mà tôi vừa mới cập nhật được cách đây ít phút","Vâng thưa quý vị và các bạn, theo như thông tin mà tôi vừa mới cập nhật được cách đây ít phút",OK,HIGH
tK8xFopLhUM,6,32.0,36.0,4.0,"thì báo số 13 đang có cường độ là khoảng cấp 12, giật cấp 15","thì báo số 13 đang có cường độ là khoảng cấp 12, giật cấp 15","thì báo số 13 đang có cường độ là khoảng cấp 12, giật cấp 15",OK,HIGH
tK8xFopLhUM,7,36.0,40.0,4.0,và nó đang ở ngay trên vùng biển các tỉnh thành từ Quảng Trị đến Quảng Ngãi.,và nó đang ở ngay trên vùng biển các tỉnh thành từ Quảng Trị đến Quảng Ngãi.,và nó đang ở ngay trên vùng biển các tỉnh thành từ Quảng Trị đến Quảng Ngãi.,OK,HIGH
tK8xFopLhUM,8,40.0,45.0,5.0,Do là đây là một cơn bão mạnh và nó đã liên tục gây ra gió mạnh cho nhiều đảo cũng như là vùng ven biển của miền Trung.,Do là đây là một cơn bão mạnh và nó đã liên tục gây ra gió mạnh cho nhiều đảo cũng như là vùng ven biển của miền Trung.,Do là đây là một cơn bão mạnh và nó đã liên tục gây ra gió mạnh cho nhiều đảo cũng như là vùng ven biển của miền Trung.,OK,HIGH
tK8xFopLhUM,9,45.0,49.0,4.0,Và để cập nhật thêm những thông tin chi tiết hơn thì chúng ta hãy cùng trao đổi với ông Trần Quang Năng,Và để cập nhật thêm những thông tin chi tiết hơn thì chúng ta hãy cùng trao đổi với ông Trần Quang Năng,Và để cập nhật thêm những thông tin chi tiết hơn thì chúng ta hãy cùng trao đổi với ông Trần Quang Năng,OK,HIGH
tK8xFopLhUM,10,49.0,52.0,3.0,trưởng phòng dự báo thời tiết của Trung tâm dự báo khí tượng Thủy văn quốc gia.,trưởng phòng dự báo thời tiết của Trung tâm dự báo khí tượng Thủy văn quốc gia.,trưởng phòng dự báo thời tiết của Trung tâm dự báo khí tượng Thủy văn quốc gia.,OK,HIGH
tK8xFopLhUM,11,52.0,53.0,1.0,Xin chào ông!,Xin chào ông!,Xin chào ông!,OK,HIGH
tK8xFopLhUM,12,53.0,58.0,5.0,Cập nhật đến thời điểm hiện tại thì sức gió ghi nhận được tại các địa phương là như thế nào rồi,Cập nhật đến thời điểm hiện tại thì sức gió ghi nhận được tại các địa phương là như thế nào rồi,Cập nhật đến thời điểm hiện tại thì sức gió ghi nhận được tại các địa phương là như thế nào rồi,OK,HIGH
tK8xFopLhUM,13,58.0,61.0,3.0,và liệu rằng là chúng ta đã qua cái giai đoạn mà gió bão mạnh nhất hay chưa?,và liệu rằng là chúng ta đã qua cái giai đoạn mà gió bão mạnh nhất hay chưa?,và liệu rằng là chúng ta đã qua cái giai đoạn mà gió bão mạnh nhất hay chưa?,OK,HIGH
tK8xFopLhUM,14,61.0,66.0,5.0,Có thể thấy rằng ngay tại lúc này thì chúng tôi đánh giá cường độ bão số 13 đã giảm cấp,Có thể thấy rằng ngay tại lúc này thì chúng tôi đánh giá cường độ bão số 13 đã giảm cấp,Có thể thấy rằng ngay tại lúc này thì chúng tôi đánh giá cường độ bão số 13 đã giảm cấp,OK,HIGH
tK8xFopLhUM,15,66.0,69.0,3.0,và so với buổi sáng thì chúng tôi đánh giá giảm khoảng 2 cấp.,và so với buổi sáng thì chúng tôi đánh giá giảm khoảng 2 cấp.,và so với buổi sáng thì chúng tôi đánh giá giảm khoảng 2 cấp.,OK,HIGH
tK8xFopLhUM,16,69.0,71.0,2.0,Hiện này là cấp 12 và giật cấp 15.,Hiện này là cấp 12 và giật cấp 15.,Hiện này là cấp 12 và giật cấp 15.,OK,HIGH
tK8xFopLhUM,17,71.0,75.0,4.0,Và trên các trạm quan chắc ven bờ của chúng tôi thì cũng đã xác định được,Và trên các trạm quan chắc ven bờ của chúng tôi thì cũng đã xác định được,Và trên các trạm quan chắc ven bờ của chúng tôi thì cũng đã xác định được,OK,HIGH
