id,start,end,duration,text_len,text,video_id
0,0.0,11.0,11.0,227,"Còn bây giờ sẽ là những thông tin dự báo thời tiết, Chị Xuân Anh, tỉnh Quảng Nam và tỉnh Quảng Ngãi, mưa lũ đã nhấn chìm nhiều khu vực, không biết là đêm nay hoặc ngày mai ở những địa phương này có diện biến mưa lũ như thế nào?",ucmxrP4JpJY
1,11.0,20.0,9.0,171,"Vâng, phải nói là chúng ta rất chia sẻ với sự vất vả của bà con ở khu vực miền Trung, nhất là ở vùng dồn lũ Quảng Nam, Quảng Ngãi, vì những ngày này liên tục phải chạy lũ.",ucmxrP4JpJY
2,20.0,31.0,11.0,171,"Tuy nhiên, dự báo tiếp theo mưa ngập vẫn có thể lại còn tiếp tục xảy ra, nhất là trong đêm nay ngày mai, vì ở khu vực này lũ vẫn còn duy trì ở mức cao, mưa vẫn còn rất to.",ucmxrP4JpJY
3,31.0,43.0,12.0,149,"Dự báo lượng mưa tại Quảng Nam, Quảng Ngãi, Bình Định hay là Phú Yên trong đêm nay và ngày mai sẽ lên tới mức 100-150mm, có những nơi còn vượt 180mm.",ucmxrP4JpJY
4,43.0,52.0,9.0,106,"Tại Quảng Trị, Thứa Thiên Huế, Đà Nẵng, Con Tum và Gia Lai thì lượng mưa là từ 50-80mm, có nơi trên 100mm.",ucmxrP4JpJY
5,52.0,58.0,6.0,101,"Nước lũ trên các sông ở khu vực Quảng Nam, Quảng Ngãi, Bình Định sẽ còn tiếp tục giao động ở mức cao.",ucmxrP4JpJY
6,58.0,68.0,10.0,141,"Đến 1 giờ sáng mai thì mực nước trên các sông Thu Bồn, Trà Khúc và Sông Côn sẽ lên từ mức báo động 2 cho tới trên mức báo động 2 khoảng 25cm.",ucmxrP4JpJY
7,68.0,72.0,4.0,62,Bởi vậy mà tình trạng ngập luộc sẽ còn tiếp diễn ở 3 tỉnh này.,ucmxrP4JpJY
8,72.0,78.0,6.0,88,Ngoài ra do mưa lớn hàng loạt thì những trận sạt lở đất cũng đã xảy ra trong 2 ngày qua.,ucmxrP4JpJY
9,78.0,83.0,5.0,80,Nguy cơ sạt lở ở vùng núi từ Thứa Thiên Huế đến Bình Định vẫn còn ở mức rất cao.,ucmxrP4JpJY
10,83.0,97.0,14.0,182,"Đặc biệt là tại các huyện Thăng Bình, Núi Thành, Phú Ninh, Quế Sơn, Nông Sơn, Hiệp Đức, Phước Sơn, Nam Giang, Đông Giang, Tây Giang, Tiên Phước, Nam Trà My, Bắc Trà My của Quảng Nam.",ucmxrP4JpJY
11,97.0,107.0,10.0,118,"Và tại các huyện Bình Sơn, Sơn Tịnh, Nghĩa Hành, Tư Nghĩa, Minh Long, Trà Bồng, Sơn Tây, Sơn Hà, Ba Tơ của Quảng Ngãi.",ucmxrP4JpJY
12,107.0,114.0,7.0,128,"Mưa lũ và sạt lở vẫn còn đang căng thẳng, chưa kết thúc thì lại xuất hiện thêm hình thế có thể gây mưa lớn tiếp theo ở Trung Bộ.",ucmxrP4JpJY
13,114.0,119.0,5.0,72,Đó là áp thấp nhiệt đới vừa mạnh lên từ một vùng áp thấp trên Biển Đông.,ucmxrP4JpJY
14,119.0,125.0,6.0,96,Với hướng di chuyển hướng thẳng về khu vực đất liền Bình Định đến Bình Thuận trong 1-2 ngày tới.,ucmxrP4JpJY
15,125.0,131.0,6.0,92,"Bởi vậy, rất có thể là miền Trung sẽ lại tiếp tục phải hứng chịu mưa chồng mưa, lũ chồng lũ.",ucmxrP4JpJY
16,131.0,135.0,4.0,57,Bà con cần phải chú ý để theo dõi những gì nếp tiếp theo.,ucmxrP4JpJY
17,135.0,140.0,5.0,101,Còn cuối cùng thì sẽ là phần dự báo chi tiết cho một số thành phố trên cả nước trong 2 ngày đầu tuần.,ucmxrP4JpJY
18,140.0,145.0,5.0,83,"Tại thủ đô Hà Nội vào 2 ngày tới, trời lạnh với đêm và sáng đến mức nhiệt 19-20 độ.",ucmxrP4JpJY
19,145.0,150.0,5.0,61,"Ban ngày sẽ còn nắng ấm, nhiệt độ tăng lên cao nhất 27-28 độ.",ucmxrP4JpJY
20,151.0,159.0,8.0,126,"Quế ngày mai vẫn còn mưa lớn. Từ thứ Ba, cường độ mưa sẽ giảm dần, trời lạnh với nhiệt độ cao nhất trong ngày không quá 25 độ.",ucmxrP4JpJY
21,161.0,167.0,6.0,95,"Đà Lạt 2 ngày tới có mưa rông về chiều tối. Ban ngày nắng mây đan xen, nhiệt độ cao nhất 23 độ.",ucmxrP4JpJY
