video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
vGwrS3j4p0U,0,0.0,4.0,4.0,Lúc này thì chúng ta sẽ gặp gỡ trở lại biên tập viên Quỳnh Hoa.,Lúc này thì chúng ta sẽ gặp gỡ trở lại biên tập viên Quỳnh Hoa.,Lúc này thì chúng ta sẽ gặp gỡ trở lại biên tập viên Quỳnh Hoa.,OK,HIGH
vGwrS3j4p0U,1,4.0,11.0,7.0,Chị đã rời nhà thờ lớn để đến với một con phố khác của Hà Nội và chuyển tới chúng ta những thông tin về thời tiết đêm Giáng sinh.,Chị đã rời nhà thờ lớn để đến với một con phố khác của Hà Nội và chuyển tới chúng ta những thông tin về thời tiết đêm Giáng sinh.,Chị đã rời nhà thờ lớn để đến với một con phố khác của Hà Nội và chuyển tới chúng ta những thông tin về thời tiết đêm Giáng sinh.,OK,HIGH
vGwrS3j4p0U,2,11.0,18.0,7.0,"Thưa chị Quỳnh Hoa, không biết rằng là tối đêm nay thì thời tiết đêm Giáng sinh sẽ như thế nào? Có chiều lòng người để tham gia những hoạt động ngoài trời không ạ?","Thưa chị Quỳnh Hoa, không biết rằng là tối đêm nay thì thời tiết đêm Giáng sinh sẽ như thế nào? Có chiều lòng người để tham gia những hoạt động ngoài trời không ạ?","Thưa chị Quỳnh Hoa, không biết rằng là tối đêm nay thì thời tiết đêm Giáng sinh sẽ như thế nào? Có chiều lòng người để tham gia những hoạt động ngoài trời không ạ?",OK,HIGH
vGwrS3j4p0U,3,18.0,28.0,10.0,"Vâng, nếu mà anh Hoàng Dương hay là bất cứ khán giả nào ở thủ đô Hà Nội có dự định đi chơi vào buổi tối ngày hôm nay","Vâng, nếu mà anh Hoàng Dương hay là bất cứ khán giả nào ở thủ đô Hà Nội có dự định đi chơi vào buổi tối ngày hôm nay","Vâng, nếu mà anh Hoàng Dương hay là bất cứ khán giả nào ở thủ đô Hà Nội có dự định đi chơi vào buổi tối ngày hôm nay",OK,HIGH
vGwrS3j4p0U,4,28.0,33.0,5.0,thì chúng ta có thể hoàn toàn yên tâm về thời tiết vì dự báo là thời tiết sẽ khá chiều lòng mọi người.,thì chúng ta có thể hoàn toàn yên tâm về thời tiết vì dự báo là thời tiết sẽ khá chiều lòng mọi người.,thì chúng ta có thể hoàn toàn yên tâm về thời tiết vì dự báo là thời tiết sẽ khá chiều lòng mọi người.,OK,HIGH
vGwrS3j4p0U,5,33.0,38.0,5.0,Từ bây giờ cho đến khoảng đêm nay thì sẽ đều là tiết trời tạnh giáo.,Từ bây giờ cho đến khoảng đêm nay thì sẽ đều là tiết trời tạnh giáo.,Từ bây giờ cho đến khoảng đêm nay thì sẽ đều là tiết trời tạnh giáo.,OK,HIGH
vGwrS3j4p0U,6,38.0,43.0,5.0,Còn về nhiệt độ thì lúc này cho đến khoảng 20 giờ nhiệt độ sẽ vẫn giữ ở mức là 20 độ.,Còn về nhiệt độ thì lúc này cho đến khoảng 20 giờ nhiệt độ sẽ vẫn giữ ở mức là 20 độ.,Còn về nhiệt độ thì lúc này cho đến khoảng 20 giờ nhiệt độ sẽ vẫn giữ ở mức là 20 độ.,OK,HIGH
vGwrS3j4p0U,7,43.0,48.0,5.0,Đến 22 giờ thì nhiệt độ tại thủ đô Hà Nội sẽ giảm nhẹ một chút xuống còn là 19 độ.,Đến 22 giờ thì nhiệt độ tại thủ đô Hà Nội sẽ giảm nhẹ một chút xuống còn là 19 độ.,Đến 22 giờ thì nhiệt độ tại thủ đô Hà Nội sẽ giảm nhẹ một chút xuống còn là 19 độ.,OK,HIGH
vGwrS3j4p0U,8,48.0,53.0,5.0,Vào khoảng 0 giờ đêm thì nhiệt độ sẽ giảm thêm xuống còn là 18 độ.,Vào khoảng 0 giờ đêm thì nhiệt độ sẽ giảm thêm xuống còn là 18 độ.,Vào khoảng 0 giờ đêm thì nhiệt độ sẽ giảm thêm xuống còn là 18 độ.,OK,HIGH
vGwrS3j4p0U,9,53.0,58.0,5.0,Trời sẽ chỉ rét nhẹ thôi. Cảm giác thì sẽ thấy lạnh hơn so với thời điểm này một chút.,Trời sẽ chỉ rét nhẹ thôi. Cảm giác thì sẽ thấy lạnh hơn so với thời điểm này một chút.,Trời sẽ chỉ rét nhẹ thôi. Cảm giác thì sẽ thấy lạnh hơn so với thời điểm này một chút.,OK,HIGH
vGwrS3j4p0U,10,58.0,62.0,4.0,Và chỉ cần một chiếc áo khoác nhẹ thôi là đủ để quý vị xuống phố đi chơi rồi.,Và chỉ cần một chiếc áo khoác nhẹ thôi là đủ để quý vị xuống phố đi chơi rồi.,Và chỉ cần một chiếc áo khoác nhẹ thôi là đủ để quý vị xuống phố đi chơi rồi.,OK,HIGH
vGwrS3j4p0U,11,62.0,69.0,7.0,Và nếu quý vị nào mà có dự định là cho các bạn nhỏ đi chơi vào buổi tối ngày hôm nay thì cũng không cần phải lo ngại về thời tiết.,Và nếu quý vị nào mà có dự định là cho các bạn nhỏ đi chơi vào buổi tối ngày hôm nay thì cũng không cần phải lo ngại về thời tiết.,Và nếu quý vị nào mà có dự định là cho các bạn nhỏ đi chơi vào buổi tối ngày hôm nay thì cũng không cần phải lo ngại về thời tiết.,OK,HIGH
vGwrS3j4p0U,12,69.0,74.0,5.0,Nhìn chung thì Giáng sinh năm nay có thời tiết đẹp nhất so với 5 năm trở lại đây.,Nhìn chung thì Giáng sinh năm nay có thời tiết đẹp nhất so với 5 năm trở lại đây.,Nhìn chung thì Giáng sinh năm nay có thời tiết đẹp nhất so với 5 năm trở lại đây.,OK,HIGH
vGwrS3j4p0U,13,74.0,80.0,6.0,Trời rét vừa phải lại tạnh giáo khác hẳn với cái rét bốt của Giáng sinh năm 2017.,Trời rét vừa phải lại tạnh giáo khác hẳn với cái rét bốt của Giáng sinh năm 2017.,Trời rét vừa phải lại tạnh giáo khác hẳn với cái rét bốt của Giáng sinh năm 2017.,OK,HIGH
vGwrS3j4p0U,14,80.0,85.0,5.0,Khi đó nhiệt độ chỉ khoảng là 14 độ thôi. Còn các năm còn lại thì trời đều ấm hơn hẳn.,Khi đó nhiệt độ chỉ khoảng là 14 độ thôi. Còn các năm còn lại thì trời đều ấm hơn hẳn.,Khi đó nhiệt độ chỉ khoảng là 14 độ thôi. Còn các năm còn lại thì trời đều ấm hơn hẳn.,OK,HIGH
vGwrS3j4p0U,15,85.0,88.0,3.0,Nhiệt độ là từ 20 độ trở lên.,Nhiệt độ là từ 20 độ trở lên.,Nhiệt độ là từ 20 độ trở lên.,OK,HIGH
vGwrS3j4p0U,16,88.0,92.0,4.0,Và hy vọng rằng là với những thông tin thời tiết rất là tích cực với một cái thời tiết đẹp như thế này,Và hy vọng rằng là với những thông tin thời tiết rất là tích cực với một cái thời tiết đẹp như thế này,Và hy vọng rằng là với những thông tin thời tiết rất là tích cực với một cái thời tiết đẹp như thế này,OK,HIGH
vGwrS3j4p0U,17,92.0,98.0,6.0,thì quý vị ở thủ đô Hà Nội cũng như là cả khu vực miền Bắc nữa chúng ta sẽ có một mùa Giáng sinh thật là an lành.,thì quý vị ở thủ đô Hà Nội cũng như là cả khu vực miền Bắc nữa chúng ta sẽ có một mùa Giáng sinh thật là an lành.,thì quý vị ở thủ đô Hà Nội cũng như là cả khu vực miền Bắc nữa chúng ta sẽ có một mùa Giáng sinh thật là an lành.,OK,HIGH
vGwrS3j4p0U,18,98.0,101.0,3.0,Còn bây giờ xin mời trở lại trường quay với anh Hoàng Dương.,Còn bây giờ xin mời trở lại trường quay với anh Hoàng Dương.,Còn bây giờ xin mời trở lại trường quay với anh Hoàng Dương.,OK,HIGH
vGwrS3j4p0U,19,101.0,106.0,5.0,Xin được cảm ơn chị Quỳnh Hoa. Tôi tin rằng những khán giả của Việt Nam hôm nay đang chuẩn bị mọi kế hoạch,Xin được cảm ơn chị Quỳnh Hoa. Tôi tin rằng những khán giả của Việt Nam hôm nay đang chuẩn bị mọi kế hoạch,Xin được cảm ơn chị Quỳnh Hoa. Tôi tin rằng những khán giả của Việt Nam hôm nay đang chuẩn bị mọi kế hoạch,OK,HIGH
vGwrS3j4p0U,20,106.0,110.0,4.0,để ra đường đón một đêm Giáng sinh. Thật là vui với tất cả mọi người rồi.,để ra đường đón một đêm Giáng sinh. Thật là vui với tất cả mọi người rồi.,để ra đường đón một đêm Giáng sinh. Thật là vui với tất cả mọi người rồi.,OK,HIGH
vGwrS3j4p0U,21,110.0,113.0,3.0,"Thưa quý vị, đó là những diễn biến thời tiết tại Hà Nội.","Thưa quý vị, đó là những diễn biến thời tiết tại Hà Nội.","Thưa quý vị, đó là những diễn biến thời tiết tại Hà Nội.",OK,HIGH
vGwrS3j4p0U,22,113.0,116.0,3.0,Còn các vùng miền khác thì có thuận lợi cho đêm Giáng sinh tối nay hay không?,Còn các vùng miền khác thì có thuận lợi cho đêm Giáng sinh tối nay hay không?,Còn các vùng miền khác thì có thuận lợi cho đêm Giáng sinh tối nay hay không?,OK,HIGH
vGwrS3j4p0U,23,116.0,120.0,4.0,Chúng ta sẽ cùng nhau đến với phần dự báo thời tiết cho cả nước.,Chúng ta sẽ cùng nhau đến với phần dự báo thời tiết cho cả nước.,Chúng ta sẽ cùng nhau đến với phần dự báo thời tiết cho cả nước.,OK,HIGH
vGwrS3j4p0U,24,122.0,126.0,4.0,"Ở miền Trung, khu vực từ Quảng Bình đến Khánh Hòa tối vừa đêm nay có mưa rào nhẹ.","Ở miền Trung, khu vực từ Quảng Bình đến Khánh Hòa tối vừa đêm nay có mưa rào nhẹ.","Ở miền Trung, khu vực từ Quảng Bình đến Khánh Hòa tối vừa đêm nay có mưa rào nhẹ.",OK,HIGH
