video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
vcXXPd3uSy8,0,0.0,4.0,4.0,Siêu bão Rai quét qua Philippines đã gây thiệt hại nặng nề.,Siêu bão Rai quét qua Philippines đã gây thiệt hại nặng nề.,Siêu bão Rai quét qua Philippines đã gây thiệt hại nặng nề.,OK,HIGH
vcXXPd3uSy8,1,4.0,7.0,3.0,Hơn 98.000 người đã phải sơ tán khẩn cấp.,Hơn 98.000 người đã phải sơ tán khẩn cấp.,Hơn 98.000 người đã phải sơ tán khẩn cấp.,OK,HIGH
vcXXPd3uSy8,2,7.0,9.0,2.0,Lũ lụt sạt lở xảy ra tại nhiều nơi.,Lũ lụt sạt lở xảy ra tại nhiều nơi.,Lũ lụt sạt lở xảy ra tại nhiều nơi.,OK,HIGH
vcXXPd3uSy8,3,9.0,11.0,2.0,Nhiều chuyến bay cũng đã bị hủy hoãn.,Nhiều chuyến bay cũng đã bị hủy hoãn.,Nhiều chuyến bay cũng đã bị hủy hoãn.,OK,HIGH
vcXXPd3uSy8,4,11.0,13.0,2.0,Hàng chục bến cảng tạm thời phải đóng cửa.,Hàng chục bến cảng tạm thời phải đóng cửa.,Hàng chục bến cảng tạm thời phải đóng cửa.,OK,HIGH
vcXXPd3uSy8,5,13.0,15.0,2.0,Và ít nhất đã có một người thiệt mạng.,Và ít nhất đã có một người thiệt mạng.,Và ít nhất đã có một người thiệt mạng.,OK,HIGH
vcXXPd3uSy8,6,15.0,19.0,4.0,Sau Philippines thì Việt Nam là nơi tiếp theo mà bão sẽ ảnh hưởng.,Sau Philippines thì Việt Nam là nơi tiếp theo mà bão sẽ ảnh hưởng.,Sau Philippines thì Việt Nam là nơi tiếp theo mà bão sẽ ảnh hưởng.,OK,HIGH
vcXXPd3uSy8,7,19.0,22.0,3.0,Không biết là chúng ta sẽ tịu những tác động nào đến từ cơn bão này.,Không biết là chúng ta sẽ tịu những tác động nào đến từ cơn bão này.,Không biết là chúng ta sẽ tịu những tác động nào đến từ cơn bão này.,OK,HIGH
vcXXPd3uSy8,8,22.0,25.0,3.0,Sau đây là những thông tin cập nhật đến từ biên tập viên thời tiết Hương Liên.,Sau đây là những thông tin cập nhật đến từ biên tập viên thời tiết Hương Liên.,Sau đây là những thông tin cập nhật đến từ biên tập viên thời tiết Hương Liên.,OK,HIGH
vcXXPd3uSy8,9,25.0,26.0,1.0,Xin mời chị Hương Liên.,Xin mời chị Hương Liên.,Xin mời chị Hương Liên.,OK,HIGH
vcXXPd3uSy8,10,27.0,29.0,2.0,Vâng anh Dương và thưa quý vị khán giả thân mến.,Vâng anh Dương và thưa quý vị khán giả thân mến.,Vâng anh Dương và thưa quý vị khán giả thân mến.,OK,HIGH
vcXXPd3uSy8,11,29.0,33.0,4.0,Trước khi nói về tác động thì hãy cùng tôi cập nhật diễn biến mới nhất của bão.,Trước khi nói về tác động thì hãy cùng tôi cập nhật diễn biến mới nhất của bão.,Trước khi nói về tác động thì hãy cùng tôi cập nhật diễn biến mới nhất của bão.,OK,HIGH
vcXXPd3uSy8,12,33.0,35.0,2.0,"Theo Trung tâm Dự báo Khí tượng Thủy văn Quốc gia,","Theo Trung tâm Dự báo Khí tượng Thủy văn Quốc gia,","Theo Trung tâm Dự báo Khí tượng Thủy văn Quốc gia,",OK,HIGH
vcXXPd3uSy8,13,35.0,39.0,4.0,"chiều nay tâm bão Rai đã vượt qua đảo Palawan của Philippines,","chiều nay tâm bão Rai đã vượt qua đảo Palawan của Philippines,","chiều nay tâm bão Rai đã vượt qua đảo Palawan của Philippines,",OK,HIGH
vcXXPd3uSy8,14,39.0,42.0,3.0,chính thức đi vào Biển Đông trở thành cơn bão số 9.,chính thức đi vào Biển Đông trở thành cơn bão số 9.,chính thức đi vào Biển Đông trở thành cơn bão số 9.,OK,HIGH
vcXXPd3uSy8,15,42.0,46.0,4.0,"Cường độ đang ở cấp 14, giật cấp 17, vẫn là cấp bão khá mạnh.","Cường độ đang ở cấp 14, giật cấp 17, vẫn là cấp bão khá mạnh.","Cường độ đang ở cấp 14, giật cấp 17, vẫn là cấp bão khá mạnh.",OK,HIGH
vcXXPd3uSy8,16,46.0,50.0,4.0,Bão sẽ duy trì cường độ này và đi qua phía bắc của huyện đảo Trường Sa.,Bão sẽ duy trì cường độ này và đi qua phía bắc của huyện đảo Trường Sa.,Bão sẽ duy trì cường độ này và đi qua phía bắc của huyện đảo Trường Sa.,OK,HIGH
vcXXPd3uSy8,17,50.0,54.0,4.0,"Đến ngày 19 tháng 12, tâm bão sẽ nằm trên vùng biển Hoài Khơi,","Đến ngày 19 tháng 12, tâm bão sẽ nằm trên vùng biển Hoài Khơi,","Đến ngày 19 tháng 12, tâm bão sẽ nằm trên vùng biển Hoài Khơi,",OK,HIGH
vcXXPd3uSy8,18,54.0,57.0,3.0,"bình định đến Khánh Hòa, cường độ vẫn mạnh cấp 12.","bình định đến Khánh Hòa, cường độ vẫn mạnh cấp 12.","bình định đến Khánh Hòa, cường độ vẫn mạnh cấp 12.",OK,HIGH
vcXXPd3uSy8,19,57.0,61.0,4.0,"Sau đó, bão đổi hướng đi lên phía bắc, đi dọc vùng ven biển Trung Bộ","Sau đó, bão đổi hướng đi lên phía bắc, đi dọc vùng ven biển Trung Bộ","Sau đó, bão đổi hướng đi lên phía bắc, đi dọc vùng ven biển Trung Bộ",OK,HIGH
vcXXPd3uSy8,20,61.0,63.0,2.0,và cường độ giảm xuống cấp 10.,và cường độ giảm xuống cấp 10.,và cường độ giảm xuống cấp 10.,OK,HIGH
