video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
vmhAO7HDyT4,0,0.0,9.0,9.0,"Ngoài những thiệt hại ở đất liền thì trên đường vào bờ Tránh Bão số 6 đêm qua, một tàu cá Bình Định đã bị đâm và khiến cho hai thuyền viên mất tích.","Ngoài những thiệt hại ở đất liền thì trên đường vào bờ Tránh Bão số 6 đêm qua, một tàu cá Bình Định đã bị đâm và khiến cho hai thuyền viên mất tích.","Ngoài những thiệt hại ở đất liền thì trên đường vào bờ Tránh Bão số 6 đêm qua, một tàu cá Bình Định đã bị đâm và khiến cho hai thuyền viên mất tích.",OK,HIGH
vmhAO7HDyT4,1,9.0,14.0,5.0,Cập nhật tình hình đến thời điểm hiện tại ra sao chúng ta hãy cùng chờ đợi những thông tin đến từ biên tập viên thời tiết Xuân Anh.,Cập nhật tình hình đến thời điểm hiện tại ra sao chúng ta hãy cùng chờ đợi những thông tin đến từ biên tập viên thời tiết Xuân Anh.,Cập nhật tình hình đến thời điểm hiện tại ra sao chúng ta hãy cùng chờ đợi những thông tin đến từ biên tập viên thời tiết Xuân Anh.,OK,HIGH
vmhAO7HDyT4,2,14.0,15.0,1.0,Xin mời Chị Xuân Anh.,Xin mời Chị Xuân Anh.,Xin mời Chị Xuân Anh.,OK,HIGH
vmhAO7HDyT4,3,15.0,19.0,4.0,"Vâng, cho tới thời điểm hiện tại thì theo như thông tin của Tổng cục Phòng chống thiên tai,","Vâng, cho tới thời điểm hiện tại thì theo như thông tin của Tổng cục Phòng chống thiên tai,","Vâng, cho tới thời điểm hiện tại thì theo như thông tin của Tổng cục Phòng chống thiên tai,",OK,HIGH
vmhAO7HDyT4,4,19.0,26.0,7.0,chúng ta vẫn chưa tìm thấy hai ngư dân đang bị mất tích của tàu cá Bình Định có số hiệu là BD91549TS,chúng ta vẫn chưa tìm thấy hai ngư dân đang bị mất tích của tàu cá Bình Định có số hiệu là BD91549TS,chúng ta vẫn chưa tìm thấy hai ngư dân đang bị mất tích của tàu cá Bình Định có số hiệu là BD91549TS,OK,HIGH
vmhAO7HDyT4,5,26.0,30.0,4.0,và lực lượng bộ đội biên phòng đang khẩn trương để tìm kiếm các nạn nhân.,và lực lượng bộ đội biên phòng đang khẩn trương để tìm kiếm các nạn nhân.,và lực lượng bộ đội biên phòng đang khẩn trương để tìm kiếm các nạn nhân.,OK,HIGH
vmhAO7HDyT4,6,30.0,37.0,7.0,"Sau bão thì sóng gió ở vùng biển Bình Định cũng đã giảm rồi, tuy nhiên dự báo trong đêm nay trời vẫn sẽ tiếp tục còn có mưa rông","Sau bão thì sóng gió ở vùng biển Bình Định cũng đã giảm rồi, tuy nhiên dự báo trong đêm nay trời vẫn sẽ tiếp tục còn có mưa rông","Sau bão thì sóng gió ở vùng biển Bình Định cũng đã giảm rồi, tuy nhiên dự báo trong đêm nay trời vẫn sẽ tiếp tục còn có mưa rông",OK,HIGH
vmhAO7HDyT4,7,37.0,40.0,3.0,"và kèm với đó là nguy cơ xảy ra lớp xoáy, gió giật.","và kèm với đó là nguy cơ xảy ra lớp xoáy, gió giật.","và kèm với đó là nguy cơ xảy ra lớp xoáy, gió giật.",OK,HIGH
vmhAO7HDyT4,8,40.0,46.0,6.0,Phải từ ngày mai thì mưa mới có thể ngớt hẳn và hy vọng việc cứu hộ cứu nạn sẽ sớm có kết quả.,Phải từ ngày mai thì mưa mới có thể ngớt hẳn và hy vọng việc cứu hộ cứu nạn sẽ sớm có kết quả.,Phải từ ngày mai thì mưa mới có thể ngớt hẳn và hy vọng việc cứu hộ cứu nạn sẽ sớm có kết quả.,OK,HIGH
vmhAO7HDyT4,9,46.0,54.0,8.0,Còn về diễn biến thời tiết trên đất liền thì vào hôm nay vùng mưa lớn đã dịch chuyển ra ở khu vực Bắc Trung Bộ và ở Bắc Bộ.,Còn về diễn biến thời tiết trên đất liền thì vào hôm nay vùng mưa lớn đã dịch chuyển ra ở khu vực Bắc Trung Bộ và ở Bắc Bộ.,Còn về diễn biến thời tiết trên đất liền thì vào hôm nay vùng mưa lớn đã dịch chuyển ra ở khu vực Bắc Trung Bộ và ở Bắc Bộ.,OK,HIGH
vmhAO7HDyT4,10,54.0,57.0,3.0,Dự báo là mưa sẽ còn tiếp tục duy trì cho đến hết ngày mai.,Dự báo là mưa sẽ còn tiếp tục duy trì cho đến hết ngày mai.,Dự báo là mưa sẽ còn tiếp tục duy trì cho đến hết ngày mai.,OK,HIGH
vmhAO7HDyT4,11,57.0,67.0,10.0,"Đối với khu vực Thanh Hóa cho tới Hà Tĩnh, lượng mưa sẽ khoảng từ 70 cho tới 120mm và có những nơi còn trên 150mm.","Đối với khu vực Thanh Hóa cho tới Hà Tĩnh, lượng mưa sẽ khoảng từ 70 cho tới 120mm và có những nơi còn trên 150mm.","Đối với khu vực Thanh Hóa cho tới Hà Tĩnh, lượng mưa sẽ khoảng từ 70 cho tới 120mm và có những nơi còn trên 150mm.",OK,HIGH
