id,start,end,duration,text_len,text,video_id
0,0.0,5.0,5.0,93,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ viên tập viên thời tiết Xuân Anh.,wY-EJ_5uby0
1,5.0,6.0,1.0,22,Xin chào chú Xuân Anh.,wY-EJ_5uby0
2,6.0,10.0,4.0,100,Không biết ngày hôm nay tình hình mưa lũ tại khu vực miền Trung và Tây Nguyên diễn biến như thế nào?,wY-EJ_5uby0
3,10.0,12.0,2.0,50,"Vâng, vẫn tiếp tục có mưa lớn ở những khu vực này.",wY-EJ_5uby0
4,12.0,17.0,5.0,99,Và sau những ngày mưa lớn thì lũ lên và đã gây ra nhiều thiệt hại cho các tỉnh thành ở khu vực này.,wY-EJ_5uby0
5,17.0,20.0,3.0,60,Và anh Dương cũng như quý vị khán giả có thể theo dõi ở đây.,wY-EJ_5uby0
6,20.0,25.0,5.0,98,"Tại Quảng Nam chẳng hạn, ngoài Ngập Úng thì nhiều huyện ở vùng núi cũng đã bị sạt lở nghiêm trọng.",wY-EJ_5uby0
7,25.0,29.0,4.0,54,Hay như ở Bình Định thì lũ lên cao và gây ra chia cắt.,wY-EJ_5uby0
8,29.0,32.0,3.0,59,Nhiều trường học bị ngập sâu đã phải cho học sinh nghỉ học.,wY-EJ_5uby0
9,32.0,37.0,5.0,76,"Còn ở Phú Yên và Ninh Thuận thì mưa lũ cũng đã gây ngập ở nhiều tuyến đường,",wY-EJ_5uby0
10,37.0,42.0,5.0,93,gây khó khăn cho việc tham gia giao thông và thậm chí có những nơi còn phải dựng cả biển cấm.,wY-EJ_5uby0
11,42.0,46.0,4.0,70,Tình trạng ngập lũ sâu thì sẽ còn tiếp diễn trong đêm nay và ngày mai.,wY-EJ_5uby0
12,46.0,51.0,5.0,81,"Đặc biệt là ở những nơi mà lũ đang lên cao như là tại sông Trà Khúc ở Quảng Ngãi,",wY-EJ_5uby0
13,51.0,55.0,4.0,57,thì dự kiến là đêm nay lũ sẽ lên ở gần mức là báo động 3.,wY-EJ_5uby0
14,55.0,61.0,6.0,103,Đối với sông Vệ ở Quảng Ngãi và sông Côn ở Bình Định thì đêm nay sẽ còn vượt báo động 3 là khoảng 80cm.,wY-EJ_5uby0
15,61.0,67.0,6.0,85,"Cùng với đó thì sạt lở, lũ quét cũng có nguy cơ cao có thể xảy ra ở khắp các vùng núi",wY-EJ_5uby0
16,67.0,71.0,4.0,67,từ Thừa Thiên Huế trở xuống đến Bình Thuận và cả khu vực Tây Nguyên,wY-EJ_5uby0
17,71.0,75.0,4.0,49,bởi dự báo những khu vực này tiếp tục có mưa lớn.,wY-EJ_5uby0
18,75.0,80.0,5.0,93,"Trong đó thì tại Quảng Nam, Quảng Ngãi và Bình Định là khu vực được xác định là trọng tâm mưa",wY-EJ_5uby0
19,80.0,86.0,6.0,56,"với lượng từ 100-250mm, có những nơi mưa còn vượt 300mm.",wY-EJ_5uby0
20,86.0,90.0,4.0,82,"Còn đối với khu vực Bắc Bộ, vào sáng sớm ngày mai thì có không khí lạnh tăng cường",wY-EJ_5uby0
21,90.0,94.0,4.0,70,nhưng với tính chất là lạnh khô nên trời vẫn sẽ có nắng vào buổi trưa.,wY-EJ_5uby0
22,94.0,101.0,7.0,74,Về nhiệt độ cao nhất ở thủ đô Hà Nội và hầu khắp toàn miền là từ 23-25 độ.,wY-EJ_5uby0
23,101.0,105.0,4.0,85,Cuối bản tin sẽ là phần dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.,wY-EJ_5uby0
24,105.0,109.0,4.0,57,"Ở thủ đô Hà Nội vào đêm nay không mưa, trở rét nhẹ 20 độ.",wY-EJ_5uby0
25,110.0,113.0,3.0,41,Ngày mai có nắng và cảm giác ấm áp 25 độ.,wY-EJ_5uby0
26,114.0,117.0,3.0,53,"Quế dự báo đêm nay mưa rét, nhiệt độ thấp nhất 20 độ.",wY-EJ_5uby0
27,119.0,123.0,4.0,53,"Ngày mai có mưa vừa mưa to, nhiệt độ không quá 24 độ.",wY-EJ_5uby0
28,125.0,128.0,3.0,50,"Đà Lạt đêm nay có lúc mưa giỏ nhẹ, trời rét 16 độ.",wY-EJ_5uby0
29,129.0,132.0,3.0,53,"Sáng mai nắng nhẹ 23 độ, trưa chiều mưa rông trở lại.",wY-EJ_5uby0
30,139.0,143.0,4.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,wY-EJ_5uby0
