video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
xVx8gh5urlc,0,0.0,4.0,4.0,"Thưa chị Hương Liên, theo quan sát của cá nhân tôi, ngày hôm nay trời Hà Nội đã có nhiều mây hơn.","Thưa chị Hương Liên, theo quan sát của cá nhân tôi, ngày hôm nay trời Hà Nội đã có nhiều mây hơn.","Thưa chị Hương Liên, theo quan sát của cá nhân tôi, ngày hôm nay trời Hà Nội đã có nhiều mây hơn.",OK,HIGH
xVx8gh5urlc,1,4.0,6.0,2.0,"Tuy nhiên, cái cảm giác oi nóng vẫn giữ nguyên.","Tuy nhiên, cái cảm giác oi nóng vẫn giữ nguyên.","Tuy nhiên, cái cảm giác oi nóng vẫn giữ nguyên.",OK,HIGH
xVx8gh5urlc,2,6.0,8.5,2.5,Không biết là tiến trình nhiệt ngày hôm nay diễn biến như thế nào thưa chị?,Không biết là tiến trình nhiệt ngày hôm nay diễn biến như thế nào thưa chị?,Không biết là tiến trình nhiệt ngày hôm nay diễn biến như thế nào thưa chị?,OK,HIGH
xVx8gh5urlc,3,9.0,12.5,3.5,"Vâng anh Dương, ngày hôm nay nhiệt độ ở Hà Nội vẫn cao tương đương như hôm qua.","Vâng anh Dương, ngày hôm nay nhiệt độ ở Hà Nội vẫn cao tương đương như hôm qua.","Vâng anh Dương, ngày hôm nay nhiệt độ ở Hà Nội vẫn cao tương đương như hôm qua.",OK,HIGH
xVx8gh5urlc,4,13.0,17.0,4.0,"Thế nhưng, mây nhiều lên là dấu hiệu cho thấy hình thế gây mưa đã xuất hiện.","Thế nhưng, mây nhiều lên là dấu hiệu cho thấy hình thế gây mưa đã xuất hiện.","Thế nhưng, mây nhiều lên là dấu hiệu cho thấy hình thế gây mưa đã xuất hiện.",OK,HIGH
xVx8gh5urlc,5,17.0,19.0,2.0,Đó chính là rãnh áp thấp này.,Đó chính là rãnh áp thấp này.,Đó chính là rãnh áp thấp này.,OK,HIGH
xVx8gh5urlc,6,19.0,23.0,4.0,Với vị trí nằm phần lớn trên đất liền Trung Quốc thì diễn mưa đêm nay chưa rộng.,Với vị trí nằm phần lớn trên đất liền Trung Quốc thì diễn mưa đêm nay chưa rộng.,Với vị trí nằm phần lớn trên đất liền Trung Quốc thì diễn mưa đêm nay chưa rộng.,OK,HIGH
xVx8gh5urlc,7,23.0,31.0,8.0,"Theo dự báo thì chỉ có những tỉnh nằm gần rãnh áp thấp như là Hà Giang, Cao Bằng, Lạng Sơn, Tuyên Quang, Bắc Cạn là có mưa.","Theo dự báo thì chỉ có những tỉnh nằm gần rãnh áp thấp như là Hà Giang, Cao Bằng, Lạng Sơn, Tuyên Quang, Bắc Cạn là có mưa.","Theo dự báo thì chỉ có những tỉnh nằm gần rãnh áp thấp như là Hà Giang, Cao Bằng, Lạng Sơn, Tuyên Quang, Bắc Cạn là có mưa.",OK,HIGH
xVx8gh5urlc,8,31.0,33.0,2.0,Lượng mưa chủ yếu dưới 25mm.,Lượng mưa chủ yếu dưới 25mm.,Lượng mưa chủ yếu dưới 25mm.,OK,HIGH
xVx8gh5urlc,9,33.0,37.0,4.0,Một vài nơi là từ 25 đến 50mm.,Một vài nơi là từ 25 đến 50mm.,Một vài nơi là từ 25 đến 50mm.,OK,HIGH
xVx8gh5urlc,10,37.0,41.0,4.0,Với lượng mưa như thế này thì đêm nay sẽ chưa có khả năng về lũ quét sạt lở.,Với lượng mưa như thế này thì đêm nay sẽ chưa có khả năng về lũ quét sạt lở.,Với lượng mưa như thế này thì đêm nay sẽ chưa có khả năng về lũ quét sạt lở.,OK,HIGH
xVx8gh5urlc,11,41.0,45.0,4.0,"Hiện tượng cần đề phòng nhất trong đêm nay đó là lốc xét, gió giật mạnh.","Hiện tượng cần đề phòng nhất trong đêm nay đó là lốc xét, gió giật mạnh.","Hiện tượng cần đề phòng nhất trong đêm nay đó là lốc xét, gió giật mạnh.",OK,HIGH
xVx8gh5urlc,12,45.0,49.0,4.0,Do có mưa nên ngày mai các tỉnh này sẽ hết nắng nóng.,Do có mưa nên ngày mai các tỉnh này sẽ hết nắng nóng.,Do có mưa nên ngày mai các tỉnh này sẽ hết nắng nóng.,OK,HIGH
xVx8gh5urlc,13,49.0,53.0,4.0,Nhiệt độ chỉ còn là 33 đến 34 độ.,Nhiệt độ chỉ còn là 33 đến 34 độ.,Nhiệt độ chỉ còn là 33 đến 34 độ.,OK,HIGH
xVx8gh5urlc,14,53.0,56.0,3.0,Các tỉnh thành còn lại ở miền Bắc bao gồm cả thủ đô Hà Nội.,Các tỉnh thành còn lại ở miền Bắc bao gồm cả thủ đô Hà Nội.,Các tỉnh thành còn lại ở miền Bắc bao gồm cả thủ đô Hà Nội.,OK,HIGH
xVx8gh5urlc,15,56.0,60.0,4.0,Dù chưa có mưa nhưng cái nóng ngày mai cũng đỡ bỏng rắt hơn hôm nay.,Dù chưa có mưa nhưng cái nóng ngày mai cũng đỡ bỏng rắt hơn hôm nay.,Dù chưa có mưa nhưng cái nóng ngày mai cũng đỡ bỏng rắt hơn hôm nay.,OK,HIGH
xVx8gh5urlc,16,60.0,63.0,3.0,Nhiệt độ cao nhất giảm xuống 35 đến 38 độ.,Nhiệt độ cao nhất giảm xuống 35 đến 38 độ.,Nhiệt độ cao nhất giảm xuống 35 đến 38 độ.,OK,HIGH
xVx8gh5urlc,17,63.0,67.0,4.0,Trong khi đó tại miền Trung dự báo ngày mai nền nhiệt vẫn khá cao.,Trong khi đó tại miền Trung dự báo ngày mai nền nhiệt vẫn khá cao.,Trong khi đó tại miền Trung dự báo ngày mai nền nhiệt vẫn khá cao.,OK,HIGH
xVx8gh5urlc,18,67.0,73.0,6.0,Phổ biến ở khu vực từ Thanh Hóa xuống đến Phú Yên sẽ là 37 đến 40 độ.,Phổ biến ở khu vực từ Thanh Hóa xuống đến Phú Yên sẽ là 37 đến 40 độ.,Phổ biến ở khu vực từ Thanh Hóa xuống đến Phú Yên sẽ là 37 đến 40 độ.,OK,HIGH
xVx8gh5urlc,19,73.0,75.0,2.0,Các nơi khác dưới 37 độ.,Các nơi khác dưới 37 độ.,Các nơi khác dưới 37 độ.,OK,HIGH
xVx8gh5urlc,20,75.0,78.0,3.0,Phải từ ngày kia thì vùng nóng mới thu hẹp.,Phải từ ngày kia thì vùng nóng mới thu hẹp.,Phải từ ngày kia thì vùng nóng mới thu hẹp.,OK,HIGH
xVx8gh5urlc,21,78.0,82.0,4.0,Cuối cùng sẽ là phần dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.,Cuối cùng sẽ là phần dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.,Cuối cùng sẽ là phần dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.,OK,HIGH
xVx8gh5urlc,22,82.0,85.0,3.0,Thủ đô Hà Nội đêm nay không mưa 31 độ.,Thủ đô Hà Nội đêm nay không mưa 31 độ.,Thủ đô Hà Nội đêm nay không mưa 31 độ.,OK,HIGH
xVx8gh5urlc,23,85.0,87.0,2.0,Ngày mai trời nắng nóng 37 độ.,Ngày mai trời nắng nóng 37 độ.,Ngày mai trời nắng nóng 37 độ.,OK,HIGH
xVx8gh5urlc,24,87.0,89.0,2.0,Chiều tối mai có thể mưa rông.,Chiều tối mai có thể mưa rông.,Chiều tối mai có thể mưa rông.,OK,HIGH
xVx8gh5urlc,25,89.0,92.0,3.0,Thành phố Đà Nẵng đêm nay tạnh giáo 28 độ.,Thành phố Đà Nẵng đêm nay tạnh giáo 28 độ.,Thành phố Đà Nẵng đêm nay tạnh giáo 28 độ.,OK,HIGH
xVx8gh5urlc,26,92.0,95.0,3.0,Ngày mai duy trì nắng nóng đặc biệt gai gắt 39 độ.,Ngày mai duy trì nắng nóng đặc biệt gai gắt 39 độ.,Ngày mai duy trì nắng nóng đặc biệt gai gắt 39 độ.,OK,HIGH
xVx8gh5urlc,27,95.0,99.0,4.0,Thành phố Hồ Chí Minh đêm nay trời mát mưa vài nơi 26 độ.,Thành phố Hồ Chí Minh đêm nay trời mát mưa vài nơi 26 độ.,Thành phố Hồ Chí Minh đêm nay trời mát mưa vài nơi 26 độ.,OK,HIGH
