video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
xyN_G8Ks5l4,0,0.0,5.599999904632568,5.599999904632568,Còn sau đây chúng ta sẽ gặp lại biên tập viên thời tiết Quỳnh Anh để cập nhật tình hình mưa lũ trên đất liền.,"Sau đây, chúng ta sẽ gặp lại biên tập viên thời tiết Quỳnh Anh để cập nhật tình hình mưa lũ trên đất liền.","Sau đây, chúng ta sẽ gặp lại biên tập viên thời tiết Quỳnh Anh để cập nhật tình hình mưa lũ trên đất liền.",OK,HIGH
xyN_G8Ks5l4,1,5.599999904632568,9.600000381469727,4.000000476837158,"Thưa chị Quỳnh Anh, liệu lũ có lên trở lại tại khu vực miền trung hay không ạ?","Thưa chị Quỳnh Anh, liệu lũ có khả năng tăng trở lại tại khu vực miền Trung hay không?","Thưa chị Quỳnh Anh, liệu lũ có khả năng tăng trở lại tại khu vực miền Trung hay không?",OK,HIGH
xyN_G8Ks5l4,2,9.600000381469727,16.0,6.399999618530273,"Dạ vâng, cho tới hiện tại thì vùng tâm lũ vừa qua là ở Quảng Bình, Quảng Trị và Thừa Thiên, Huế thì đang giảm dần rồi.","Hiện tại, vùng tâm lũ vừa qua ở Quảng Bình, Quảng Trị và Thừa Thiên - Huế đang có dấu hiệu giảm dần.","Hiện tại, vùng tâm lũ vừa qua ở Quảng Bình, Quảng Trị và Thừa Thiên - Huế đang có dấu hiệu giảm dần.",OK,HIGH
xyN_G8Ks5l4,3,16.0,22.0,6.0,"Thưa quý vị và các bạn theo dõi ngay trên bản đồ dự báo mưa thì quý vị có thể thấy là từ nay cho tới ngày mai,","Thưa quý vị và các bạn, theo bản đồ dự báo mưa, từ nay đến ngày mai, khu vực Trung Bộ sẽ có mưa giảm dần, hầu hết lượng mưa duy trì dưới 50mm, nhờ vậy lũ trên các sông dự báo sẽ xuống dần.","Thưa quý vị và các bạn theo dõi ngay trên bản đồ dự báo mưa thì quý vị có thể thấy là từ nay cho tới ngày mai,",REVERT,LOW
xyN_G8Ks5l4,4,22.0,28.0,6.0,"khu vực trung bộ thì mưa không còn nhiều nữa, hầu hết là lượng mưa duy trì dưới 50mm.","Khu vực Trung Bộ sẽ không còn mưa nhiều, hầu hết lượng mưa duy trì dưới 50mm.","Khu vực Trung Bộ sẽ không còn mưa nhiều, hầu hết lượng mưa duy trì dưới 50mm.",OK,HIGH
xyN_G8Ks5l4,5,28.0,31.0,3.0,Nhờ vậy mà lũ trên các sông dự báo sẽ xuống dần.,"Nhờ vậy, lũ trên các sông dự báo sẽ giảm dần.","Nhờ vậy, lũ trên các sông dự báo sẽ giảm dần.",OK,HIGH
xyN_G8Ks5l4,6,31.0,38.0,7.0,Trong đêm nay và sáng sớm ngày mai thì mực nước ở các sông hầu hết là ở mức báo động 2 đến dưới báo động 3.,"Trong đêm nay và sáng sớm ngày mai, mực nước ở các sông hầu hết sẽ ở mức báo động 2 đến dưới báo động 3.","Trong đêm nay và sáng sớm ngày mai, mực nước ở các sông hầu hết sẽ ở mức báo động 2 đến dưới báo động 3.",OK,HIGH
xyN_G8Ks5l4,7,38.0,42.0,4.0,Lũ giảm thì nhưng bà con không nên chủ quan bởi nước rút còn chậm.,"Lũ đã giảm, nhưng bà con không nên chủ quan vì nước rút còn chậm.","Lũ đã giảm, nhưng bà con không nên chủ quan vì nước rút còn chậm.",OK,HIGH
xyN_G8Ks5l4,8,42.0,49.0,7.0,"Ngoài ra thì cần đề phòng với nguy cơ xảy ra sạt lỡ đất sau mưa lũ rất nguy hiểm, đặc biệt là Quảng Bình đến Thừa Thiên, Huế.","Cần đề phòng nguy cơ xảy ra sạt lở đất rất nguy hiểm sau mưa lũ, đặc biệt là tại các tỉnh Quảng Bình đến Thừa Thiên - Huế.","Cần đề phòng nguy cơ xảy ra sạt lở đất rất nguy hiểm sau mưa lũ, đặc biệt là tại các tỉnh Quảng Bình đến Thừa Thiên - Huế.",OK,HIGH
xyN_G8Ks5l4,9,49.0,57.0,8.0,Còn vùng mưa lớn trong những ngày tới thì sẽ dịch chuyển lên từ Hà Tĩnh mở rộng ra hầu khắp khu vực bắc bộ,"Vùng mưa lớn trong những ngày tới sẽ dịch chuyển từ Hà Tĩnh, mở rộng ra hầu khắp khu vực Bắc Bộ do ảnh hưởng của hoàn lưu bão số 7.",Còn vùng mưa lớn trong những ngày tới thì sẽ dịch chuyển lên từ Hà Tĩnh mở rộng ra hầu khắp khu vực bắc bộ,REVERT,HIGH
xyN_G8Ks5l4,10,57.0,59.0,2.0,do ảnh hưởng của hoàn lưu bão số 7.,"Do ảnh hưởng của hoàn lưu bão số 7, khu vực Bắc Bộ sẽ có mưa lớn trong những ngày tới.",do ảnh hưởng của hoàn lưu bão số 7.,REVERT,LOW
xyN_G8Ks5l4,11,59.0,67.0,8.0,"Mưa to dồn dập nhất trong 3 ngày tới tập trung ở khu vực Đồng Bằng và ven biển Bắc Bộ, Thanh Hóa và Nghệ An.","Mưa to dồn dập nhất trong 3 ngày tới sẽ tập trung ở khu vực Đồng Bằng và ven biển Bắc Bộ, bao gồm Thanh Hóa và Nghệ An.","Mưa to dồn dập nhất trong 3 ngày tới sẽ tập trung ở khu vực Đồng Bằng và ven biển Bắc Bộ, bao gồm Thanh Hóa và Nghệ An.",OK,HIGH
