id,start,end,duration,text_len,text,video_id
0,0.0,5.5,5.5,124,Còn tiếp theo thì chúng ta sẽ cùng đến với những thông tin cập nhật về thời tiết cùng với biên tập viên thời tiết Quỳnh Hòa.,yU__3kOLEK8
1,5.5,13.199999809265137,7.699999809265137,180,"Chị Quỳnh Hòa, ngày hôm nay đúng là thủ đô Hà Nội có một ngày tôi nghĩ là thời tiết đẹp, khi mà nắng ấm và đôi khi mà mình đi dưới đường buổi trưa này còn cảm thấy là hơi nóng nữa.",yU__3kOLEK8
2,13.199999809265137,17.5,4.300000190734863,113,Vậy tôi không biết là những cái sáo trộn này có phải là những báo động cho việc là không khí lạnh sắp về không ạ?,yU__3kOLEK8
3,17.5,20.5,3.0,85,"Vâng, chính xác đấy ạ. Có thể đây cũng là một cái kinh nghiệm của anh Hoàng Dương đó.",yU__3kOLEK8
4,20.5,29.0,8.5,188,"Và rõ ràng là ngày hôm nay khi mà nắng lên là cái cảm giác về thời tiết đã khác hoàn toàn so với cái ngày hôm trước khi mà chúng ta có một ngày mưa nhỏ, sương mù, mưa phùn đó đúng không ạ?",yU__3kOLEK8
5,29.0,36.0,7.0,141,Và theo dõi số liệu nhiệt độ thì nhiệt độ ngày hôm nay tại thủ đô Hà Nội và nhiều nơi của miền Bắc cũng tăng lên đáng kể so với ngày hôm qua.,yU__3kOLEK8
6,36.0,45.5,9.5,147,Số liệu nhiệt độ lúc 13h ngày hôm nay chúng tôi ghi nhận được thì đều tăng lên phổ biến là từ 4 cho tới 8 độ so với thời điểm 13h của ngày hôm qua.,yU__3kOLEK8
7,45.5,54.0,8.5,129,Ngày hôm nay thì phổ biến trong khoảng là từ 24 cho tới là 26 độ. Thậm chí là có điểm tại Hòa Bình nhiệt độ còn lên tới là 28 độ.,yU__3kOLEK8
8,54.0,60.5,6.5,127,Mức nhiệt này vào giai đoạn mùa đông lại còn có nắng nữa thì khi di chuyển ngoài trời cũng có những người cảm thấy là hơi nóng.,yU__3kOLEK8
9,60.5,69.5,9.0,135,Và quá trình tăng nhiệt sẽ còn diễn ra vào ngày mai khi mà nền nhiệt ở miền Bắc sẽ còn cộng thêm từ 1 cho tới 2 độ so với ngày hôm nay.,yU__3kOLEK8
10,69.5,81.5,12.0,180,"Nhiệt độ cao nhất tại thủ đô Hà Nội và các thành phố như là Ninh Bình, Hải Phòng, Hạ Long, Lạng Sơn, Hà Giang hay là Điện Biên Phủ sẽ giao động trong khoảng là từ 24 cho tới 30 độ.",yU__3kOLEK8
11,81.5,88.5,7.0,123,Và thậm chí những điểm núi cao như là thị xã Sapa hay là huyện Mộc Châu vốn là những nơi mà có nền nhiệt thấp trong khu vực,yU__3kOLEK8
12,88.5,97.5,9.0,135,thì ngày mai nhiệt độ cao nhất cũng sẽ đạt ở ngưỡng là từ 22 cho tới 26 độ tức là cảm giác ấm cũng sẽ giống khu vực đồng bằng ven biển.,yU__3kOLEK8
13,97.5,105.5,8.0,145,"Và cũng xin thông báo với quý vị là ấm sẽ chỉ diễn ra nốt trong ngày mai thôi và từ ngày thứ tư miền Bắc sẽ chuyển sang một đợt rét đậm, rét hại.",yU__3kOLEK8
14,105.5,111.5,6.0,105,Và lưu ý là trong đợt này thì về đêm và sáng sớm nền nhiệt sẽ giảm xuống rất thấp phổ biến là dưới 10 độ.,yU__3kOLEK8
15,111.5,118.5,7.0,149,"Vì thế tranh thủ trong ngày mai khi mà trời vẫn còn nắng ấm thì quý vị nên có thể là dập rũ này, phơi phóng quần áo này, những cái trang phục đại hàn",yU__3kOLEK8
16,118.5,124.5,6.0,95,hay là chúng ta chuẩn bị thêm những chân đệm dày để có thể giữ ấm cho cơ thể trong đợt rét tới.,yU__3kOLEK8
17,124.5,128.5,4.0,97,Còn bây giờ sẽ là những thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,yU__3kOLEK8
18,128.5,134.5,6.0,99,"Với thủ đô Hà Nội thì đêm nay và sáng sớm mai sẽ vẫn có sương mùi nhẹ, nhiệt độ thấp nhất là 20 độ.",yU__3kOLEK8
19,134.5,139.5,5.0,72,"Sáng ngày mai trời có nắng ấm, về trưa chiều nhiệt độ cao nhất là 26 độ.",yU__3kOLEK8
20,139.5,144.5,5.0,74,"Cố đô Huế sáng sớm mai cũng có sương mùi nhẹ, nhiệt độ thấp nhất là 19 độ.",yU__3kOLEK8
21,144.5,148.5,4.0,63,"Sáng ngày mai trời nắng, nhiệt độ cao nhất trong ngày là 28 độ.",yU__3kOLEK8
22,149.5,152.5,3.0,65,"Thành phố Đà Lạt đêm nay tạnh giáo, trời xét với mức nhiệt 14 độ.",yU__3kOLEK8
23,152.5,158.5,6.0,91,"Sáng ngày mai trời có nắng, nhiệt độ sẽ tăng tới hơn chục độ so với buổi đêm lên mức 25 độ.",yU__3kOLEK8
