video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
ytQw-y5W0DI,0,0.0,11.0,11.0,"Thưa quý vị, chiều nay bão số 10 đã suy yếu thành áp thấp nhiệt đới và lúc 16h thì tâm áp thấp nhiệt đới cách bờ biển Quảng Ngãi đến Phú Yên khoảng 200km về phía đông.","Thưa quý vị, chiều nay bão số 10 đã suy yếu thành áp thấp nhiệt đới và lúc 16h thì tâm áp thấp nhiệt đới cách bờ biển Quảng Ngãi đến Phú Yên khoảng 200km về phía đông.","Thưa quý vị, chiều nay bão số 10 đã suy yếu thành áp thấp nhiệt đới và lúc 16h thì tâm áp thấp nhiệt đới cách bờ biển Quảng Ngãi đến Phú Yên khoảng 200km về phía đông.",OK,HIGH
ytQw-y5W0DI,1,11.0,17.0,6.0,"Dự báo trong 24h tới thì áp thấp nhiệt đới sẽ đi vào đất liền Quảng Ngãi đến Phú Yên, sau đó suy yếu thành một vùng áp thấp.","Dự báo trong 24h tới thì áp thấp nhiệt đới sẽ đi vào đất liền Quảng Ngãi đến Phú Yên, sau đó suy yếu thành một vùng áp thấp.","Dự báo trong 24h tới thì áp thấp nhiệt đới sẽ đi vào đất liền Quảng Ngãi đến Phú Yên, sau đó suy yếu thành một vùng áp thấp.",OK,HIGH
ytQw-y5W0DI,2,17.0,23.0,6.0,"Vùng nguy hiểm trên biển trong 24h tới từ vị tuyến 12 đến 16 độ vị Bắc, phía Tây kinh tuyến 113 độ Kinh Đông.","Vùng nguy hiểm trên biển trong 24h tới từ vị tuyến 12 đến 16 độ vị Bắc, phía Tây kinh tuyến 113 độ Kinh Đông.","Vùng nguy hiểm trên biển trong 24h tới từ vị tuyến 12 đến 16 độ vị Bắc, phía Tây kinh tuyến 113 độ Kinh Đông.",OK,HIGH
ytQw-y5W0DI,3,23.0,31.0,8.0,"Trên đất liền thì từ tối và đêm nay, ven biển Nam Quảng Nam, Quảng Ngãi, Bình Định và Bắc Phú Yên có gió mạnh dần lên cấp 6 dần cấp 8.","Trên đất liền thì từ tối và đêm nay, ven biển Nam Quảng Nam, Quảng Ngãi, Bình Định và Bắc Phú Yên có gió mạnh dần lên cấp 6 dần cấp 8.","Trên đất liền thì từ tối và đêm nay, ven biển Nam Quảng Nam, Quảng Ngãi, Bình Định và Bắc Phú Yên có gió mạnh dần lên cấp 6 dần cấp 8.",OK,HIGH
ytQw-y5W0DI,4,31.0,37.0,6.0,"Và từ nay đến đêm mai thì ở Hà Tĩnh đến Phú Yên, Con Tum, Gia Lai, phía bắc tỉnh Đắk Lắc có mưa lớn dịa rộng.","Và từ nay đến đêm mai thì ở Hà Tĩnh đến Phú Yên, Con Tum, Gia Lai, phía bắc tỉnh Đắk Lắc có mưa lớn dịa rộng.","Và từ nay đến đêm mai thì ở Hà Tĩnh đến Phú Yên, Con Tum, Gia Lai, phía bắc tỉnh Đắk Lắc có mưa lớn dịa rộng.",OK,HIGH
ytQw-y5W0DI,5,37.0,42.0,5.0,Trọng tốc mưa là thừa thiên Huế đến Bình Định và tổng lượng mưa phổ biến là từ 150 đến 250mm.,Trọng tốc mưa là thừa thiên Huế đến Bình Định và tổng lượng mưa phổ biến là từ 150 đến 250mm.,Trọng tốc mưa là thừa thiên Huế đến Bình Định và tổng lượng mưa phổ biến là từ 150 đến 250mm.,OK,HIGH
ytQw-y5W0DI,6,42.0,47.0,5.0,Có nơi trên 250mm để phòng ngập lụt vùng trụng thấp lũ quét sặt lở đất ở vùng núi.,Có nơi trên 250mm để phòng ngập lụt vùng trụng thấp lũ quét sặt lở đất ở vùng núi.,Có nơi trên 250mm để phòng ngập lụt vùng trụng thấp lũ quét sặt lở đất ở vùng núi.,OK,HIGH
ytQw-y5W0DI,7,48.0,54.0,6.0,Hãng đã hủy khai thác 6 chuyến bay đến và đi từ các sân bay Quy Nhơn và Chu Lai do ảnh hưởng của cơn bão số 10.,Hãng đã hủy khai thác 6 chuyến bay đến và đi từ các sân bay Quy Nhơn và Chu Lai do ảnh hưởng của cơn bão số 10.,Hãng đã hủy khai thác 6 chuyến bay đến và đi từ các sân bay Quy Nhơn và Chu Lai do ảnh hưởng của cơn bão số 10.,OK,HIGH
ytQw-y5W0DI,8,54.0,57.0,3.0,Đó là các chuyến bay từ Hà Nội và TP.HCM đến 2 sân bay này.,Đó là các chuyến bay từ Hà Nội và TP.HCM đến 2 sân bay này.,Đó là các chuyến bay từ Hà Nội và TP.HCM đến 2 sân bay này.,OK,HIGH
ytQw-y5W0DI,9,57.0,59.0,2.0,Các chuyến bay bù sẽ được hãng thông báo sau.,Các chuyến bay bù sẽ được hãng thông báo sau.,Các chuyến bay bù sẽ được hãng thông báo sau.,OK,HIGH
