original_video_id,new_video_id
-QcoL_fU-WE,v000
-vm0R4bVRU8,v001
04lx1Rsj7bU,v002
0Gw4diTa1xA,v003
1-iUEsz_srY,v004
1HwS5KAgaqQ,v005
1_E-rc_rzGQ,v007
2H7ij61BOTQ,v008
2Hwr6WpxibI,v009
2PcjsmhmQ8k,v010
2pbDblVOlc0,v011
34Eel0TBRzg,v012
3G8deCnBH80,v013
3JVHuYJGP2E,v014
3yFTj1gQHOs,v015
4aK4dzPQE7E,v016
4dsJ3k-hPU8,v017
5HImasK4rU0,v018
5g86EqR5_MI,v019
5iX1aY62sbE,v020
5otoq8lqsb4,v021
6EGfYnIyFCE,v022
6dld1q_TrB8,v023
6liWSVKxvv4,v024
77Gu5eKjby8,v025
79Pjj-xIqw8,v026
7JVXlDkzjZ4,v027
7XdhEAQLf2o,v028
7YmyWw0dJ6Q,v029
8ETPAPyAGzc,v030
8ETpQdyyDYs,v031
8MS_tEl8c7A,v032
8Pu77NQZP2A,v033
93dbw7DYjMk,v034
94mZP8f5HsY,v035
9V8xIBQhCck,v036
9pDR89OklpQ,v037
ABSqIlb5uRo,v038
AQBy4LeoE3k,v039
B2Qyx_vndSE,v040
BAFrdMWBhbw,v041
BVxsl4WW0lQ,v043
BtosfFG_9Es,v044
BwyECHrS2nY,v045
CD4OyqzLjw8,v046
CX22seEkK2g,v047
Ct3W6QKKx_Q,v049
CyPDJIMEh0g,v050
DH5MlQiWddc,v051
DObEka2HzHY,v053
DaGslUAi3Mc,v054
EKaSpZslGIM,v055
EMzfEYp_Ugw,v057
EOXcLDXYIn0,v058
ETPYW7Ytqrw,v059
EWkVe7BwJTY,v060
ElQ3IdR-QGw,v061
En5Cxt7KRyY,v062
FMunmDF5uVU,v063
Fct_pUhSbA8,v064
FqOJc-nPMOY,v065
GtLxICo1cOc,v066
GtQbnTflwVA,v067
GzIkxdLeKtA,v068
GzRWY16BG3M,v069
H1gvY3NUWe0,v070
HlOznsVfe8s,v071
I1v5zSI1Rus,v073
IB1LjRTu6Pc,v074
IJXLMGu-bnw,v075
INkFcg1-CS0,v076
IOqlbYST-5k,v077
InRU8UQE_jk,v078
KF8--GuZ6gk,v079
KGlnzBKSc18,v080
KdCYG16ORkY,v081
Kf400Z0OIAk,v082
KlZ_JX3oMXU,v083
L8I7Pq2BF3M,v084
LBaNT5fK8hk,v085
LhDQoZKqDRY,v086
Lhjbzn5Zer8,v087
Lnazu8ftePw,v088
MXJo0YLmmQA,v089
MgqgsqEF2es,v090
MhHSOTP3Ry8,v091
MqwHTOPoBSY,v092
N1djnNcroOI,v093
N8WjTMDHICU,v094
NAgH57zbBcI,v095
NJndctbBxNQ,v096
NOmkG6hqS80,v097
NTTgihBWFoQ,v098
NXdsaozZ4tU,v099
Nac9Drm3b0E,v100
Ne2AeutGhJM,v101
NewM4LY5YLg,v102
Nso8r5SGCzs,v103
O2h8VLHx7Sw,v104
Oc2XwiZa9zA,v105
Odr9e2pRM4c,v106
Ox_fpGtXNts,v107
PU1K7CGfyf4,v108
Pb9JGy9oBOc,v109
Pfs9MlVwNs4,v110
PngH0kegO_E,v111
PtuUR3hbFRA,v112
QC5nRKyWI7k,v113
QeNWlQghm9M,v115
QvLZLbko4J8,v116
R1Pybq6mF-M,v117
REYBpr_Aq0g,v118
RPHlne1OMWI,v119
RRapsYAaYd8,v120
Rq_tGDBo8HQ,v123
SDiqpwQc-Ho,v124
SEt8SskfxCw,v125
SIHog_sV8Ps,v126
SLV7CDFV_qY,v127
SX76PzMAU4o,v129
T1A9c0WKXFU,v131
THxFcgmm0rY,v133
TViF6-zLqhk,v134
U9isawUpNDg,v135
UoF18SZg9fE,v137
V7ur6SmybSI,v138
VUvDNiNnAk8,v139
VXep7_nTovo,v140
VrgUHatEozU,v142
W28gWMnhDzY,v143
WKCVK9QJMZQ,v144
WV01m4t-uUk,v145
WhSrGWxYdUk,v146
WwvyL6sknHo,v148
XYNL-Y-Ub0c,v149
XfQcH84Tidw,v150
XvUbSjLYfO0,v151
XyPeMuc2NeY,v152
Y9_u0oOxQEU,v153
YBWH02_klQM,v154
YETqtTMb11I,v155
YFRYg4bFKqE,v156
YQb2iSiItTw,v157
Yf-2icjLvvQ,v158
Yr7vWnzBirs,v159
YrGPWvv2mSQ,v160
ZNDKxbLNQJE,v161
ZTJktBiMAvI,v162
ZWnOCmuNR2M,v163
_-xoRM6YrpM,v164
_D45Yyp0yok,v165
_FsoCUnyXCI,v166
_ZwkxAp-O_I,v167
a2ts5YGOjRo,v168
aRM8LmNkuo4,v169
arw3c3zo5Vg,v170
b2IDNL9ySTY,v171
b8tnEkJrg1Y,v173
b9lsXd-UO78,v174
c3b8zWO3d8s,v175
c4xACrQYiOk,v176
d97BYslfcKM,v177
dMXLmcLnt_I,v178
dMYpHMPcziw,v179
dN68zWVT3Mc,v180
dSAEpO46gFQ,v181
d_V_tgOERUk,v182
dcrh_pFyd1w,v183
e-V-NwdhfJ0,v185
eUIb1lO9Qd0,v187
ep_8PcpckzE,v188
epey-truP9Y,v189
g5BMs3AMjbg,v190
gIbSshTBdEc,v192
gNYj-H5ItuU,v193
gq-DUH55tgo,v195
guEGM9v3BCQ,v196
hf-8h_EZSL0,v197
iKCWVMeTLrA,v198
iaHI6kw9jMM,v199
ifUIlkh6NVQ,v200
inmKgF5VA7c,v201
izPv9cGRLVI,v202
jOI7u6YYSWk,v204
jUeiXuf77kQ,v205
jeOK31Oo5Po,v206
k0pIUp_0IcU,v207
kFiRFYssPys,v208
kWxhXsbRJ-w,v209
khAtx3A0nA4,v210
khciWQgoUUM,v211
kjsM6Fbqamg,v212
l8u0GYGbhQY,v213
lVwCCnQ-kIA,v214
lnGnRKoJgDc,v215
m6lLLv7luzc,v216
mAqt79mhlNY,v217
mPkyMzZzm6o,v218
mWv9XiInxUw,v219
mZEezOShQQ8,v220
mZsfmX_AnFg,v221
mns72GDYZWM,v222
n-52xLFJGZs,v223
nE0KZWq-UvQ,v224
nKgsKjLvVuw,v225
nQO6ntOf9N4,v226
oHEnpMyBBsI,v227
oZYcu26DgGU,v228
ocVrVrrF_yg,v229
p0h-f31E9TQ,v230
pB0eVZ40iE4,v231
pWowKX9rWcg,v232
pX0K3aP9aCk,v233
pcjHf1mzANA,v234
pwosFq1TJhc,v235
py40p7XqKrI,v236
pzAg38LSESw,v237
q8ZW-FZqpp4,v238
qKL4b0D_Z5U,v239
qfRwB7eXN1o,v240
r8OyQwtF1ng,v241
rB5C6opBFAk,v242
rk1JTZim41g,v243
rkkvrvBeNp8,v244
rneBNy0DPuQ,v245
rpM93fj02kY,v246
rvrftTo_g0g,v247
sYVrLJY0nLA,v248
tK8xFopLhUM,v249
tMe0PfEze14,v250
tZL17E37tGc,v251
tcrQ6TTSMgg,v252
u2e8HCQMo6I,v253
uMrCH5j3n38,v255
uYOBciakYs4,v256
ucmxrP4JpJY,v257
vGwrS3j4p0U,v258
vcXXPd3uSy8,v259
vmhAO7HDyT4,v260
wY-EJ_5uby0,v261
wYV14kjVcwg,v262
xExeTuhgSAM,v263
xVx8gh5urlc,v264
xyN_G8Ks5l4,v266
yQ6D2ai3hZU,v267
